Source,Target,Type,Id,Label,timeset,Weight
Man Utd,Ajax,Directed,0,,,16000000
Man Utd,Olympique Lyon,Directed,1,,,16000000
Man Utd,Leeds,Directed,2,,,29100000
Man Utd,Real Madrid,Directed,3,,,94000000
Man Utd,Inter,Directed,4,,,74000000
Man Utd,Paris SG,Directed,5,,,63000000
Ajax,Man Utd,Directed,6,,,169870000
Ajax,Everton,Directed,7,,,27000000
Ajax,Barcelona,Directed,8,,,107000000
Ajax,Juventus,Directed,9,,,85500000
Ajax,Club Brugge,Directed,10,,,6000000
Ajax,Spurs,Directed,11,,,26650000
Ajax,OGC Nice,Directed,12,,,20500000
Ajax,RB Salzburg,Directed,13,,,5000000
Ajax,Chelsea,Directed,14,,,40000000
Ajax,Liverpool,Directed,15,,,26500000
Ajax,TJ Teda,Directed,16,,,5500000
Ajax,Atlético Madrid,Directed,17,,,7000000
Ajax,Olympique Lyon,Directed,18,,,4200000
Ajax,SSC Napoli,Directed,19,,,32000000
Werder Bremen,Ajax,Directed,20,,,11700000
Werder Bremen,Bor. Dortmund,Directed,21,,,20000000
Werder Bremen,Norwich,Directed,22,,,9500000
Werder Bremen,1.FC Nuremberg,Directed,23,,,300000
Werder Bremen,Bayern Munich,Directed,24,,,8000000
Everton,Werder Bremen,Directed,25,,,13500000
Everton,CSKA Moscow,Directed,26,,,23000000
Everton,Sunderland,Directed,27,,,2000000
Everton,Spurs,Directed,28,,,58000000
Everton,Man Utd,Directed,29,,,84700000
Everton,Man City,Directed,30,,,55600000
Everton,Paris SG,Directed,31,,,30000000
PSV Eindhoven,Inter,Directed,32,,,14250000
PSV Eindhoven,Sevilla FC,Directed,33,,,12500000
PSV Eindhoven,Man Utd,Directed,34,,,34000000
PSV Eindhoven,Vitesse,Directed,35,,,450000
PSV Eindhoven,Spurs,Directed,36,,,30000000
PSV Eindhoven,Real Betis,Directed,37,,,2500000
PSV Eindhoven,SSC Napoli,Directed,38,,,54480000
PSV Eindhoven,AS Roma,Directed,39,,,5700000
PSV Eindhoven,SC Freiburg,Directed,40,,,8500000
PSV Eindhoven,E. Frankfurt,Directed,41,,,3000000
PSV Eindhoven,Basaksehir,Directed,42,,,1000000
Inter,Paris SG,Directed,43,,,68000000
Inter,Galatasaray,Directed,44,,,2500000
Inter,Atalanta BC,Directed,45,,,5050000
Inter,Real Madrid,Directed,46,,,38000000
Inter,Chelsea,Directed,47,,,113000000
Inter,Stoke City,Directed,48,,,17000000
Heerenveen,PSV Eindhoven,Directed,49,,,5500000
Heerenveen,Atalanta BC,Directed,50,,,1300000
Heerenveen,Twente FC,Directed,51,,,3500000
Heerenveen,Benfica,Directed,52,,,8000000
Sparta R.,Heerenveen,Directed,53,,,750000
Barcelona,Atlético Madrid,Directed,54,,,29000000
Barcelona,Sevilla FC,Directed,55,,,3000000
Barcelona,Paris SG,Directed,56,,,222000000
Willem II,Ajax U21,Directed,57,,,1
Celtic,B. Leverkusen,Directed,58,,,11000000
Celtic,Southampton,Directed,59,,,15700000
B. Leverkusen,Dinamo Zagreb,Directed,60,,,1300000
B. Leverkusen,Bor. Dortmund,Directed,61,,,25000000
B. Leverkusen,Chelsea,Directed,62,,,80000000
B. Leverkusen,Real Madrid,Directed,63,,,6500000
B. Leverkusen,Spurs,Directed,64,,,30000000
B. Leverkusen,Ajax,Directed,65,,,2800000
Man City U23,Celtic,Directed,66,,,5380000
Man City U23,Chivas,Directed,67,,,9900000
Man City U23,Hellas Verona,Directed,68,,,7500000
Sevilla FC,PSV Eindhoven,Directed,69,,,3000000
Sevilla FC,AC Milan,Directed,70,,,3680000
Sevilla FC,Juventus,Directed,71,,,8000000
Sevilla FC,Barcelona,Directed,72,,,85500000
Sevilla FC,Paris SG,Directed,73,,,45500000
Bor. M'gladbach,PSV Eindhoven,Directed,74,,,5500000
Bor. M'gladbach,Barcelona,Directed,75,,,12000000
Bor. M'gladbach,Bor. Dortmund,Directed,76,,,25500000
Bor. M'gladbach,FSV Frankfurt,Directed,77,,,300000
Bor. M'gladbach,Monaco,Directed,78,,,12500000
Bor. M'gladbach,Juventus,Directed,79,,,10100000
Bor. M'gladbach,BSC Young Boys,Directed,80,,,2000000
Bor. M'gladbach,Arsenal,Directed,81,,,45000000
Twente FC,Bor. M'gladbach,Directed,82,,,12000000
Twente FC,AZ Alkmaar,Directed,83,,,500000
Twente FC,Sampdoria,Directed,84,,,1750000
Twente FC,Ajax,Directed,85,,,11000000
Twente FC,Southampton,Directed,86,,,14000000
Twente FC,Fulham,Directed,87,,,12000000
De Graafschap,Twente FC,Directed,88,,,900000
Middlesbrough,Atalanta BC,Directed,89,,,16700000
Middlesbrough,CD Leganés,Directed,90,,,5000000
Atalanta BC,Middlesbrough,Directed,91,,,10500000
Atalanta BC,Parma,Directed,92,,,8400000
Atalanta BC,Rubin Kazan,Directed,93,,,6500000
Atalanta BC,Leicester,Directed,94,,,20900000
Atalanta BC,Nottm Forest,Directed,95,,,9000000
Atalanta BC,Spurs,Directed,96,,,50000000
Atalanta BC,Sevilla FC,Directed,97,,,5500000
Juventus,Bayern Munich,Directed,98,,,88000000
Juventus,Spurs,Directed,99,,,19000000
Juventus,Man Utd,Directed,100,,,17000000
Juventus,Man City,Directed,101,,,65000000
Juventus,Real Madrid,Directed,102,,,30000000
Juventus,Atalanta BC,Directed,103,,,17000000
Bayern Munich,Southampton,Directed,104,,,15000000
Bayern Munich,Bor. Dortmund,Directed,105,,,22000000
Bayern Munich,Inter,Directed,106,,,15000000
Bayern Munich,Barcelona,Directed,107,,,45000000
Olympique Lyon,Crystal Palace,Directed,108,,,17500000
Olympique Lyon,Southampton,Directed,109,,,10000000
Olympique Lyon,Spurs,Directed,110,,,12600000
Olympique Lyon,Real Madrid,Directed,111,,,35000000
Olympique Lyon,Newcastle,Directed,112,,,42100000
Olympique Lyon,West Ham,Directed,113,,,42950000
Olympique Lyon,Torino,Directed,114,,,3500000
Olympique Lyon,Chicago,Directed,115,,,7000000
Olympique Lyon,KAA Gent,Directed,116,,,1000000
Bournemouth,Man City,Directed,117,,,45300000
Bournemouth,Sheff Utd,Directed,118,,,20500000
Bournemouth,Newcastle,Directed,119,,,22250000
Man City,Bor. M'gladbach,Directed,120,,,5000000
Man City,Bayern Munich,Directed,121,,,49000000
Man City,Barcelona,Directed,122,,,55000000
Man City,Juventus,Directed,123,,,37000000
Man City,Arsenal,Directed,124,,,52200000
Man City,Chelsea,Directed,125,,,56200000
Man City,Huddersfield,Directed,126,,,9100000
Man City,Real Sociedad,Directed,127,,,7000000
Man City,Benfica,Directed,128,,,15000000
Chelsea,Bournemouth,Directed,129,,,22800000
Chelsea,Atalanta BC,Directed,130,,,14500000
Chelsea,Real Madrid,Directed,131,,,35000000
Chelsea,AC Milan,Directed,132,,,2850000
Chelsea,Atlético Madrid,Directed,133,,,35000000
Chelsea,VfL Wolfsburg,Directed,134,,,22000000
Chelsea,Fenerbahce,Directed,135,,,3500000
Chelsea,Everton,Directed,136,,,35360000
Chelsea,Bor. M'gladbach,Directed,137,,,8000000
Feyenoord U17,Chelsea U18,Directed,138,,,800000
Club Brugge,Hellas Verona,Directed,139,,,3650000
Club Brugge,Bor. Dortmund,Directed,140,,,4000000
Club Brugge,Espanyol,Directed,141,,,1150000
Club Brugge,AC Milan,Directed,142,,,32000000
Club Brugge,Lens,Directed,143,,,9800000
Club Brugge,Paris SG,Directed,144,,,6000000
Club Brugge,Valencia,Directed,145,,,7000000
Club Brugge,Adelaide United,Directed,146,,,950000
Club Brugge,Monaco,Directed,147,,,16700000
Feyenoord,Lazio,Directed,148,,,7000000
Feyenoord,Ajax,Directed,149,,,5500000
Feyenoord,Man Utd,Directed,150,,,15000000
Feyenoord,Club Brugge,Directed,151,,,2500000
Lazio,Galatasaray,Directed,152,,,6750000
Watford,Feyenoord,Directed,153,,,6500000
Watford,Everton,Directed,154,,,39200000
Watford,Villarreal,Directed,155,,,16400000
AZ Alkmaar,Watford,Directed,156,,,6500000
AZ Alkmaar,Atalanta BC,Directed,157,,,14000000
AZ Alkmaar,Spurs,Directed,158,,,22000000
AZ Alkmaar,VfL Wolfsburg,Directed,159,,,10500000
AZ Alkmaar,Espanyol,Directed,160,,,2500000
AZ Alkmaar,Toulouse,Directed,161,,,2000000
AZ Alkmaar,Ajax,Directed,162,,,6000000
AZ Alkmaar,Brighton,Directed,163,,,19000000
Spurs,Ajax,Directed,164,,,31250000
Spurs,Monterrey,Directed,165,,,9000000
Spurs,Inter,Directed,166,,,27000000
Spurs,Real Madrid,Directed,167,,,136000000
Spurs,Celtic,Directed,168,,,7000000
Spurs,Newcastle,Directed,169,,,5900000
Spurs,Nottm Forest,Directed,170,,,2000000
