Id,Label,timeset,country,color,newlabel,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Man Utd,Man Utd,,,"#808080",Man Utd,11,0.258065,0.30848,3474.613369
Ajax,Ajax,,,"#808080",Ajax,10,0.285714,0.361916,7193.841084
Werder Bremen,,,,"#808080",,11,0.242697,0.2896,2418.7342
Everton,Everton,,,"#808080",Everton,10,0.264382,0.317602,4266.814219
PSV Eindhoven,,,Netherlands,"#21468B",,9,0.266996,0.332325,3954.314697
Inter,Inter,,,"#808080",Inter,11,0.251455,0.301393,2943.346103
Heerenveen,,,,"#808080",,10,0.254695,0.304495,217
Sparta R.,,,,"#808080",,11,0.203738,0.229029,0
Barcelona,Barcelona,,,"#808080",Barcelona,11,0.234273,0.273769,1399.447405
Willem II,,,,"#808080",,0,0,0,0
Ajax U21,,,,"#808080",,0,0,0,0
Celtic,,,,"#808080",,10,0.219067,0.248137,2377.208248
B. Leverkusen,,,,"#808080",,9,0.270338,0.3225,4438.216214
Man City U23,,,,"#808080",,11,0.189446,0.218723,0
Sevilla FC,Sevilla FC,,Spain,"#FFC400",Sevilla FC,10,0.246294,0.290408,2686.207134
Bor. M'gladbach,,,,"#808080",,9,0.26601,0.322468,4955.561701
Twente FC,,,,"#808080",,10,0.254717,0.308214,1204.732268
De Graafschap,,,,"#808080",,11,0.203756,0.23006,0
Middlesbrough,,,,"#808080",,11,0.198529,0.227418,1301.477502
Atalanta BC,,,Italy,"#009246",,10,0.246575,0.30068,5453.677697
Juventus,Juventus,,,"#808080",Juventus,10,0.256228,0.306515,4424.067442
Bayern Munich,Bayern Munich,,Germany,"#000000",Bayern Munich,11,0.22833,0.267973,1164.523133
Olympique Lyon,Olympique Lyon,,France,"#002395",Olympique Lyon,10,0.265031,0.323065,6616.922387
Bournemouth,,,,"#808080",,11,0.225235,0.261852,1471.778126
Man City,Man City,,,"#808080",Man City,10,0.27446,0.335874,7758.098354
Chelsea,Chelsea,,,"#808080",Chelsea,10,0.26799,0.330208,6603.567989
Feyenoord U17,,,,"#808080",,0,0,0,0
Chelsea U18,,,,"#808080",,0,0,0,0
Club Brugge,,,,"#808080",,11,0.263736,0.325494,6841.362451
Vitesse,,,,"#808080",,0,0,0,0
Feyenoord,,,,"#808080",,11,0.241881,0.28744,980.328874
Lazio,,,,"#808080",,12,0.173913,0.190449,349.980844
Watford,,,,"#808080",,11,0.22547,0.263946,1390.600372
AZ Alkmaar,,,,"#808080",,10,0.257449,0.320462,2190.411719
Spurs,Spurs,,,"#808080",Spurs,9,0.272383,0.340452,11864.249463
Ajax Youth,,,,"#808080",,0,0,0,0
PSV Eindhoven Y,,,,"#808080",,0,0,0,0
Monterrey,,,,"#808080",,12,0.193548,0.22769,3697.522453
Royal Antwerp,,,,"#808080",,11,0.168224,0.185393,1365.266938
Almere City,,,,"#808080",,11,0.205492,0.235384,0
Southampton,,,,"#808080",,10,0.250871,0.296947,1827.320019
Liverpool,Liverpool,,,"#808080",Liverpool,9,0.287234,0.354843,7104.317414
FC Groningen,,,,"#808080",,9,0.261761,0.314383,589.176751
VfL Wolfsburg,,,Germany,"#000000",,11,0.249711,0.301835,2443.052762
Burnley,,,,"#808080",,10,0.216216,0.249265,858.199573
Heracles Almelo,,,,"#808080",,11,0.21875,0.251384,0
Slavia Prague,,,,"#808080",,10,0.225806,0.255691,434
Benfica,Benfica,,,"#808080",Benfica,9,0.290323,0.359395,6113.598525
SönderjyskE,,,,"#808080",,11,0.185593,0.20644,219
HB Köge,,,,"#808080",,12,0.157143,0.171112,0
Trabzonspor,,,Turkey,"#E30A17",,12,0.202817,0.232231,1204.109825
FC Copenhagen,,,Denmark,"#C60C30",,11,0.253521,0.315666,3872.383499
Parma,,,,"#808080",,13,0.169545,0.191162,806.474117
Cardiff,,,,"#808080",,10,0.244621,0.293588,607.046929
Bologna,,,,"#808080",,9,0.258993,0.304334,3246.611343
Nordsjaelland,,,,"#808080",,10,0.272841,0.326811,0
Odense BK U19,,,,"#808080",,0,0,0,0
