,tm-shirt-number,url,name,current-team,market-value,country
0,12,https://www.transfermarkt.com/geronimo-rulli/marktwertverlauf/spieler/229604,Gerónimo Rulli,Villarreal CF,€10.00m ,Argentina
1,13,https://www.transfermarkt.com/cristian-romero/marktwertverlauf/spieler/355915,Cristian Romero,Tottenham Hotspur,€55.00m ,Argentina
2,6,https://www.transfermarkt.com/german-pezzella/marktwertverlauf/spieler/113133,Germán Pezzella,Real Betis Balompié,€5.00m ,Argentina
3,8,https://www.transfermarkt.com/marcos-acuna/marktwertverlauf/spieler/60410,Marcos Acuña,Sevilla FC,€14.00m ,Argentina
4,2,https://www.transfermarkt.com/juan-foyth/marktwertverlauf/spieler/480763,Juan Foyth,Villarreal CF,€25.00m ,Argentina
5,4,https://www.transfermarkt.com/gonzalo-montiel/marktwertverlauf/spieler/402733,Gonzalo Montiel,Sevilla FC,€12.00m ,Argentina
6,5,https://www.transfermarkt.com/leandro-paredes/marktwertverlauf/spieler/166237,Leandro Paredes,Juventus FC,€15.00m ,Argentina
7,24,https://www.transfermarkt.com/enzo-fernandez/marktwertverlauf/spieler/648195,Enzo Fernández,SL Benfica,€35.00m ,Argentina
8,14,https://www.transfermarkt.com/exequiel-palacios/marktwertverlauf/spieler/401578,Exequiel Palacios,Bayer 04 Leverkusen,€15.00m ,Argentina
9,17,https://www.transfermarkt.com/papu-gomez/marktwertverlauf/spieler/20005,Papu Gómez,Sevilla FC,€4.00m ,Argentina
10,15,https://www.transfermarkt.com/angel-correa/marktwertverlauf/spieler/266807,Ángel Correa,Atlético de Madrid,€40.00m ,Argentina
11,21,https://www.transfermarkt.com/paulo-dybala/marktwertverlauf/spieler/206050,Paulo Dybala,AS Roma,€30.00m ,Argentina
12,9,https://www.transfermarkt.com/julian-alvarez/marktwertverlauf/spieler/576024,Julián Álvarez,Manchester City,€32.00m ,Argentina
13,23,https://www.transfermarkt.com/emiliano-martinez/marktwertverlauf/spieler/111873,Emiliano Martínez,Aston Villa,€25.00m ,Argentina
14,1,https://www.transfermarkt.com/franco-armani/marktwertverlauf/spieler/119634,Franco Armani,CA River Plate,€3.20m ,Argentina
15,25,https://www.transfermarkt.com/lisandro-martinez/marktwertverlauf/spieler/480762,Lisandro Martínez,Manchester United,€50.00m ,Argentina
16,19,https://www.transfermarkt.com/nicolas-otamendi/marktwertverlauf/spieler/54781,Nicolás Otamendi,SL Benfica,€3.00m ,Argentina
17,3,https://www.transfermarkt.com/nicolas-tagliafico/marktwertverlauf/spieler/131225,Nicolás Tagliafico,Olympique Lyon,€9.00m ,Argentina
18,26,https://www.transfermarkt.com/nahuel-molina/marktwertverlauf/spieler/424042,Nahuel Molina,Atlético de Madrid,€18.00m ,Argentina
19,18,https://www.transfermarkt.com/guido-rodriguez/marktwertverlauf/spieler/342385,Guido Rodríguez,Real Betis Balompié,€28.00m ,Argentina
20,7,https://www.transfermarkt.com/rodrigo-de-paul/marktwertverlauf/spieler/255901,Rodrigo de Paul,Atlético de Madrid,€35.00m ,Argentina
21,20,https://www.transfermarkt.com/alexis-mac-allister/marktwertverlauf/spieler/534033,Alexis Mac Allister,Brighton &amp; Hove Albion,€32.00m ,Argentina
22,16,https://www.transfermarkt.com/thiago-almada/marktwertverlauf/spieler/576028,Thiago Almada,Atlanta United FC,€15.00m ,Argentina
23,10,https://www.transfermarkt.com/lionel-messi/marktwertverlauf/spieler/28003,Lionel Messi,Paris Saint-Germain,€50.00m ,Argentina
24,11,https://www.transfermarkt.com/angel-di-maria/marktwertverlauf/spieler/45320,Ángel Di María,Juventus FC,€10.00m ,Argentina
25,22,https://www.transfermarkt.com/lautaro-martinez/marktwertverlauf/spieler/406625,Lautaro Martínez,Inter Milan,€75.00m ,Argentina
