,tm-shirt-number,url,name,current-team,market-value,country
0,12,https://www.transfermarkt.com/andrew-redmayne/marktwertverlauf/spieler/51975,Andrew Redmayne,Sydney FC,€500k ,Australia
1,19,https://www.transfermarkt.com/harry-souttar/marktwertverlauf/spieler/298091,Harry Souttar,Stoke City,€4.50m ,Australia
2,8,https://www.transfermarkt.com/bailey-wright/marktwertverlauf/spieler/147419,Bailey Wright,Sunderland AFC,€700k ,Australia
3,20,https://www.transfermarkt.com/thomas-deng/marktwertverlauf/spieler/366543,Thomas Deng,Albirex Niigata,€600k ,Australia
4,24,https://www.transfermarkt.com/joel-king/marktwertverlauf/spieler/616430,Joel King,Odense Boldklub,€500k ,Australia
5,3,https://www.transfermarkt.com/nathaniel-atkinson/marktwertverlauf/spieler/556038,Nathaniel Atkinson,Heart of Midlothian FC,€1.00m ,Australia
6,26,https://www.transfermarkt.com/keanu-baccus/marktwertverlauf/spieler/479037,Keanu Baccus,St. Mirren FC,€650k ,Australia
7,14,https://www.transfermarkt.com/riley-mcgree/marktwertverlauf/spieler/428061,Riley McGree,Middlesbrough FC,€2.00m ,Australia
8,10,https://www.transfermarkt.com/ajdin-hrustic/marktwertverlauf/spieler/265625,Ajdin Hrustic,Hellas Verona,€1.80m ,Australia
9,23,https://www.transfermarkt.com/craig-goodwin/marktwertverlauf/spieler/214798,Craig Goodwin,Adelaide United,€1.20m ,Australia
10,6,https://www.transfermarkt.com/marco-tilio/marktwertverlauf/spieler/565531,Marco Tilio,Melbourne City FC,€900k ,Australia
11,25,https://www.transfermarkt.com/jason-cummings/marktwertverlauf/spieler/209583,Jason Cummings,Central Coast Mariners,€900k ,Australia
12,21,https://www.transfermarkt.com/garang-kuol/marktwertverlauf/spieler/967948,Garang Kuol,Central Coast Mariners,€800k ,Australia
13,1,https://www.transfermarkt.com/mathew-ryan/marktwertverlauf/spieler/128969,Mathew Ryan,FC Copenhagen,€5.00m ,Australia
14,18,https://www.transfermarkt.com/danny-vukovic/marktwertverlauf/spieler/43113,Danny Vukovic,Central Coast Mariners,€150k ,Australia
15,2,https://www.transfermarkt.com/milos-degenek/marktwertverlauf/spieler/187353,Milos Degenek,Columbus Crew,€2.00m ,Australia
16,4,https://www.transfermarkt.com/kye-rowles/marktwertverlauf/spieler/399990,Kye Rowles,Heart of Midlothian FC,€600k ,Australia
17,16,https://www.transfermarkt.com/aziz-behich/marktwertverlauf/spieler/136834,Aziz Behich,Dundee United FC,€700k ,Australia
18,5,https://www.transfermarkt.com/fran-karacic/marktwertverlauf/spieler/367795,Fran Karacic,Brescia Calcio,€1.20m ,Australia
19,17,https://www.transfermarkt.com/cammy-devlin/marktwertverlauf/spieler/399162,Cammy Devlin,Heart of Midlothian FC,€700k ,Australia
20,13,https://www.transfermarkt.com/aaron-mooy/marktwertverlauf/spieler/123951,Aaron Mooy,Celtic FC,€4.00m ,Australia
21,22,https://www.transfermarkt.com/jackson-irvine/marktwertverlauf/spieler/192557,Jackson Irvine,FC St. Pauli,€2.00m ,Australia
22,11,https://www.transfermarkt.com/awer-mabil/marktwertverlauf/spieler/255729,Awer Mabil,Cádiz CF,€1.50m ,Australia
23,7,https://www.transfermarkt.com/mathew-leckie/marktwertverlauf/spieler/126214,Mathew Leckie,Melbourne City FC,€800k ,Australia
24,9,https://www.transfermarkt.com/jamie-maclaren/marktwertverlauf/spieler/173591,Jamie Maclaren,Melbourne City FC,€1.80m ,Australia
25,15,https://www.transfermarkt.com/mitchell-duke/marktwertverlauf/spieler/177775,Mitchell Duke,Fagiano Okayama,€800k ,Australia
