,tm-shirt-number,url,name,current-team,market-value,country
0,13,https://www.transfermarkt.com/koen-casteels/marktwertverlauf/spieler/108880,Koen Casteels,VfL Wolfsburg,€8.00m ,Belgium
1,3,https://www.transfermarkt.com/arthur-theate/marktwertverlauf/spieler/368891,Arthur Theate,Stade Rennais FC,€20.00m ,Belgium
2,26,https://www.transfermarkt.com/zeno-debast/marktwertverlauf/spieler/548193,Zeno Debast,RSC Anderlecht,€8.00m ,Belgium
3,5,https://www.transfermarkt.com/jan-vertonghen/marktwertverlauf/spieler/43250,Jan Vertonghen,RSC Anderlecht,€1.80m ,Belgium
4,15,https://www.transfermarkt.com/thomas-meunier/marktwertverlauf/spieler/100986,Thomas Meunier,Borussia Dortmund,€6.50m ,Belgium
5,19,https://www.transfermarkt.com/leander-dendoncker/marktwertverlauf/spieler/168157,Leander Dendoncker,Aston Villa,€22.00m ,Belgium
6,8,https://www.transfermarkt.com/youri-tielemans/marktwertverlauf/spieler/249565,Youri Tielemans,Leicester City,€40.00m ,Belgium
7,22,https://www.transfermarkt.com/charles-de-ketelaere/marktwertverlauf/spieler/435772,Charles De Ketelaere,AC Milan,€30.00m ,Belgium
8,11,https://www.transfermarkt.com/yannick-carrasco/marktwertverlauf/spieler/140776,Yannick Carrasco,Atlético de Madrid,€30.00m ,Belgium
9,16,https://www.transfermarkt.com/thorgan-hazard/marktwertverlauf/spieler/102226,Thorgan Hazard,Borussia Dortmund,€9.00m ,Belgium
10,9,https://www.transfermarkt.com/romelu-lukaku/marktwertverlauf/spieler/96341,Romelu Lukaku,Inter Milan,€55.00m ,Belgium
11,23,https://www.transfermarkt.com/michy-batshuayi/marktwertverlauf/spieler/179184,Michy Batshuayi,Fenerbahce,€10.00m ,Belgium
12,1,https://www.transfermarkt.com/thibaut-courtois/marktwertverlauf/spieler/108390,Thibaut Courtois,Real Madrid,€60.00m ,Belgium
13,12,https://www.transfermarkt.com/simon-mignolet/marktwertverlauf/spieler/50219,Simon Mignolet,Club Brugge KV,€5.00m ,Belgium
14,4,https://www.transfermarkt.com/wout-faes/marktwertverlauf/spieler/292808,Wout Faes,Leicester City,€20.00m ,Belgium
15,2,https://www.transfermarkt.com/toby-alderweireld/marktwertverlauf/spieler/42710,Toby Alderweireld,Royal Antwerp FC,€4.00m ,Belgium
16,21,https://www.transfermarkt.com/timothy-castagne/marktwertverlauf/spieler/262226,Timothy Castagne,Leicester City,€28.00m ,Belgium
17,18,https://www.transfermarkt.com/amadou-onana/marktwertverlauf/spieler/485706,Amadou Onana,Everton FC,€35.00m ,Belgium
18,6,https://www.transfermarkt.com/axel-witsel/marktwertverlauf/spieler/35047,Axel Witsel,Atlético de Madrid,€5.00m ,Belgium
19,7,https://www.transfermarkt.com/kevin-de-bruyne/marktwertverlauf/spieler/88755,Kevin De Bruyne,Manchester City,€80.00m ,Belgium
20,20,https://www.transfermarkt.com/hans-vanaken/marktwertverlauf/spieler/137576,Hans Vanaken,Club Brugge KV,€15.00m ,Belgium
21,17,https://www.transfermarkt.com/leandro-trossard/marktwertverlauf/spieler/144028,Leandro Trossard,Brighton &amp; Hove Albion,€30.00m ,Belgium
22,25,https://www.transfermarkt.com/jeremy-doku/marktwertverlauf/spieler/486049,Jérémy Doku,Stade Rennais FC,€18.00m ,Belgium
23,24,https://www.transfermarkt.com/lois-openda/marktwertverlauf/spieler/368887,Loïs Openda,RC Lens,€12.00m ,Belgium
24,14,https://www.transfermarkt.com/dries-mertens/marktwertverlauf/spieler/56416,Dries Mertens,Galatasaray,€3.40m ,Belgium
