,tm-shirt-number,url,name,current-team,market-value,country
0,23,https://www.transfermarkt.com/ederson/marktwertverlauf/spieler/238223,Ederson,Manchester City,€45.00m ,Brazil
1,4,https://www.transfermarkt.com/marquinhos/marktwertverlauf/spieler/181767,Marquinhos,Paris Saint-Germain,€70.00m ,Brazil
2,24,https://www.transfermarkt.com/bremer/marktwertverlauf/spieler/516716,Bremer,Juventus FC,€40.00m ,Brazil
3,16,https://www.transfermarkt.com/alex-telles/marktwertverlauf/spieler/255755,Alex Telles,Sevilla FC,€14.00m ,Brazil
4,2,https://www.transfermarkt.com/danilo/marktwertverlauf/spieler/145707,Danilo,Juventus FC,€12.00m ,Brazil
5,17,https://www.transfermarkt.com/bruno-guimaraes/marktwertverlauf/spieler/520624,Bruno Guimarães,Newcastle United,€60.00m ,Brazil
6,5,https://www.transfermarkt.com/casemiro/marktwertverlauf/spieler/16306,Casemiro,Manchester United,€50.00m ,Brazil
7,22,https://www.transfermarkt.com/everton-ribeiro/marktwertverlauf/spieler/52896,Éverton Ribeiro,Clube de Regatas do Flamengo,€4.50m ,Brazil
8,20,https://www.transfermarkt.com/vinicius-junior/marktwertverlauf/spieler/371998,Vinicius Junior,Real Madrid,€120.00m ,Brazil
9,26,https://www.transfermarkt.com/gabriel-martinelli/marktwertverlauf/spieler/655488,Gabriel Martinelli,Arsenal FC,€60.00m ,Brazil
10,19,https://www.transfermarkt.com/antony/marktwertverlauf/spieler/602105,Antony,Manchester United,€75.00m ,Brazil
11,18,https://www.transfermarkt.com/gabriel-jesus/marktwertverlauf/spieler/363205,Gabriel Jesus,Arsenal FC,€75.00m ,Brazil
12,25,https://www.transfermarkt.com/pedro/marktwertverlauf/spieler/432895,Pedro,Clube de Regatas do Flamengo,€20.00m ,Brazil
13,1,https://www.transfermarkt.com/alisson/marktwertverlauf/spieler/105470,Alisson,Liverpool FC,€50.00m ,Brazil
14,12,https://www.transfermarkt.com/weverton/marktwertverlauf/spieler/69400,Weverton,Sociedade Esportiva Palmeiras,€3.50m ,Brazil
15,14,https://www.transfermarkt.com/eder-militao/marktwertverlauf/spieler/401530,Éder Militão,Real Madrid,€60.00m ,Brazil
16,3,https://www.transfermarkt.com/thiago-silva/marktwertverlauf/spieler/29241,Thiago Silva,Chelsea FC,€2.50m ,Brazil
17,6,https://www.transfermarkt.com/alex-sandro/marktwertverlauf/spieler/79960,Alex Sandro,Juventus FC,€4.50m ,Brazil
18,13,https://www.transfermarkt.com/dani-alves/marktwertverlauf/spieler/15951,Dani Alves,UNAM Pumas,€1.00m ,Brazil
19,15,https://www.transfermarkt.com/fabinho/marktwertverlauf/spieler/225693,Fabinho,Liverpool FC,€55.00m ,Brazil
20,8,https://www.transfermarkt.com/fred/marktwertverlauf/spieler/191614,Fred,Manchester United,€20.00m ,Brazil
21,7,https://www.transfermarkt.com/lucas-paqueta/marktwertverlauf/spieler/444523,Lucas Paquetá,West Ham United,€45.00m ,Brazil
22,10,https://www.transfermarkt.com/neymar/marktwertverlauf/spieler/68290,Neymar,Paris Saint-Germain,€75.00m ,Brazil
23,21,https://www.transfermarkt.com/rodrygo/marktwertverlauf/spieler/412363,Rodrygo,Real Madrid,€80.00m ,Brazil
24,11,https://www.transfermarkt.com/raphinha/marktwertverlauf/spieler/411295,Raphinha,FC Barcelona,€50.00m ,Brazil
25,9,https://www.transfermarkt.com/richarlison/marktwertverlauf/spieler/378710,Richarlison,Tottenham Hotspur,€50.00m ,Brazil
