,tm-shirt-number,url,name,current-team,market-value,country
0,16,https://www.transfermarkt.com/devis-epassy/marktwertverlauf/spieler/170471,Devis Epassy,Abha Club,€700k ,Cameroon
1,4,https://www.transfermarkt.com/christopher-wooh/marktwertverlauf/spieler/572326,Christopher Wooh,Stade Rennais FC,€6.00m ,Cameroon
2,3,https://www.transfermarkt.com/nicolas-nkoulou/marktwertverlauf/spieler/60577,Nicolas N'Koulou,Aris Thessaloniki,€1.80m ,Cameroon
3,25,https://www.transfermarkt.com/nouhou/marktwertverlauf/spieler/436332,Nouhou,Seattle Sounders FC,€3.00m ,Cameroon
4,19,https://www.transfermarkt.com/collins-fai/marktwertverlauf/spieler/250638,Collins Fai,Al-Tai,€1.00m ,Cameroon
5,18,https://www.transfermarkt.com/martin-hongla/marktwertverlauf/spieler/398808,Martin Hongla,Hellas Verona,€3.50m ,Cameroon
6,5,https://www.transfermarkt.com/gael-ondoua/marktwertverlauf/spieler/322309,Gaël Ondoua,Hannover 96,€800k ,Cameroon
7,15,https://www.transfermarkt.com/pierre-kunde/marktwertverlauf/spieler/339829,Pierre Kunde,Olympiacos Piraeus,€2.00m ,Cameroon
8,7,https://www.transfermarkt.com/georges-kevin-nkoudou/marktwertverlauf/spieler/215679,Georges-Kevin N'Koudou,Besiktas JK,€5.50m ,Cameroon
9,2,https://www.transfermarkt.com/jerome-ngom-mbekeli/marktwertverlauf/spieler/652782,Jerome Ngom Mbekeli,Colombe Sportive du Dja et Lobo,€300k ,Cameroon
10,11,https://www.transfermarkt.com/christian-bassogog/marktwertverlauf/spieler/374281,Christian Bassogog,Shanghai Shenhua,€4.50m ,Cameroon
11,10,https://www.transfermarkt.com/vincent-aboubakar/marktwertverlauf/spieler/147487,Vincent Aboubakar,Al-Nassr FC,€5.00m ,Cameroon
12,26,https://www.transfermarkt.com/souaibou-marou/marktwertverlauf/spieler/638967,Souaibou Marou,Coton Sport FC de Garoua,€400k ,Cameroon
13,23,https://www.transfermarkt.com/andre-onana/marktwertverlauf/spieler/234509,André Onana,Inter Milan,€14.00m ,Cameroon
14,1,https://www.transfermarkt.com/simon-ngapandouetnbu/marktwertverlauf/spieler/696600,Simon Ngapandouetnbu,Olympique Marseille,€400k ,Cameroon
15,21,https://www.transfermarkt.com/jean-charles-castelletto/marktwertverlauf/spieler/182875,Jean-Charles Castelletto,FC Nantes,€4.00m ,Cameroon
16,24,https://www.transfermarkt.com/enzo-ebosse/marktwertverlauf/spieler/342877,Enzo Ebosse,Udinese Calcio,€4.50m ,Cameroon
17,17,https://www.transfermarkt.com/olivier-mbaizo/marktwertverlauf/spieler/426944,Olivier Mbaizo,Philadelphia Union,€1.50m ,Cameroon
18,8,https://www.transfermarkt.com/frank-anguissa/marktwertverlauf/spieler/354361,Frank Anguissa,SSC Napoli,€38.00m ,Cameroon
19,14,https://www.transfermarkt.com/samuel-oum-gouet/marktwertverlauf/spieler/452238,Samuel Oum Gouet,KV Mechelen,€1.30m ,Cameroon
20,22,https://www.transfermarkt.com/olivier-ntcham/marktwertverlauf/spieler/224088,Olivier Ntcham,Swansea City,€2.80m ,Cameroon
21,12,https://www.transfermarkt.com/karl-toko-ekambi/marktwertverlauf/spieler/315110,Karl Toko Ekambi,Olympique Lyon,€12.00m ,Cameroon
22,6,https://www.transfermarkt.com/nicolas-moumi-ngamaleu/marktwertverlauf/spieler/266768,Nicolas Moumi Ngamaleu,Dynamo Moscow,€4.00m ,Cameroon
23,20,https://www.transfermarkt.com/bryan-mbeumo/marktwertverlauf/spieler/413039,Bryan Mbeumo,Brentford FC,€28.00m ,Cameroon
24,13,https://www.transfermarkt.com/eric-maxim-choupo-moting/marktwertverlauf/spieler/45660,Eric Maxim Choupo-Moting,Bayern Munich,€6.00m ,Cameroon
25,9,https://www.transfermarkt.com/jean-pierre-nsame/marktwertverlauf/spieler/225055,Jean-Pierre Nsame,BSC Young Boys,€4.00m ,Cameroon
