,tm-shirt-number,url,name,current-team,market-value,country
0,18,https://www.transfermarkt.com/milan-borjan/marktwertverlauf/spieler/67797,Milan Borjan,Red Star Belgrade,€1.20m ,Canada
1,4,https://www.transfermarkt.com/kamal-miller/marktwertverlauf/spieler/487504,Kamal Miller,CF Montréal,€4.00m ,Canada
2,25,https://www.transfermarkt.com/derek-cornelius/marktwertverlauf/spieler/328609,Derek Cornelius,Panetolikos GFS,€800k ,Canada
3,19,https://www.transfermarkt.com/alphonso-davies/marktwertverlauf/spieler/424204,Alphonso Davies,Bayern Munich,€70.00m ,Canada
4,2,https://www.transfermarkt.com/alistair-johnston/marktwertverlauf/spieler/637446,Alistair Johnston,CF Montréal,€6.00m ,Canada
5,6,https://www.transfermarkt.com/samuel-piette/marktwertverlauf/spieler/189019,Samuel Piette,CF Montréal,€2.50m ,Canada
6,13,https://www.transfermarkt.com/atiba-hutchinson/marktwertverlauf/spieler/16101,Atiba Hutchinson,Besiktas JK,€200k ,Canada
7,15,https://www.transfermarkt.com/ismael-kone/marktwertverlauf/spieler/921655,Ismaël Koné,CF Montréal,€6.00m ,Canada
8,14,https://www.transfermarkt.com/mark-anthony-kaye/marktwertverlauf/spieler/343553,Mark-Anthony Kaye,Toronto FC,€3.00m ,Canada
9,23,https://www.transfermarkt.com/liam-millar/marktwertverlauf/spieler/487417,Liam Millar,FC Basel 1893,€2.30m ,Canada
10,11,https://www.transfermarkt.com/tajon-buchanan/marktwertverlauf/spieler/638793,Tajon Buchanan,Club Brugge KV,€12.00m ,Canada
11,17,https://www.transfermarkt.com/cyle-larin/marktwertverlauf/spieler/343463,Cyle Larin,Club Brugge KV,€6.00m ,Canada
12,9,https://www.transfermarkt.com/lucas-cavallini/marktwertverlauf/spieler/221038,Lucas Cavallini,Vancouver Whitecaps FC,€2.00m ,Canada
13,1,https://www.transfermarkt.com/dayne-st-clair/marktwertverlauf/spieler/439750,Dayne St. Clair,Minnesota United FC,€1.50m ,Canada
14,16,https://www.transfermarkt.com/james-pantemis/marktwertverlauf/spieler/429217,James Pantemis,CF Montréal,€400k ,Canada
15,26,https://www.transfermarkt.com/joel-waterman/marktwertverlauf/spieler/441738,Joel Waterman,CF Montréal,€2.00m ,Canada
16,5,https://www.transfermarkt.com/steven-vitoria/marktwertverlauf/spieler/54716,Steven Vitória,GD Chaves,€100k ,Canada
17,3,https://www.transfermarkt.com/sam-adekugbe/marktwertverlauf/spieler/287578,Sam Adekugbe,Hatayspor,€2.00m ,Canada
18,22,https://www.transfermarkt.com/richie-laryea/marktwertverlauf/spieler/417348,Richie Laryea,Toronto FC,€2.50m ,Canada
19,8,https://www.transfermarkt.com/liam-fraser/marktwertverlauf/spieler/377109,Liam Fraser,KMSK Deinze,€900k ,Canada
20,7,https://www.transfermarkt.com/stephen-eustaquio/marktwertverlauf/spieler/512913,Stephen Eustaquio,FC Porto,€8.00m ,Canada
21,21,https://www.transfermarkt.com/jonathan-osorio/marktwertverlauf/spieler/260807,Jonathan Osorio,Toronto FC,€3.50m ,Canada
22,24,https://www.transfermarkt.com/david-wotherspoon/marktwertverlauf/spieler/74861,David Wotherspoon,St. Johnstone FC,€600k ,Canada
23,10,https://www.transfermarkt.com/junior-hoilett/marktwertverlauf/spieler/58993,Junior Hoilett,Reading FC,€800k ,Canada
24,20,https://www.transfermarkt.com/jonathan-david/marktwertverlauf/spieler/533738,Jonathan David,LOSC Lille,€45.00m ,Canada
25,12,https://www.transfermarkt.com/ike-ugbo/marktwertverlauf/spieler/339943,Iké Ugbo,ESTAC Troyes,€4.00m ,Canada
