,tm-shirt-number,url,name,current-team,market-value,country
0,18,https://www.transfermarkt.com/esteban-alvarado/marktwertverlauf/spieler/128502,Esteban Alvarado,CS Herediano,€225k ,Costa Rica
1,3,https://www.transfermarkt.com/juan-pablo-vargas/marktwertverlauf/spieler/271907,Juan Pablo Vargas,Millonarios FC,€1.70m ,Costa Rica
2,6,https://www.transfermarkt.com/oscar-duarte/marktwertverlauf/spieler/175323,Óscar Duarte,Al-Wehda FC,€600k ,Costa Rica
3,19,https://www.transfermarkt.com/kendall-waston/marktwertverlauf/spieler/195540,Kendall Waston,Deportivo Saprissa,€175k ,Costa Rica
4,8,https://www.transfermarkt.com/bryan-oviedo/marktwertverlauf/spieler/124983,Bryan Oviedo,Real Salt Lake City,€200k ,Costa Rica
5,4,https://www.transfermarkt.com/keysher-fuller/marktwertverlauf/spieler/525122,Keysher Fuller,CS Herediano,€250k ,Costa Rica
6,21,https://www.transfermarkt.com/douglas-lopez/marktwertverlauf/spieler/580201,Douglas López,CS Herediano,€275k ,Costa Rica
7,24,https://www.transfermarkt.com/roan-wilson/marktwertverlauf/spieler/645191,Roan Wilson,Municipal Grecia,€250k ,Costa Rica
8,13,https://www.transfermarkt.com/gerson-torres/marktwertverlauf/spieler/372737,Gerson Torres,CS Herediano,€325k ,Costa Rica
9,20,https://www.transfermarkt.com/brandon-aguilera/marktwertverlauf/spieler/631996,Brandon Aguilera,AD Guanacasteca,€275k ,Costa Rica
10,9,https://www.transfermarkt.com/jewison-bennette/marktwertverlauf/spieler/743627,Jewison Bennette,Sunderland AFC,€1.00m ,Costa Rica
11,25,https://www.transfermarkt.com/anthony-hernandez/marktwertverlauf/spieler/1035805,Anthony Hernández,Puntarenas FC,€250k ,Costa Rica
12,11,https://www.transfermarkt.com/johan-venegas/marktwertverlauf/spieler/195424,Johan Venegas,LD Alajuelense,€300k ,Costa Rica
13,-,https://www.transfermarkt.com/keylor-navas/marktwertverlauf/spieler/79422,Keylor Navas,Paris Saint-Germain,€5.00m ,Costa Rica
14,23,https://www.transfermarkt.com/patrick-sequeira/marktwertverlauf/spieler/378482,Patrick Sequeira,CD Lugo,€200k ,Costa Rica
15,15,https://www.transfermarkt.com/francisco-calvo/marktwertverlauf/spieler/188470,Francisco Calvo,Konyaspor,€1.70m ,Costa Rica
16,2,https://www.transfermarkt.com/daniel-chacon/marktwertverlauf/spieler/524992,Daniel Chacón,Colorado Rapids 2,€300k ,Costa Rica
17,22,https://www.transfermarkt.com/ronald-matarrita/marktwertverlauf/spieler/268273,Ronald Matarrita,FC Cincinnati,€1.50m ,Costa Rica
18,16,https://www.transfermarkt.com/carlos-martinez/marktwertverlauf/spieler/511169,Carlos Martínez,AD San Carlos,€275k ,Costa Rica
19,17,https://www.transfermarkt.com/yeltsin-tejeda/marktwertverlauf/spieler/194218,Yeltsin Tejeda,CS Herediano,€275k ,Costa Rica
20,14,https://www.transfermarkt.com/youstin-salas/marktwertverlauf/spieler/322958,Youstin Salas,Deportivo Saprissa,€250k ,Costa Rica
21,5,https://www.transfermarkt.com/celso-borges/marktwertverlauf/spieler/81532,Celso Borges,LD Alajuelense,€200k ,Costa Rica
22,26,https://www.transfermarkt.com/alvaro-zamora/marktwertverlauf/spieler/731899,Álvaro Zamora,Deportivo Saprissa,€200k ,Costa Rica
23,10,https://www.transfermarkt.com/bryan-ruiz/marktwertverlauf/spieler/39642,Bryan Ruiz,LD Alajuelense,€150k ,Costa Rica
24,12,https://www.transfermarkt.com/joel-campbell/marktwertverlauf/spieler/131248,Joel Campbell,Club León FC,€2.50m ,Costa Rica
25,7,https://www.transfermarkt.com/anthony-contreras/marktwertverlauf/spieler/483362,Anthony Contreras,CS Herediano,€375k ,Costa Rica
