,tm-shirt-number,url,name,current-team,market-value,country
0,23,https://www.transfermarkt.com/ivica-ivusic/marktwertverlauf/spieler/160482,Ivica Ivusic,NK Osijek,€5.00m ,Croatia
1,20,https://www.transfermarkt.com/josko-gvardiol/marktwertverlauf/spieler/475959,Josko Gvardiol,RB Leipzig,€60.00m ,Croatia
2,5,https://www.transfermarkt.com/martin-erlic/marktwertverlauf/spieler/357003,Martin Erlic,US Sassuolo,€5.50m ,Croatia
3,21,https://www.transfermarkt.com/domagoj-vida/marktwertverlauf/spieler/46083,Domagoj Vida,AEK Athens,€2.00m ,Croatia
4,3,https://www.transfermarkt.com/borna-barisic/marktwertverlauf/spieler/39125,Borna Barisic,Rangers FC,€6.50m ,Croatia
5,22,https://www.transfermarkt.com/josip-juranovic/marktwertverlauf/spieler/362977,Josip Juranovic,Celtic FC,€6.50m ,Croatia
6,26,https://www.transfermarkt.com/kristijan-jakic/marktwertverlauf/spieler/374954,Kristijan Jakic,Eintracht Frankfurt,€9.00m ,Croatia
7,10,https://www.transfermarkt.com/luka-modric/marktwertverlauf/spieler/27992,Luka Modric,Real Madrid,€10.00m ,Croatia
8,15,https://www.transfermarkt.com/mario-pasalic/marktwertverlauf/spieler/205938,Mario Pasalic,Atalanta BC,€25.00m ,Croatia
9,13,https://www.transfermarkt.com/nikola-vlasic/marktwertverlauf/spieler/293200,Nikola Vlasic,Torino FC,€20.00m ,Croatia
10,18,https://www.transfermarkt.com/mislav-orsic/marktwertverlauf/spieler/119150,Mislav Orsic,GNK Dinamo Zagreb,€10.00m ,Croatia
11,14,https://www.transfermarkt.com/marko-livaja/marktwertverlauf/spieler/95438,Marko Livaja,HNK Hajduk Split,€8.00m ,Croatia
12,17,https://www.transfermarkt.com/ante-budimir/marktwertverlauf/spieler/46413,Ante Budimir,CA Osasuna,€6.00m ,Croatia
13,1,https://www.transfermarkt.com/dominik-livakovic/marktwertverlauf/spieler/205927,Dominik Livakovic,GNK Dinamo Zagreb,€8.50m ,Croatia
14,12,https://www.transfermarkt.com/ivo-grbic/marktwertverlauf/spieler/226073,Ivo Grbic,Atlético de Madrid,€3.50m ,Croatia
15,24,https://www.transfermarkt.com/josip-sutalo/marktwertverlauf/spieler/371001,Josip Sutalo,GNK Dinamo Zagreb,€18.00m ,Croatia
16,6,https://www.transfermarkt.com/dejan-lovren/marktwertverlauf/spieler/37838,Dejan Lovren,Zenit St. Petersburg,€3.50m ,Croatia
17,19,https://www.transfermarkt.com/borna-sosa/marktwertverlauf/spieler/293194,Borna Sosa,VfB Stuttgart,€20.00m ,Croatia
18,2,https://www.transfermarkt.com/josip-stanisic/marktwertverlauf/spieler/483046,Josip Stanisic,Bayern Munich,€8.00m ,Croatia
19,11,https://www.transfermarkt.com/marcelo-brozovic/marktwertverlauf/spieler/156617,Marcelo Brozovic,Inter Milan,€35.00m ,Croatia
20,8,https://www.transfermarkt.com/mateo-kovacic/marktwertverlauf/spieler/51471,Mateo Kovacic,Chelsea FC,€40.00m ,Croatia
21,4,https://www.transfermarkt.com/ivan-perisic/marktwertverlauf/spieler/42460,Ivan Perisic,Tottenham Hotspur,€10.00m ,Croatia
22,7,https://www.transfermarkt.com/lovro-majer/marktwertverlauf/spieler/387106,Lovro Majer,Stade Rennais FC,€22.00m ,Croatia
23,25,https://www.transfermarkt.com/luka-sucic/marktwertverlauf/spieler/502722,Luka Sucic,Red Bull Salzburg,€20.00m ,Croatia
24,9,https://www.transfermarkt.com/andrej-kramaric/marktwertverlauf/spieler/46580,Andrej Kramaric,TSG 1899 Hoffenheim,€9.00m ,Croatia
25,16,https://www.transfermarkt.com/bruno-petkovic/marktwertverlauf/spieler/256358,Bruno Petkovic,GNK Dinamo Zagreb,€6.00m ,Croatia
