,tm-shirt-number,url,name,current-team,market-value,country
0,22,https://www.transfermarkt.com/frederik-ronnow/marktwertverlauf/spieler/107775,Frederik Rönnow,1.FC Union Berlin,€3.50m ,Denmark
1,2,https://www.transfermarkt.com/joachim-andersen/marktwertverlauf/spieler/260827,Joachim Andersen,Crystal Palace,€32.00m ,Denmark
2,3,https://www.transfermarkt.com/victor-nelsson/marktwertverlauf/spieler/422951,Victor Nelsson,Galatasaray,€14.00m ,Denmark
3,5,https://www.transfermarkt.com/joakim-maehle/marktwertverlauf/spieler/369674,Joakim Maehle,Atalanta BC,€14.00m ,Denmark
4,26,https://www.transfermarkt.com/alexander-bah/marktwertverlauf/spieler/452607,Alexander Bah,SL Benfica,€8.00m ,Denmark
5,15,https://www.transfermarkt.com/christian-norgaard/marktwertverlauf/spieler/148367,Christian Nörgaard,Brentford FC,€14.00m ,Denmark
6,7,https://www.transfermarkt.com/mathias-jensen/marktwertverlauf/spieler/319859,Mathias Jensen,Brentford FC,€14.00m ,Denmark
7,18,https://www.transfermarkt.com/daniel-wass/marktwertverlauf/spieler/63463,Daniel Wass,Bröndby IF,€2.50m ,Denmark
8,25,https://www.transfermarkt.com/jesper-lindstrom/marktwertverlauf/spieler/513245,Jesper Lindström,Eintracht Frankfurt,€28.00m ,Denmark
9,14,https://www.transfermarkt.com/mikkel-damsgaard/marktwertverlauf/spieler/540941,Mikkel Damsgaard,Brentford FC,€15.00m ,Denmark
10,19,https://www.transfermarkt.com/jonas-wind/marktwertverlauf/spieler/391004,Jonas Wind,VfL Wolfsburg,€14.00m ,Denmark
11,20,https://www.transfermarkt.com/yussuf-poulsen/marktwertverlauf/spieler/157635,Yussuf Poulsen,RB Leipzig,€10.00m ,Denmark
12,9,https://www.transfermarkt.com/martin-braithwaite/marktwertverlauf/spieler/95732,Martin Braithwaite,RCD Espanyol Barcelona,€5.00m ,Denmark
13,16,https://www.transfermarkt.com/oliver-christensen/marktwertverlauf/spieler/471936,Oliver Christensen,Hertha BSC,€4.50m ,Denmark
14,1,https://www.transfermarkt.com/kasper-schmeichel/marktwertverlauf/spieler/16911,Kasper Schmeichel,OGC Nice,€2.50m ,Denmark
15,6,https://www.transfermarkt.com/andreas-christensen/marktwertverlauf/spieler/196948,Andreas Christensen,FC Barcelona,€30.00m ,Denmark
16,4,https://www.transfermarkt.com/simon-kjaer/marktwertverlauf/spieler/48859,Simon Kjaer,AC Milan,€5.00m ,Denmark
17,13,https://www.transfermarkt.com/rasmus-kristensen/marktwertverlauf/spieler/369684,Rasmus Kristensen,Leeds United,€15.00m ,Denmark
18,17,https://www.transfermarkt.com/jens-stryger-larsen/marktwertverlauf/spieler/69646,Jens Stryger Larsen,Trabzonspor,€2.00m ,Denmark
19,23,https://www.transfermarkt.com/pierre-emile-hojbjerg/marktwertverlauf/spieler/167799,Pierre-Emile Höjbjerg,Tottenham Hotspur,€45.00m ,Denmark
20,8,https://www.transfermarkt.com/thomas-delaney/marktwertverlauf/spieler/91849,Thomas Delaney,Sevilla FC,€3.00m ,Denmark
21,11,https://www.transfermarkt.com/andreas-skov-olsen/marktwertverlauf/spieler/432982,Andreas Skov Olsen,Club Brugge KV,€20.00m ,Denmark
22,10,https://www.transfermarkt.com/christian-eriksen/marktwertverlauf/spieler/69633,Christian Eriksen,Manchester United,€25.00m ,Denmark
23,24,https://www.transfermarkt.com/robert-skov/marktwertverlauf/spieler/270393,Robert Skov,TSG 1899 Hoffenheim,€9.00m ,Denmark
24,12,https://www.transfermarkt.com/kasper-dolberg/marktwertverlauf/spieler/283196,Kasper Dolberg,Sevilla FC,€12.00m ,Denmark
25,21,https://www.transfermarkt.com/andreas-cornelius/marktwertverlauf/spieler/203412,Andreas Cornelius,FC Copenhagen,€6.00m ,Denmark
