,tm-shirt-number,url,name,current-team,market-value,country
0,1,https://www.transfermarkt.com/hernan-galindez/marktwertverlauf/spieler/77127,Hernán Galíndez,SD Aucas,€600k ,Ecuador
1,3,https://www.transfermarkt.com/piero-hincapie/marktwertverlauf/spieler/659813,Piero Hincapié,Bayer 04 Leverkusen,€22.00m ,Ecuador
2,6,https://www.transfermarkt.com/william-pacho/marktwertverlauf/spieler/661171,William Pacho,Royal Antwerp FC,€3.50m ,Ecuador
3,4,https://www.transfermarkt.com/robert-arboleda/marktwertverlauf/spieler/139867,Robert Arboleda,São Paulo Futebol Clube,€2.00m ,Ecuador
4,7,https://www.transfermarkt.com/pervis-estupinan/marktwertverlauf/spieler/349599,Pervis Estupiñán,Brighton &amp; Hove Albion,€20.00m ,Ecuador
5,17,https://www.transfermarkt.com/angelo-preciado/marktwertverlauf/spieler/450241,Angelo Preciado,KRC Genk,€3.20m ,Ecuador
6,20,https://www.transfermarkt.com/jhegson-mendez/marktwertverlauf/spieler/330682,Jhegson Méndez,Los Angeles FC,€1.50m ,Ecuador
7,5,https://www.transfermarkt.com/jose-cifuentes/marktwertverlauf/spieler/450211,José Cifuentes,Los Angeles FC,€12.00m ,Ecuador
8,16,https://www.transfermarkt.com/jeremy-sarmiento/marktwertverlauf/spieler/568005,Jeremy Sarmiento,Brighton &amp; Hove Albion,€3.00m ,Ecuador
9,10,https://www.transfermarkt.com/romario-ibarra/marktwertverlauf/spieler/263605,Romario Ibarra,CF Pachuca,€1.80m ,Ecuador
10,15,https://www.transfermarkt.com/angel-mena/marktwertverlauf/spieler/123609,Ángel Mena,Club León FC,€1.50m ,Ecuador
11,13,https://www.transfermarkt.com/enner-valencia/marktwertverlauf/spieler/139503,Enner Valencia,Fenerbahce,€3.00m ,Ecuador
12,26,https://www.transfermarkt.com/kevin-rodriguez/marktwertverlauf/spieler/684159,Kevin Rodríguez,Imbabura SC,€300k ,Ecuador
13,12,https://www.transfermarkt.com/moises-ramirez/marktwertverlauf/spieler/450233,Moisés Ramírez,Independiente del Valle,€1.00m ,Ecuador
14,22,https://www.transfermarkt.com/alexander-dominguez/marktwertverlauf/spieler/84310,Alexander Domínguez,LDU Quito,€600k ,Ecuador
15,2,https://www.transfermarkt.com/felix-torres/marktwertverlauf/spieler/468174,Félix Torres,Santos Laguna,€6.00m ,Ecuador
16,25,https://www.transfermarkt.com/jackson-porozo/marktwertverlauf/spieler/491616,Jackson Porozo,ESTAC Troyes,€3.00m ,Ecuador
17,14,https://www.transfermarkt.com/xavier-arreaga/marktwertverlauf/spieler/323854,Xavier Arreaga,Seattle Sounders FC,€2.00m ,Ecuador
18,18,https://www.transfermarkt.com/diego-palacios/marktwertverlauf/spieler/425567,Diego Palacios,Los Angeles FC,€4.00m ,Ecuador
19,8,https://www.transfermarkt.com/carlos-gruezo/marktwertverlauf/spieler/189475,Carlos Gruezo,FC Augsburg,€4.00m ,Ecuador
20,23,https://www.transfermarkt.com/moises-caicedo/marktwertverlauf/spieler/687626,Moisés Caicedo,Brighton &amp; Hove Albion,€38.00m ,Ecuador
21,21,https://www.transfermarkt.com/alan-franco/marktwertverlauf/spieler/400960,Alan Franco,Club Atlético Talleres,€2.50m ,Ecuador
22,9,https://www.transfermarkt.com/ayrton-preciado/marktwertverlauf/spieler/212310,Ayrton Preciado,Santos Laguna,€2.50m ,Ecuador
23,19,https://www.transfermarkt.com/gonzalo-plata/marktwertverlauf/spieler/592735,Gonzalo Plata,Real Valladolid CF,€5.00m ,Ecuador
24,11,https://www.transfermarkt.com/michael-estrada/marktwertverlauf/spieler/265481,Michael Estrada,CD Cruz Azul,€3.00m ,Ecuador
25,24,https://www.transfermarkt.com/djorkaeff-reasco/marktwertverlauf/spieler/473346,Djorkaeff Reasco,CA Newell's Old Boys,€500k ,Ecuador
