,tm-shirt-number,url,name,current-team,market-value,country
0,1,https://www.transfermarkt.com/jordan-pickford/marktwertverlauf/spieler/130164,Jordan Pickford,Everton FC,€28.00m ,England
1,21,https://www.transfermarkt.com/ben-white/marktwertverlauf/spieler/335721,Ben White,Arsenal FC,€45.00m ,England
2,6,https://www.transfermarkt.com/harry-maguire/marktwertverlauf/spieler/177907,Harry Maguire,Manchester United,€30.00m ,England
3,16,https://www.transfermarkt.com/conor-coady/marktwertverlauf/spieler/128901,Conor Coady,Everton FC,€18.00m ,England
4,18,https://www.transfermarkt.com/trent-alexander-arnold/marktwertverlauf/spieler/314353,Trent Alexander-Arnold,Liverpool FC,€70.00m ,England
5,12,https://www.transfermarkt.com/kieran-trippier/marktwertverlauf/spieler/95810,Kieran Trippier,Newcastle United,€13.00m ,England
6,14,https://www.transfermarkt.com/kalvin-phillips/marktwertverlauf/spieler/351749,Kalvin Phillips,Manchester City,€45.00m ,England
7,22,https://www.transfermarkt.com/jude-bellingham/marktwertverlauf/spieler/581678,Jude Bellingham,Borussia Dortmund,€100.00m ,England
8,8,https://www.transfermarkt.com/jordan-henderson/marktwertverlauf/spieler/61651,Jordan Henderson,Liverpool FC,€15.00m ,England
9,19,https://www.transfermarkt.com/mason-mount/marktwertverlauf/spieler/346483,Mason Mount,Chelsea FC,€75.00m ,England
10,7,https://www.transfermarkt.com/jack-grealish/marktwertverlauf/spieler/203460,Jack Grealish,Manchester City,€70.00m ,England
11,11,https://www.transfermarkt.com/marcus-rashford/marktwertverlauf/spieler/258923,Marcus Rashford,Manchester United,€55.00m ,England
12,24,https://www.transfermarkt.com/callum-wilson/marktwertverlauf/spieler/123682,Callum Wilson,Newcastle United,€18.00m ,England
13,23,https://www.transfermarkt.com/aaron-ramsdale/marktwertverlauf/spieler/427568,Aaron Ramsdale,Arsenal FC,€30.00m ,England
14,13,https://www.transfermarkt.com/nick-pope/marktwertverlauf/spieler/192080,Nick Pope,Newcastle United,€18.00m ,England
15,5,https://www.transfermarkt.com/john-stones/marktwertverlauf/spieler/186590,John Stones,Manchester City,€30.00m ,England
16,15,https://www.transfermarkt.com/eric-dier/marktwertverlauf/spieler/175722,Eric Dier,Tottenham Hotspur,€30.00m ,England
17,3,https://www.transfermarkt.com/luke-shaw/marktwertverlauf/spieler/183288,Luke Shaw,Manchester United,€28.00m ,England
18,2,https://www.transfermarkt.com/kyle-walker/marktwertverlauf/spieler/95424,Kyle Walker,Manchester City,€15.00m ,England
19,4,https://www.transfermarkt.com/declan-rice/marktwertverlauf/spieler/357662,Declan Rice,West Ham United,€80.00m ,England
20,20,https://www.transfermarkt.com/phil-foden/marktwertverlauf/spieler/406635,Phil Foden,Manchester City,€110.00m ,England
21,26,https://www.transfermarkt.com/conor-gallagher/marktwertverlauf/spieler/488362,Conor Gallagher,Chelsea FC,€32.00m ,England
22,17,https://www.transfermarkt.com/bukayo-saka/marktwertverlauf/spieler/433177,Bukayo Saka,Arsenal FC,€90.00m ,England
23,25,https://www.transfermarkt.com/james-maddison/marktwertverlauf/spieler/294057,James Maddison,Leicester City,€55.00m ,England
24,10,https://www.transfermarkt.com/raheem-sterling/marktwertverlauf/spieler/134425,Raheem Sterling,Chelsea FC,€70.00m ,England
25,9,https://www.transfermarkt.com/harry-kane/marktwertverlauf/spieler/132098,Harry Kane,Tottenham Hotspur,€90.00m ,England
