,tm-shirt-number,url,name,current-team,market-value,country
0,1,https://www.transfermarkt.com/hugo-lloris/marktwertverlauf/spieler/17965,Hugo Lloris,Tottenham Hotspur,€7.00m ,France
1,5,https://www.transfermarkt.com/jules-kounde/marktwertverlauf/spieler/411975,Jules Koundé,FC Barcelona,€60.00m ,France
2,18,https://www.transfermarkt.com/dayot-upamecano/marktwertverlauf/spieler/344695,Dayot Upamecano,Bayern Munich,€50.00m ,France
3,4,https://www.transfermarkt.com/raphael-varane/marktwertverlauf/spieler/164770,Raphaël Varane,Manchester United,€40.00m ,France
4,3,https://www.transfermarkt.com/axel-disasi/marktwertverlauf/spieler/386047,Axel Disasi,AS Monaco,€25.00m ,France
5,2,https://www.transfermarkt.com/benjamin-pavard/marktwertverlauf/spieler/353366,Benjamin Pavard,Bayern Munich,€35.00m ,France
6,15,https://www.transfermarkt.com/jordan-veretout/marktwertverlauf/spieler/164771,Jordan Veretout,Olympique Marseille,€14.00m ,France
7,6,https://www.transfermarkt.com/matteo-guendouzi/marktwertverlauf/spieler/465830,Mattéo Guendouzi,Olympique Marseille,€25.00m ,France
8,14,https://www.transfermarkt.com/adrien-rabiot/marktwertverlauf/spieler/182913,Adrien Rabiot,Juventus FC,€18.00m ,France
9,20,https://www.transfermarkt.com/kingsley-coman/marktwertverlauf/spieler/243714,Kingsley Coman,Bayern Munich,€60.00m ,France
10,10,https://www.transfermarkt.com/kylian-mbappe/marktwertverlauf/spieler/342229,Kylian Mbappé,Paris Saint-Germain,€160.00m ,France
11,12,https://www.transfermarkt.com/randal-kolo-muani/marktwertverlauf/spieler/487969,Randal Kolo Muani,Eintracht Frankfurt,€30.00m ,France
12,9,https://www.transfermarkt.com/olivier-giroud/marktwertverlauf/spieler/82442,Olivier Giroud,AC Milan,€4.00m ,France
13,23,https://www.transfermarkt.com/alphonse-areola/marktwertverlauf/spieler/120629,Alphonse Areola,West Ham United,€8.00m ,France
14,16,https://www.transfermarkt.com/steve-mandanda/marktwertverlauf/spieler/23951,Steve Mandanda,Stade Rennais FC,€1.50m ,France
15,17,https://www.transfermarkt.com/william-saliba/marktwertverlauf/spieler/495666,William Saliba,Arsenal FC,€50.00m ,France
16,21,https://www.transfermarkt.com/lucas-hernandez/marktwertverlauf/spieler/281963,Lucas Hernández,Bayern Munich,€50.00m ,France
17,24,https://www.transfermarkt.com/ibrahima-konate/marktwertverlauf/spieler/357119,Ibrahima Konaté,Liverpool FC,€35.00m ,France
18,22,https://www.transfermarkt.com/theo-hernandez/marktwertverlauf/spieler/339808,Theo Hernández,AC Milan,€55.00m ,France
19,8,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/413112,Aurélien Tchouameni,Real Madrid,€80.00m ,France
20,25,https://www.transfermarkt.com/eduardo-camavinga/marktwertverlauf/spieler/640428,Eduardo Camavinga,Real Madrid,€50.00m ,France
21,13,https://www.transfermarkt.com/youssouf-fofana/marktwertverlauf/spieler/569598,Youssouf Fofana,AS Monaco,€25.00m ,France
22,11,https://www.transfermarkt.com/ousmane-dembele/marktwertverlauf/spieler/288230,Ousmane Dembélé,FC Barcelona,€60.00m ,France
23,7,https://www.transfermarkt.com/antoine-griezmann/marktwertverlauf/spieler/125781,Antoine Griezmann,Atlético de Madrid,€25.00m ,France
24,19,https://www.transfermarkt.com/karim-benzema/marktwertverlauf/spieler/18922,Karim Benzema,Real Madrid,€35.00m ,France
25,26,https://www.transfermarkt.com/marcus-thuram/marktwertverlauf/spieler/318528,Marcus Thuram,Borussia Mönchengladbach,€30.00m ,France
