,tm-shirt-number,url,name,current-team,market-value,country
0,1,https://www.transfermarkt.com/manuel-neuer/marktwertverlauf/spieler/17259,Manuel Neuer,Bayern Munich,€12.00m ,Germany
1,2,https://www.transfermarkt.com/antonio-rudiger/marktwertverlauf/spieler/86202,Antonio Rüdiger,Real Madrid,€40.00m ,Germany
2,23,https://www.transfermarkt.com/nico-schlotterbeck/marktwertverlauf/spieler/388198,Nico Schlotterbeck,Borussia Dortmund,€33.00m ,Germany
3,4,https://www.transfermarkt.com/matthias-ginter/marktwertverlauf/spieler/124502,Matthias Ginter,SC Freiburg,€20.00m ,Germany
4,3,https://www.transfermarkt.com/david-raum/marktwertverlauf/spieler/318204,David Raum,RB Leipzig,€26.00m ,Germany
5,16,https://www.transfermarkt.com/lukas-klostermann/marktwertverlauf/spieler/215599,Lukas Klostermann,RB Leipzig,€14.00m ,Germany
6,8,https://www.transfermarkt.com/leon-goretzka/marktwertverlauf/spieler/153084,Leon Goretzka,Bayern Munich,€65.00m ,Germany
7,14,https://www.transfermarkt.com/jamal-musiala/marktwertverlauf/spieler/580195,Jamal Musiala,Bayern Munich,€100.00m ,Germany
8,17,https://www.transfermarkt.com/julian-brandt/marktwertverlauf/spieler/187492,Julian Brandt,Borussia Dortmund,€28.00m ,Germany
9,19,https://www.transfermarkt.com/leroy-sane/marktwertverlauf/spieler/192565,Leroy Sané,Bayern Munich,€70.00m ,Germany
10,24,https://www.transfermarkt.com/karim-adeyemi/marktwertverlauf/spieler/496094,Karim Adeyemi,Borussia Dortmund,€35.00m ,Germany
11,13,https://www.transfermarkt.com/thomas-muller/marktwertverlauf/spieler/58358,Thomas Müller,Bayern Munich,€18.00m ,Germany
12,9,https://www.transfermarkt.com/niclas-fullkrug/marktwertverlauf/spieler/75489,Niclas Füllkrug,SV Werder Bremen,€5.00m ,Germany
13,22,https://www.transfermarkt.com/marc-andre-ter-stegen/marktwertverlauf/spieler/74857,Marc-André ter Stegen,FC Barcelona,€30.00m ,Germany
14,12,https://www.transfermarkt.com/kevin-trapp/marktwertverlauf/spieler/45672,Kevin Trapp,Eintracht Frankfurt,€8.50m ,Germany
15,15,https://www.transfermarkt.com/niklas-sule/marktwertverlauf/spieler/166601,Niklas Süle,Borussia Dortmund,€35.00m ,Germany
16,5,https://www.transfermarkt.com/thilo-kehrer/marktwertverlauf/spieler/228948,Thilo Kehrer,West Ham United,€22.00m ,Germany
17,25,https://www.transfermarkt.com/armel-bella-kotchap/marktwertverlauf/spieler/467563,Armel Bella-Kotchap,Southampton FC,€18.00m ,Germany
18,20,https://www.transfermarkt.com/christian-gunter/marktwertverlauf/spieler/93707,Christian Günter,SC Freiburg,€10.00m ,Germany
19,6,https://www.transfermarkt.com/joshua-kimmich/marktwertverlauf/spieler/161056,Joshua Kimmich,Bayern Munich,€80.00m ,Germany
20,21,https://www.transfermarkt.com/ilkay-gundogan/marktwertverlauf/spieler/53622,Ilkay Gündogan,Manchester City,€25.00m ,Germany
21,7,https://www.transfermarkt.com/kai-havertz/marktwertverlauf/spieler/309400,Kai Havertz,Chelsea FC,€70.00m ,Germany
22,11,https://www.transfermarkt.com/mario-gotze/marktwertverlauf/spieler/74842,Mario Götze,Eintracht Frankfurt,€13.00m ,Germany
23,10,https://www.transfermarkt.com/serge-gnabry/marktwertverlauf/spieler/159471,Serge Gnabry,Bayern Munich,€65.00m ,Germany
24,18,https://www.transfermarkt.com/jonas-hofmann/marktwertverlauf/spieler/7161,Jonas Hofmann,Borussia Mönchengladbach,€13.00m ,Germany
25,26,https://www.transfermarkt.com/youssoufa-moukoko/marktwertverlauf/spieler/467720,Youssoufa Moukoko,Borussia Dortmund,€30.00m ,Germany
