,tm-shirt-number,url,name,current-team,market-value,country
0,16,https://www.transfermarkt.com/abdul-nurudeen/marktwertverlauf/spieler/511168,Abdul Nurudeen,KAS Eupen,€400k ,Ghana
1,4,https://www.transfermarkt.com/mohammed-salisu/marktwertverlauf/spieler/563963,Mohammed Salisu,Southampton FC,€18.00m ,Ghana
2,23,https://www.transfermarkt.com/alexander-djiku/marktwertverlauf/spieler/250844,Alexander Djiku,RC Strasbourg Alsace,€8.00m ,Ghana
3,26,https://www.transfermarkt.com/alidu-seidu/marktwertverlauf/spieler/798404,Alidu Seidu,Clermont Foot 63,€4.50m ,Ghana
4,17,https://www.transfermarkt.com/abdul-rahman-baba/marktwertverlauf/spieler/224884,Abdul-Rahman Baba,Reading FC,€1.80m ,Ghana
5,3,https://www.transfermarkt.com/denis-odoi/marktwertverlauf/spieler/59641,Denis Odoi,Club Brugge KV,€600k ,Ghana
6,21,https://www.transfermarkt.com/salis-abdul-samed/marktwertverlauf/spieler/688707,Salis Abdul Samed,RC Lens,€10.00m ,Ghana
7,20,https://www.transfermarkt.com/mohammed-kudus/marktwertverlauf/spieler/543499,Mohammed Kudus,Ajax Amsterdam,€15.00m ,Ghana
8,22,https://www.transfermarkt.com/kamaldeen-sulemana/marktwertverlauf/spieler/746695,Kamaldeen Sulemana,Stade Rennais FC,€18.00m ,Ghana
9,13,https://www.transfermarkt.com/daniel-afriyie/marktwertverlauf/spieler/754158,Daniel Afriyie,Hearts of Oak,€250k ,Ghana
10,11,https://www.transfermarkt.com/osman-bukari/marktwertverlauf/spieler/548650,Osman Bukari,Red Star Belgrade,€5.00m ,Ghana
11,19,https://www.transfermarkt.com/inaki-williams/marktwertverlauf/spieler/255508,Iñaki Williams,Athletic Bilbao,€25.00m ,Ghana
12,25,https://www.transfermarkt.com/antoine-semenyo/marktwertverlauf/spieler/583255,Antoine Semenyo,Bristol City,€3.00m ,Ghana
13,1,https://www.transfermarkt.com/lawrence-ati-zigi/marktwertverlauf/spieler/254285,Lawrence Ati Zigi,FC St. Gallen 1879,€2.50m ,Ghana
14,12,https://www.transfermarkt.com/ibrahim-danlad/marktwertverlauf/spieler/487399,Ibrahim Danlad,Asante Kotoko SC,€150k ,Ghana
15,18,https://www.transfermarkt.com/daniel-amartey/marktwertverlauf/spieler/214056,Daniel Amartey,Leicester City,€15.00m ,Ghana
16,15,https://www.transfermarkt.com/joseph-aidoo/marktwertverlauf/spieler/358250,Joseph Aidoo,Celta de Vigo,€7.00m ,Ghana
17,14,https://www.transfermarkt.com/gideon-mensah/marktwertverlauf/spieler/397171,Gideon Mensah,AJ Auxerre,€2.00m ,Ghana
18,2,https://www.transfermarkt.com/tariq-lamptey/marktwertverlauf/spieler/504148,Tariq Lamptey,Brighton &amp; Hove Albion,€15.00m ,Ghana
19,5,https://www.transfermarkt.com/thomas-partey/marktwertverlauf/spieler/230784,Thomas Partey,Arsenal FC,€38.00m ,Ghana
20,6,https://www.transfermarkt.com/elisha-owusu/marktwertverlauf/spieler/395695,Elisha Owusu,KAA Gent,€2.50m ,Ghana
21,8,https://www.transfermarkt.com/daniel-kofi-kyereh/marktwertverlauf/spieler/272587,Daniel-Kofi Kyereh,SC Freiburg,€8.00m ,Ghana
22,10,https://www.transfermarkt.com/andre-ayew/marktwertverlauf/spieler/45403,André Ayew,Al-Sadd SC,€2.20m ,Ghana
23,24,https://www.transfermarkt.com/kamal-sowah/marktwertverlauf/spieler/564489,Kamal Sowah,Club Brugge KV,€6.00m ,Ghana
24,7,https://www.transfermarkt.com/issahaku-fatawu/marktwertverlauf/spieler/864121,Issahaku Fatawu,Sporting CP,€3.00m ,Ghana
25,9,https://www.transfermarkt.com/jordan-ayew/marktwertverlauf/spieler/108354,Jordan Ayew,Crystal Palace,€6.00m ,Ghana
