,tm-shirt-number,url,name,current-team,market-value,country
0,1,https://www.transfermarkt.com/alireza-beiranvand/marktwertverlauf/spieler/229081,Alireza Beiranvand,Persepolis FC,€1.00m ,Iran
1,12,https://www.transfermarkt.com/payam-niazmand/marktwertverlauf/spieler/343044,Payam Niazmand,Sepahan FC,€500k ,Iran
2,13,https://www.transfermarkt.com/hossein-kanaani/marktwertverlauf/spieler/249400,Hossein Kanaani,Al-Ahli SC,€2.00m ,Iran
3,4,https://www.transfermarkt.com/shoja-khalilzadeh/marktwertverlauf/spieler/213715,Shoja Khalilzadeh,Al-Ahli SC,€300k ,Iran
4,3,https://www.transfermarkt.com/ehsan-hajsafi/marktwertverlauf/spieler/77547,Ehsan Hajsafi,AEK Athens,€800k ,Iran
5,2,https://www.transfermarkt.com/sadegh-moharrami/marktwertverlauf/spieler/294778,Sadegh Moharrami,GNK Dinamo Zagreb,€2.00m ,Iran
6,15,https://www.transfermarkt.com/roozbeh-cheshmi/marktwertverlauf/spieler/273879,Roozbeh Cheshmi,Esteghlal FC,€500k ,Iran
7,21,https://www.transfermarkt.com/ahmad-nourollahi/marktwertverlauf/spieler/327140,Ahmad Nourollahi,FC Shabab Al-Ahli Dubai,€2.00m ,Iran
8,14,https://www.transfermarkt.com/saman-ghoddos/marktwertverlauf/spieler/204294,Saman Ghoddos,Brentford FC,€2.20m ,Iran
9,11,https://www.transfermarkt.com/vahid-amiri/marktwertverlauf/spieler/279215,Vahid Amiri,Persepolis FC,€350k ,Iran
10,17,https://www.transfermarkt.com/ali-gholizadeh/marktwertverlauf/spieler/294772,Ali Gholizadeh,RSC Charleroi,€2.00m ,Iran
11,20,https://www.transfermarkt.com/sardar-azmoun/marktwertverlauf/spieler/180337,Sardar Azmoun,Bayer 04 Leverkusen,€12.00m ,Iran
12,22,https://www.transfermarkt.com/amir-abedzadeh/marktwertverlauf/spieler/218431,Amir Abedzadeh,SD Ponferradina,€1.50m ,Iran
13,24,https://www.transfermarkt.com/hossein-hosseini/marktwertverlauf/spieler/132561,Hossein Hosseini,Esteghlal FC,€525k ,Iran
14,19,https://www.transfermarkt.com/majid-hosseini/marktwertverlauf/spieler/294767,Majid Hosseini,Kayserispor,€3.00m ,Iran
15,8,https://www.transfermarkt.com/morteza-pouraliganji/marktwertverlauf/spieler/132563,Morteza Pouraliganji,Persepolis FC,€700k ,Iran
16,5,https://www.transfermarkt.com/milad-mohammadi/marktwertverlauf/spieler/333355,Milad Mohammadi,AEK Athens,€2.00m ,Iran
17,25,https://www.transfermarkt.com/abolfazl-jalali/marktwertverlauf/spieler/599240,Abolfazl Jalali,Esteghlal FC,€400k ,Iran
18,23,https://www.transfermarkt.com/ramin-rezaeian/marktwertverlauf/spieler/188312,Ramin Rezaeian,Sepahan FC,€450k ,Iran
19,6,https://www.transfermarkt.com/saeid-ezatolahi/marktwertverlauf/spieler/249271,Saeid Ezatolahi,Vejle Boldklub,€400k ,Iran
20,18,https://www.transfermarkt.com/ali-karimi/marktwertverlauf/spieler/269393,Ali Karimi,Kayserispor,€100k ,Iran
21,16,https://www.transfermarkt.com/mehdi-torabi/marktwertverlauf/spieler/283833,Mehdi Torabi,Persepolis FC,€800k ,Iran
22,7,https://www.transfermarkt.com/alireza-jahanbakhsh/marktwertverlauf/spieler/213268,Alireza Jahanbakhsh,Feyenoord Rotterdam,€3.00m ,Iran
23,9,https://www.transfermarkt.com/mehdi-taremi/marktwertverlauf/spieler/307058,Mehdi Taremi,FC Porto,€20.00m ,Iran
24,10,https://www.transfermarkt.com/karim-ansarifard/marktwertverlauf/spieler/133838,Karim Ansarifard,Omonia Nicosia,€1.00m ,Iran
