,tm-shirt-number,url,name,current-team,market-value,country
0,12,https://www.transfermarkt.com/shuichi-gonda/marktwertverlauf/spieler/79517,Shuichi Gonda,Shimizu S-Pulse,€500k ,Japan
1,4,https://www.transfermarkt.com/ko-itakura/marktwertverlauf/spieler/355816,Ko Itakura,Borussia Mönchengladbach,€7.50m ,Japan
2,3,https://www.transfermarkt.com/shogo-taniguchi/marktwertverlauf/spieler/307870,Shogo Taniguchi,Kawasaki Frontale,€1.80m ,Japan
3,5,https://www.transfermarkt.com/yuto-nagatomo/marktwertverlauf/spieler/79522,Yuto Nagatomo,FC Tokyo,€400k ,Japan
4,2,https://www.transfermarkt.com/miki-yamane/marktwertverlauf/spieler/395589,Miki Yamane,Kawasaki Frontale,€1.70m ,Japan
5,13,https://www.transfermarkt.com/hidemasa-morita/marktwertverlauf/spieler/524315,Hidemasa Morita,Sporting CP,€7.00m ,Japan
6,17,https://www.transfermarkt.com/ao-tanaka/marktwertverlauf/spieler/489359,Ao Tanaka,Fortuna Düsseldorf,€1.80m ,Japan
7,15,https://www.transfermarkt.com/daichi-kamada/marktwertverlauf/spieler/356141,Daichi Kamada,Eintracht Frankfurt,€30.00m ,Japan
8,9,https://www.transfermarkt.com/kaoru-mitoma/marktwertverlauf/spieler/504849,Kaoru Mitoma,Brighton &amp; Hove Albion,€6.00m ,Japan
9,24,https://www.transfermarkt.com/yuki-soma/marktwertverlauf/spieler/594069,Yuki Soma,Nagoya Grampus,€1.20m ,Japan
10,11,https://www.transfermarkt.com/takefusa-kubo/marktwertverlauf/spieler/405398,Takefusa Kubo,Real Sociedad,€12.00m ,Japan
11,18,https://www.transfermarkt.com/takuma-asano/marktwertverlauf/spieler/245744,Takuma Asano,VfL Bochum,€3.00m ,Japan
12,20,https://www.transfermarkt.com/shuto-machino/marktwertverlauf/spieler/550580,Shuto Machino,Shonan Bellmare,€1.20m ,Japan
13,23,https://www.transfermarkt.com/daniel-schmidt/marktwertverlauf/spieler/158799,Daniel Schmidt,Sint-Truidense VV,€1.50m ,Japan
14,1,https://www.transfermarkt.com/eiji-kawashima/marktwertverlauf/spieler/77383,Eiji Kawashima,RC Strasbourg Alsace,€200k ,Japan
15,26,https://www.transfermarkt.com/hiroki-ito/marktwertverlauf/spieler/353892,Hiroki Ito,VfB Stuttgart,€5.50m ,Japan
16,22,https://www.transfermarkt.com/maya-yoshida/marktwertverlauf/spieler/81789,Maya Yoshida,FC Schalke 04,€1.50m ,Japan
17,16,https://www.transfermarkt.com/takehiro-tomiyasu/marktwertverlauf/spieler/331560,Takehiro Tomiyasu,Arsenal FC,€25.00m ,Japan
18,19,https://www.transfermarkt.com/hiroki-sakai/marktwertverlauf/spieler/83002,Hiroki Sakai,Urawa Red Diamonds,€1.70m ,Japan
19,6,https://www.transfermarkt.com/wataru-endo/marktwertverlauf/spieler/146310,Wataru Endo,VfB Stuttgart,€6.50m ,Japan
20,7,https://www.transfermarkt.com/gaku-shibasaki/marktwertverlauf/spieler/129693,Gaku Shibasaki,CD Leganés,€1.00m ,Japan
21,10,https://www.transfermarkt.com/takumi-minamino/marktwertverlauf/spieler/165793,Takumi Minamino,AS Monaco,€10.00m ,Japan
22,25,https://www.transfermarkt.com/daizen-maeda/marktwertverlauf/spieler/420931,Daizen Maeda,Celtic FC,€4.00m ,Japan
23,8,https://www.transfermarkt.com/ritsu-doan/marktwertverlauf/spieler/358504,Ritsu Doan,SC Freiburg,€12.00m ,Japan
24,14,https://www.transfermarkt.com/junya-ito/marktwertverlauf/spieler/348791,Junya Ito,Stade Reims,€9.00m ,Japan
25,21,https://www.transfermarkt.com/ayase-ueda/marktwertverlauf/spieler/589128,Ayase Ueda,Cercle Brugge ,€2.00m ,Japan
