,tm-shirt-number,url,name,current-team,market-value,country
0,22,https://www.transfermarkt.com/ahmed-reda-tagnaouti/marktwertverlauf/spieler/238997,Ahmed Reda Tagnaouti,Wydad Casablanca,€1.80m ,Morocco
1,5,https://www.transfermarkt.com/nayef-aguerd/marktwertverlauf/spieler/361914,Nayef Aguerd,West Ham United,€25.00m ,Morocco
2,20,https://www.transfermarkt.com/achraf-dari/marktwertverlauf/spieler/566823,Achraf Dari,Stade Brestois 29,€2.50m ,Morocco
3,24,https://www.transfermarkt.com/badr-benoun/marktwertverlauf/spieler/245193,Badr Benoun,Qatar SC,€1.00m ,Morocco
4,2,https://www.transfermarkt.com/achraf-hakimi/marktwertverlauf/spieler/398073,Achraf Hakimi,Paris Saint-Germain,€65.00m ,Morocco
5,4,https://www.transfermarkt.com/sofyan-amrabat/marktwertverlauf/spieler/287579,Sofyan Amrabat,ACF Fiorentina,€10.00m ,Morocco
6,8,https://www.transfermarkt.com/azzedine-ounahi/marktwertverlauf/spieler/593482,Azzedine Ounahi,Angers SCO,€3.50m ,Morocco
7,13,https://www.transfermarkt.com/ilias-chair/marktwertverlauf/spieler/380473,Ilias Chair,Queens Park Rangers,€10.00m ,Morocco
8,23,https://www.transfermarkt.com/bilal-el-khannouss/marktwertverlauf/spieler/654982,Bilal El Khannouss,KRC Genk,€4.50m ,Morocco
9,16,https://www.transfermarkt.com/ez-abde/marktwertverlauf/spieler/724520,Ez Abde,CA Osasuna,€8.00m ,Morocco
10,10,https://www.transfermarkt.com/anass-zaroury/marktwertverlauf/spieler/491296,Anass Zaroury,Burnley FC,€4.00m ,Morocco
11,19,https://www.transfermarkt.com/youssef-en-nesyri/marktwertverlauf/spieler/433049,Youssef En-Nesyri,Sevilla FC,€12.00m ,Morocco
12,21,https://www.transfermarkt.com/walid-cheddira/marktwertverlauf/spieler/521407,Walid Cheddira,SSC Bari,€2.50m ,Morocco
13,1,https://www.transfermarkt.com/bono/marktwertverlauf/spieler/207834,Bono,Sevilla FC,€15.00m ,Morocco
14,12,https://www.transfermarkt.com/munir/marktwertverlauf/spieler/97925,Munir,Al-Wehda FC,€1.20m ,Morocco
15,6,https://www.transfermarkt.com/romain-saiss/marktwertverlauf/spieler/204198,Romain Saïss,Besiktas JK,€6.50m ,Morocco
16,18,https://www.transfermarkt.com/jawad-el-yamiq/marktwertverlauf/spieler/235412,Jawad El Yamiq,Real Valladolid CF,€1.20m ,Morocco
17,25,https://www.transfermarkt.com/yahia-attiyat-allah/marktwertverlauf/spieler/366746,Yahia Attiyat Allah,Wydad Casablanca,€1.50m ,Morocco
18,3,https://www.transfermarkt.com/noussair-mazraoui/marktwertverlauf/spieler/340456,Noussair Mazraoui,Bayern Munich,€25.00m ,Morocco
19,26,https://www.transfermarkt.com/yahya-jabrane/marktwertverlauf/spieler/255749,Yahya Jabrane,Wydad Casablanca,€1.90m ,Morocco
20,7,https://www.transfermarkt.com/hakim-ziyech/marktwertverlauf/spieler/217111,Hakim Ziyech,Chelsea FC,€17.00m ,Morocco
21,15,https://www.transfermarkt.com/selim-amallah/marktwertverlauf/spieler/377219,Selim Amallah,Standard Liège,€4.50m ,Morocco
22,11,https://www.transfermarkt.com/abdelhamid-sabiri/marktwertverlauf/spieler/340394,Abdelhamid Sabiri,UC Sampdoria,€3.00m ,Morocco
23,17,https://www.transfermarkt.com/sofiane-boufal/marktwertverlauf/spieler/232271,Sofiane Boufal,Angers SCO,€8.00m ,Morocco
24,14,https://www.transfermarkt.com/zakaria-aboukhlal/marktwertverlauf/spieler/393238,Zakaria Aboukhlal,FC Toulouse,€3.50m ,Morocco
25,9,https://www.transfermarkt.com/abderrazak-hamdallah/marktwertverlauf/spieler/235052,Abderrazak Hamdallah,Al-Ittihad Club (Jeddah),€3.00m ,Morocco
