,tm-shirt-number,url,name,current-team,market-value,country
0,23,https://www.transfermarkt.com/andries-noppert/marktwertverlauf/spieler/276853,Andries Noppert,SC Heerenveen,€2.00m ,Netherlands
1,3,https://www.transfermarkt.com/matthijs-de-ligt/marktwertverlauf/spieler/326031,Matthijs de Ligt,Bayern Munich,€70.00m ,Netherlands
2,2,https://www.transfermarkt.com/jurrien-timber/marktwertverlauf/spieler/420243,Jurrien Timber,Ajax Amsterdam,€45.00m ,Netherlands
3,6,https://www.transfermarkt.com/stefan-de-vrij/marktwertverlauf/spieler/111196,Stefan de Vrij,Inter Milan,€15.00m ,Netherlands
4,17,https://www.transfermarkt.com/daley-blind/marktwertverlauf/spieler/12282,Daley Blind,Ajax Amsterdam,€6.00m ,Netherlands
5,20,https://www.transfermarkt.com/teun-koopmeiners/marktwertverlauf/spieler/360518,Teun Koopmeiners,Atalanta BC,€30.00m ,Netherlands
6,21,https://www.transfermarkt.com/frenkie-de-jong/marktwertverlauf/spieler/326330,Frenkie de Jong,FC Barcelona,€50.00m ,Netherlands
7,22,https://www.transfermarkt.com/denzel-dumfries/marktwertverlauf/spieler/321528,Denzel Dumfries,Inter Milan,€28.00m ,Netherlands
8,11,https://www.transfermarkt.com/steven-berghuis/marktwertverlauf/spieler/129554,Steven Berghuis,Ajax Amsterdam,€14.00m ,Netherlands
9,8,https://www.transfermarkt.com/cody-gakpo/marktwertverlauf/spieler/434675,Cody Gakpo,PSV Eindhoven,€45.00m ,Netherlands
10,12,https://www.transfermarkt.com/noa-lang/marktwertverlauf/spieler/339332,Noa Lang,Club Brugge KV,€15.00m ,Netherlands
11,19,https://www.transfermarkt.com/wout-weghorst/marktwertverlauf/spieler/228645,Wout Weghorst,Besiktas JK,€14.00m ,Netherlands
12,9,https://www.transfermarkt.com/luuk-de-jong/marktwertverlauf/spieler/72522,Luuk de Jong,PSV Eindhoven,€4.00m ,Netherlands
13,13,https://www.transfermarkt.com/justin-bijlow/marktwertverlauf/spieler/315121,Justin Bijlow,Feyenoord Rotterdam,€13.00m ,Netherlands
14,1,https://www.transfermarkt.com/remko-pasveer/marktwertverlauf/spieler/25520,Remko Pasveer,Ajax Amsterdam,€250k ,Netherlands
15,4,https://www.transfermarkt.com/virgil-van-dijk/marktwertverlauf/spieler/139208,Virgil van Dijk,Liverpool FC,€50.00m ,Netherlands
16,5,https://www.transfermarkt.com/nathan-ake/marktwertverlauf/spieler/177476,Nathan Aké,Manchester City,€30.00m ,Netherlands
17,16,https://www.transfermarkt.com/tyrell-malacia/marktwertverlauf/spieler/339340,Tyrell Malacia,Manchester United,€22.00m ,Netherlands
18,26,https://www.transfermarkt.com/jeremie-frimpong/marktwertverlauf/spieler/484547,Jeremie Frimpong,Bayer 04 Leverkusen,€25.00m ,Netherlands
19,15,https://www.transfermarkt.com/marten-de-roon/marktwertverlauf/spieler/133179,Marten de Roon,Atalanta BC,€12.00m ,Netherlands
20,24,https://www.transfermarkt.com/kenneth-taylor/marktwertverlauf/spieler/470394,Kenneth Taylor,Ajax Amsterdam,€14.00m ,Netherlands
21,25,https://www.transfermarkt.com/xavi-simons/marktwertverlauf/spieler/566931,Xavi Simons,PSV Eindhoven,€18.00m ,Netherlands
22,14,https://www.transfermarkt.com/davy-klaassen/marktwertverlauf/spieler/182932,Davy Klaassen,Ajax Amsterdam,€12.00m ,Netherlands
23,7,https://www.transfermarkt.com/steven-bergwijn/marktwertverlauf/spieler/284165,Steven Bergwijn,Ajax Amsterdam,€27.00m ,Netherlands
24,10,https://www.transfermarkt.com/memphis-depay/marktwertverlauf/spieler/167850,Memphis Depay,FC Barcelona,€20.00m ,Netherlands
25,18,https://www.transfermarkt.com/vincent-janssen/marktwertverlauf/spieler/207015,Vincent Janssen,Royal Antwerp FC,€6.00m ,Netherlands
