,tm-shirt-number,url,name,current-team,market-value,country
0,22,https://www.transfermarkt.com/kamil-grabara/marktwertverlauf/spieler/346551,Kamil Grabara,FC Copenhagen,€5.00m ,Poland
1,5,https://www.transfermarkt.com/jan-bednarek/marktwertverlauf/spieler/243028,Jan Bednarek,Aston Villa,€18.00m ,Poland
2,4,https://www.transfermarkt.com/mateusz-wieteska/marktwertverlauf/spieler/208172,Mateusz Wieteska,Clermont Foot 63,€3.00m ,Poland
3,3,https://www.transfermarkt.com/artur-jedrzejczyk/marktwertverlauf/spieler/42401,Artur Jedrzejczyk,Legia Warszawa,€300k ,Poland
4,25,https://www.transfermarkt.com/robert-gumny/marktwertverlauf/spieler/353826,Robert Gumny,FC Augsburg,€3.50m ,Poland
5,10,https://www.transfermarkt.com/grzegorz-krychowiak/marktwertverlauf/spieler/45184,Grzegorz Krychowiak,Al-Shabab Club (Riyadh),€6.00m ,Poland
6,17,https://www.transfermarkt.com/szymon-zurkowski/marktwertverlauf/spieler/387234,Szymon Zurkowski,ACF Fiorentina,€5.80m ,Poland
7,24,https://www.transfermarkt.com/przemyslaw-frankowski/marktwertverlauf/spieler/239743,Przemyslaw Frankowski,RC Lens,€7.00m ,Poland
8,20,https://www.transfermarkt.com/piotr-zielinski/marktwertverlauf/spieler/181136,Piotr Zielinski,SSC Napoli,€40.00m ,Poland
9,13,https://www.transfermarkt.com/jakub-kaminski/marktwertverlauf/spieler/407098,Jakub Kaminski,VfL Wolfsburg,€10.00m ,Poland
10,26,https://www.transfermarkt.com/michal-skoras/marktwertverlauf/spieler/393565,Michal Skoras,Lech Poznan,€3.50m ,Poland
11,23,https://www.transfermarkt.com/krzysztof-piatek/marktwertverlauf/spieler/327757,Krzysztof Piatek,US Salernitana 1919,€11.00m ,Poland
12,16,https://www.transfermarkt.com/karol-swiderski/marktwertverlauf/spieler/330126,Karol Swiderski,Charlotte FC,€5.00m ,Poland
13,1,https://www.transfermarkt.com/wojciech-szczesny/marktwertverlauf/spieler/44058,Wojciech Szczesny,Juventus FC,€13.00m ,Poland
14,12,https://www.transfermarkt.com/lukasz-skorupski/marktwertverlauf/spieler/80894,Lukasz Skorupski,Bologna FC 1909,€3.00m ,Poland
15,14,https://www.transfermarkt.com/jakub-kiwior/marktwertverlauf/spieler/425918,Jakub Kiwior,Spezia Calcio,€6.00m ,Poland
16,15,https://www.transfermarkt.com/kamil-glik/marktwertverlauf/spieler/46552,Kamil Glik,Benevento Calcio,€800k ,Poland
17,2,https://www.transfermarkt.com/matty-cash/marktwertverlauf/spieler/425334,Matty Cash,Aston Villa,€22.00m ,Poland
18,18,https://www.transfermarkt.com/bartosz-bereszynski/marktwertverlauf/spieler/144143,Bartosz Bereszynski,UC Sampdoria,€3.00m ,Poland
19,6,https://www.transfermarkt.com/krystian-bielik/marktwertverlauf/spieler/287247,Krystian Bielik,Birmingham City,€3.00m ,Poland
20,8,https://www.transfermarkt.com/damian-szymanski/marktwertverlauf/spieler/259881,Damian Szymanski,AEK Athens,€2.00m ,Poland
21,21,https://www.transfermarkt.com/nicola-zalewski/marktwertverlauf/spieler/550108,Nicola Zalewski,AS Roma,€15.00m ,Poland
22,19,https://www.transfermarkt.com/sebastian-szymanski/marktwertverlauf/spieler/320748,Sebastian Szymanski,Feyenoord Rotterdam,€14.00m ,Poland
23,11,https://www.transfermarkt.com/kamil-grosicki/marktwertverlauf/spieler/37920,Kamil Grosicki,Pogon Szczecin,€700k ,Poland
24,9,https://www.transfermarkt.com/robert-lewandowski/marktwertverlauf/spieler/38253,Robert Lewandowski,FC Barcelona,€45.00m ,Poland
25,7,https://www.transfermarkt.com/arkadiusz-milik/marktwertverlauf/spieler/191891,Arkadiusz Milik,Juventus FC,€10.00m ,Poland
