,tm-shirt-number,url,name,current-team,market-value,country
0,12,https://www.transfermarkt.com/jose-sa/marktwertverlauf/spieler/249994,José Sá,Wolverhampton Wanderers,€18.00m ,Portugal
1,4,https://www.transfermarkt.com/ruben-dias/marktwertverlauf/spieler/258004,Rúben Dias,Manchester City,€75.00m ,Portugal
2,3,https://www.transfermarkt.com/pepe/marktwertverlauf/spieler/14132,Pepe,FC Porto,€1.00m ,Portugal
3,5,https://www.transfermarkt.com/raphael-guerreiro/marktwertverlauf/spieler/170986,Raphaël Guerreiro,Borussia Dortmund,€20.00m ,Portugal
4,2,https://www.transfermarkt.com/diogo-dalot/marktwertverlauf/spieler/357147,Diogo Dalot,Manchester United,€32.00m ,Portugal
5,6,https://www.transfermarkt.com/joao-palhinha/marktwertverlauf/spieler/257455,João Palhinha,Fulham FC,€28.00m ,Portugal
6,13,https://www.transfermarkt.com/danilo-pereira/marktwertverlauf/spieler/141050,Danilo Pereira,Paris Saint-Germain,€12.00m ,Portugal
7,23,https://www.transfermarkt.com/matheus-nunes/marktwertverlauf/spieler/601883,Matheus Nunes,Wolverhampton Wanderers,€45.00m ,Portugal
8,10,https://www.transfermarkt.com/bernardo-silva/marktwertverlauf/spieler/241641,Bernardo Silva,Manchester City,€80.00m ,Portugal
9,17,https://www.transfermarkt.com/joao-mario/marktwertverlauf/spieler/149729,João Mário,SL Benfica,€12.00m ,Portugal
10,21,https://www.transfermarkt.com/ricardo-horta/marktwertverlauf/spieler/261927,Ricardo Horta,SC Braga,€20.00m ,Portugal
11,9,https://www.transfermarkt.com/andre-silva/marktwertverlauf/spieler/198008,André Silva,RB Leipzig,€24.00m ,Portugal
12,7,https://www.transfermarkt.com/cristiano-ronaldo/marktwertverlauf/spieler/8198,Cristiano Ronaldo,Without ClubWithout Club,€20.00m ,Portugal
13,22,https://www.transfermarkt.com/diogo-costa/marktwertverlauf/spieler/357153,Diogo Costa,FC Porto,€35.00m ,Portugal
14,1,https://www.transfermarkt.com/rui-patricio/marktwertverlauf/spieler/45026,Rui Patrício,AS Roma,€5.00m ,Portugal
15,24,https://www.transfermarkt.com/antonio-silva/marktwertverlauf/spieler/650568,António Silva,SL Benfica,€15.00m ,Portugal
16,19,https://www.transfermarkt.com/nuno-mendes/marktwertverlauf/spieler/616341,Nuno Mendes,Paris Saint-Germain,€60.00m ,Portugal
17,20,https://www.transfermarkt.com/joao-cancelo/marktwertverlauf/spieler/182712,João Cancelo,Manchester City,€70.00m ,Portugal
18,18,https://www.transfermarkt.com/ruben-neves/marktwertverlauf/spieler/225161,Rúben Neves,Wolverhampton Wanderers,€40.00m ,Portugal
19,14,https://www.transfermarkt.com/william-carvalho/marktwertverlauf/spieler/100131,William Carvalho,Real Betis Balompié,€16.00m ,Portugal
20,16,https://www.transfermarkt.com/vitinha/marktwertverlauf/spieler/487469,Vitinha,Paris Saint-Germain,€45.00m ,Portugal
21,25,https://www.transfermarkt.com/otavio/marktwertverlauf/spieler/231289,Otávio,FC Porto,€30.00m ,Portugal
22,8,https://www.transfermarkt.com/bruno-fernandes/marktwertverlauf/spieler/240306,Bruno Fernandes,Manchester United,€75.00m ,Portugal
23,15,https://www.transfermarkt.com/rafael-leao/marktwertverlauf/spieler/357164,Rafael Leão,AC Milan,€85.00m ,Portugal
24,11,https://www.transfermarkt.com/joao-felix/marktwertverlauf/spieler/462250,João Félix,Atlético de Madrid,€50.00m ,Portugal
25,26,https://www.transfermarkt.com/goncalo-ramos/marktwertverlauf/spieler/550550,Gonçalo Ramos,SL Benfica,€24.00m ,Portugal
