,tm-shirt-number,url,name,current-team,market-value,country
0,1,https://www.transfermarkt.com/saad-al-sheeb/marktwertverlauf/spieler/143539,Saad Al-Sheeb,Al-Sadd SC,€200k ,Qatar
1,15,https://www.transfermarkt.com/bassam-al-rawi/marktwertverlauf/spieler/376232,Bassam Al-Rawi,Al-Duhail SC,€500k ,Qatar
2,16,https://www.transfermarkt.com/boualem-khoukhi/marktwertverlauf/spieler/222669,Boualem Khoukhi,Al-Sadd SC,€400k ,Qatar
3,25,https://www.transfermarkt.com/jassem-gaber-abdulsallam/marktwertverlauf/spieler/735813,Jassem Gaber Abdulsallam,Al-Arabi SC,€175k ,Qatar
4,14,https://www.transfermarkt.com/homam-ahmed/marktwertverlauf/spieler/556713,Homam Ahmed,Al-Gharafa SC,€500k ,Qatar
5,12,https://www.transfermarkt.com/karim-boudiaf/marktwertverlauf/spieler/222385,Karim Boudiaf,Al-Duhail SC,€450k ,Qatar
6,23,https://www.transfermarkt.com/assim-madibo/marktwertverlauf/spieler/336667,Assim Madibo,Al-Duhail SC,€300k ,Qatar
7,6,https://www.transfermarkt.com/abdulaziz-hatem/marktwertverlauf/spieler/113915,Abdulaziz Hatem,Al-Rayyan SC,€500k ,Qatar
8,8,https://www.transfermarkt.com/ali-asad/marktwertverlauf/spieler/150884,Ali Asad,Al-Sadd SC,€200k ,Qatar
9,18,https://www.transfermarkt.com/khalid-muneer-mazeed/marktwertverlauf/spieler/551686,Khalid Muneer Mazeed,Al-Wakrah SC,€250k ,Qatar
10,24,https://www.transfermarkt.com/naif-al-hadhrami/marktwertverlauf/spieler/740329,Naif Al-Hadhrami,Al-Rayyan SC,€275k ,Qatar
11,19,https://www.transfermarkt.com/almoez-ali/marktwertverlauf/spieler/345095,Almoez Ali,Al-Duhail SC,€2.00m ,Qatar
12,9,https://www.transfermarkt.com/mohammed-muntari/marktwertverlauf/spieler/266935,Mohammed Muntari,Al-Duhail SC,€300k ,Qatar
13,22,https://www.transfermarkt.com/meshaal-barsham/marktwertverlauf/spieler/560423,Meshaal Barsham,Al-Sadd SC,€450k ,Qatar
14,21,https://www.transfermarkt.com/yousef-hassan/marktwertverlauf/spieler/462353,Yousef Hassan,Al-Gharafa SC,€150k ,Qatar
15,5,https://www.transfermarkt.com/tarek-salman/marktwertverlauf/spieler/311730,Tarek Salman,Al-Sadd SC,€400k ,Qatar
16,2,https://www.transfermarkt.com/pedro-miguel/marktwertverlauf/spieler/228727,Pedro Miguel,Al-Sadd SC,€325k ,Qatar
17,3,https://www.transfermarkt.com/abdelkarim-hassan/marktwertverlauf/spieler/171412,Abdelkarim Hassan,Al-Sadd SC,€750k ,Qatar
18,13,https://www.transfermarkt.com/musab-khoder/marktwertverlauf/spieler/308650,Musab Khoder,Al-Sadd SC,€250k ,Qatar
19,4,https://www.transfermarkt.com/mohammed-waad/marktwertverlauf/spieler/481935,Mohammed Waad,Al-Sadd SC,€400k ,Qatar
20,20,https://www.transfermarkt.com/salem-al-hajri/marktwertverlauf/spieler/375745,Salem Al-Hajri,Al-Sadd SC,€250k ,Qatar
21,26,https://www.transfermarkt.com/mustafa-mashaal/marktwertverlauf/spieler/736005,Mustafa Mashaal,Al-Sadd SC,€150k ,Qatar
22,11,https://www.transfermarkt.com/akram-afif/marktwertverlauf/spieler/336646,Akram Afif,Al-Sadd SC,€4.00m ,Qatar
23,10,https://www.transfermarkt.com/hasan-al-haydos/marktwertverlauf/spieler/86286,Hasan Al-Haydos,Al-Sadd SC,€900k ,Qatar
24,17,https://www.transfermarkt.com/ismaeel-mohammed/marktwertverlauf/spieler/223908,Ismaeel Mohammed,Al-Duhail SC,€225k ,Qatar
25,7,https://www.transfermarkt.com/ahmed-alaaeldin/marktwertverlauf/spieler/187987,Ahmed Alaaeldin,Al-Gharafa SC,€600k ,Qatar
