,tm-shirt-number,url,name,current-team,market-value,country
0,1,https://www.transfermarkt.com/mohammed-al-rubaie/marktwertverlauf/spieler/509914,Mohammed Al-Rubaie,Al-Ahli Saudi FC,€600k ,Saudi Arabia
1,4,https://www.transfermarkt.com/abdulelah-al-amri/marktwertverlauf/spieler/509894,Abdulelah Al-Amri,Al-Nassr FC,€1.20m ,Saudi Arabia
2,3,https://www.transfermarkt.com/abdullah-madu/marktwertverlauf/spieler/265940,Abdullah Madu,Al-Nassr FC,€900k ,Saudi Arabia
3,13,https://www.transfermarkt.com/yasser-al-shahrani/marktwertverlauf/spieler/171915,Yasser Al-Shahrani,Al-Hilal Saudi FC,€1.50m ,Saudi Arabia
4,2,https://www.transfermarkt.com/sultan-al-ghannam/marktwertverlauf/spieler/435045,Sultan Al-Ghannam,Al-Nassr FC,€2.50m ,Saudi Arabia
5,6,https://www.transfermarkt.com/mohammed-al-burayk/marktwertverlauf/spieler/379058,Mohammed Al-Burayk,Al-Hilal Saudi FC,€1.20m ,Saudi Arabia
6,26,https://www.transfermarkt.com/riad-sharahili/marktwertverlauf/spieler/187951,Riad Sharahili,Abha Club,€400k ,Saudi Arabia
7,23,https://www.transfermarkt.com/mohamed-kanno/marktwertverlauf/spieler/308120,Mohamed Kanno,Al-Hilal Saudi FC,€1.20m ,Saudi Arabia
8,7,https://www.transfermarkt.com/salman-al-faraj/marktwertverlauf/spieler/155487,Salman Al-Faraj,Al-Hilal Saudi FC,€500k ,Saudi Arabia
9,18,https://www.transfermarkt.com/nawaf-al-abed/marktwertverlauf/spieler/149643,Nawaf Al-Abed,Al-Shabab Club (Riyadh),€300k ,Saudi Arabia
10,20,https://www.transfermarkt.com/abdulrahman-al-oboud/marktwertverlauf/spieler/441191,Abdulrahman Al-Oboud,Al-Ittihad Club (Jeddah),€1.50m ,Saudi Arabia
11,9,https://www.transfermarkt.com/firas-al-buraikan/marktwertverlauf/spieler/631922,Firas Al-Buraikan,Al-Fateh,€1.80m ,Saudi Arabia
12,25,https://www.transfermarkt.com/haitham-asiri/marktwertverlauf/spieler/796803,Haitham Asiri,Al-Ahli Saudi FC,€400k ,Saudi Arabia
13,21,https://www.transfermarkt.com/mohammed-al-owais/marktwertverlauf/spieler/262845,Mohammed Al-Owais,Al-Hilal Saudi FC,€700k ,Saudi Arabia
14,22,https://www.transfermarkt.com/nawaf-al-aqidi/marktwertverlauf/spieler/886183,Nawaf Al-Aqidi,Al-Nassr FC,€200k ,Saudi Arabia
15,17,https://www.transfermarkt.com/hassan-tambakti/marktwertverlauf/spieler/509897,Hassan Tambakti,Al-Shabab Club (Riyadh),€1.00m ,Saudi Arabia
16,5,https://www.transfermarkt.com/ali-al-boleahi/marktwertverlauf/spieler/229877,Ali Al-Boleahi,Al-Hilal Saudi FC,€400k ,Saudi Arabia
17,24,https://www.transfermarkt.com/nasser-al-dawsari/marktwertverlauf/spieler/509911,Nasser Al-Dawsari,Al-Hilal Saudi FC,€700k ,Saudi Arabia
18,12,https://www.transfermarkt.com/saud-abdulhamid/marktwertverlauf/spieler/631927,Saud Abdulhamid,Al-Hilal Saudi FC,€1.70m ,Saudi Arabia
19,15,https://www.transfermarkt.com/ali-al-hassan/marktwertverlauf/spieler/141805,Ali Al-Hassan,Al-Nassr FC,€500k ,Saudi Arabia
20,14,https://www.transfermarkt.com/abdullah-otayf/marktwertverlauf/spieler/193159,Abdullah Otayf,Al-Hilal Saudi FC,€300k ,Saudi Arabia
21,8,https://www.transfermarkt.com/abdulelah-al-malki/marktwertverlauf/spieler/390855,Abdulelah Al-Malki,Al-Hilal Saudi FC,€800k ,Saudi Arabia
22,16,https://www.transfermarkt.com/sami-al-najei/marktwertverlauf/spieler/434672,Sami Al-Najei,Al-Nassr FC,€1.50m ,Saudi Arabia
23,10,https://www.transfermarkt.com/salem-al-dawsari/marktwertverlauf/spieler/195332,Salem Al-Dawsari,Al-Hilal Saudi FC,€1.80m ,Saudi Arabia
24,19,https://www.transfermarkt.com/hattan-bahebri/marktwertverlauf/spieler/201379,Hattan Bahebri,Al-Shabab Club (Riyadh),€900k ,Saudi Arabia
25,11,https://www.transfermarkt.com/saleh-al-shehri/marktwertverlauf/spieler/242267,Saleh Al-Shehri,Al-Hilal Saudi FC,€700k ,Saudi Arabia
