,tm-shirt-number,url,name,current-team,market-value,country
0,23,https://www.transfermarkt.com/alfred-gomis/marktwertverlauf/spieler/163568,Alfred Gomis,Stade Rennais FC,€3.00m ,Senegal
1,3,https://www.transfermarkt.com/kalidou-koulibaly/marktwertverlauf/spieler/93128,Kalidou Koulibaly,Chelsea FC,€35.00m ,Senegal
2,4,https://www.transfermarkt.com/pape-abou-cisse/marktwertverlauf/spieler/364234,Pape Abou Cissé,Olympiacos Piraeus,€6.00m ,Senegal
3,14,https://www.transfermarkt.com/ismail-jakobs/marktwertverlauf/spieler/375137,Ismail Jakobs,AS Monaco,€7.00m ,Senegal
4,10,https://www.transfermarkt.com/moussa-ndiaye/marktwertverlauf/spieler/649022,Moussa N'Diaye,RSC Anderlecht,€1.50m ,Senegal
5,26,https://www.transfermarkt.com/pape-gueye/marktwertverlauf/spieler/485963,Pape Gueye,Olympique Marseille,€10.00m ,Senegal
6,25,https://www.transfermarkt.com/mamadou-loum/marktwertverlauf/spieler/364237,Mamadou Loum,Reading FC,€3.50m ,Senegal
7,17,https://www.transfermarkt.com/pape-matar-sarr/marktwertverlauf/spieler/568693,Pape Matar Sarr,Tottenham Hotspur,€15.00m ,Senegal
8,11,https://www.transfermarkt.com/pathe-ciss/marktwertverlauf/spieler/525578,Pathé Ciss,Rayo Vallecano,€4.00m ,Senegal
9,13,https://www.transfermarkt.com/iliman-ndiaye/marktwertverlauf/spieler/623570,Iliman Ndiaye,Sheffield United,€3.50m ,Senegal
10,7,https://www.transfermarkt.com/nicolas-jackson/marktwertverlauf/spieler/776890,Nicolas Jackson,Villarreal CF,€15.00m ,Senegal
11,9,https://www.transfermarkt.com/boulaye-dia/marktwertverlauf/spieler/626913,Boulaye Dia,US Salernitana 1919,€12.00m ,Senegal
12,19,https://www.transfermarkt.com/famara-diedhiou/marktwertverlauf/spieler/237125,Famara Diédhiou,Alanyaspor,€3.00m ,Senegal
13,16,https://www.transfermarkt.com/edouard-mendy/marktwertverlauf/spieler/442531,Edouard Mendy,Chelsea FC,€25.00m ,Senegal
14,1,https://www.transfermarkt.com/seny-dieng/marktwertverlauf/spieler/250870,Seny Dieng,Queens Park Rangers,€1.50m ,Senegal
15,22,https://www.transfermarkt.com/abdou-diallo/marktwertverlauf/spieler/229005,Abdou Diallo,RB Leipzig,€15.00m ,Senegal
16,2,https://www.transfermarkt.com/formose-mendy/marktwertverlauf/spieler/649023,Formose Mendy,Amiens SC,€2.50m ,Senegal
17,12,https://www.transfermarkt.com/fode-ballo-toure/marktwertverlauf/spieler/296422,Fodé Ballo-Touré,AC Milan,€3.50m ,Senegal
18,21,https://www.transfermarkt.com/youssouf-sabaly/marktwertverlauf/spieler/135492,Youssouf Sabaly,Real Betis Balompié,€4.00m ,Senegal
19,6,https://www.transfermarkt.com/nampalys-mendy/marktwertverlauf/spieler/111051,Nampalys Mendy,Leicester City,€3.50m ,Senegal
20,8,https://www.transfermarkt.com/cheikhou-kouyate/marktwertverlauf/spieler/66934,Cheikhou Kouyaté,Nottingham Forest,€3.00m ,Senegal
21,5,https://www.transfermarkt.com/idrissa-gueye/marktwertverlauf/spieler/126665,Idrissa Gueye,Everton FC,€8.00m ,Senegal
22,24,https://www.transfermarkt.com/moustapha-name/marktwertverlauf/spieler/586262,Moustapha Name,Pafos FC,€2.00m ,Senegal
23,18,https://www.transfermarkt.com/ismaila-sarr/marktwertverlauf/spieler/410225,Ismaïla Sarr,Watford FC,€22.00m ,Senegal
24,15,https://www.transfermarkt.com/krepin-diatta/marktwertverlauf/spieler/490426,Krépin Diatta,AS Monaco,€13.00m ,Senegal
25,20,https://www.transfermarkt.com/bamba-dieng/marktwertverlauf/spieler/822458,Bamba Dieng,Olympique Marseille,€8.00m ,Senegal
