,tm-shirt-number,url,name,current-team,market-value,country
0,1,https://www.transfermarkt.com/marko-dmitrovi%C4%87/marktwertverlauf/spieler/94308,Marko Dmitrović,Sevilla FC,€5.00m ,Serbia
1,2,https://www.transfermarkt.com/strahinja-pavlovic/marktwertverlauf/spieler/574671,Strahinja Pavlovic,Red Bull Salzburg,€20.00m ,Serbia
2,3,https://www.transfermarkt.com/strahinja-erakovi%C4%87/marktwertverlauf/spieler/574660,Strahinja Eraković,Red Star Belgrade,€7.00m ,Serbia
3,15,https://www.transfermarkt.com/srdjan-babic/marktwertverlauf/spieler/222805,Srdjan Babic,UD Almería,€3.00m ,Serbia
4,26,https://www.transfermarkt.com/marko-gruji%C4%87/marktwertverlauf/spieler/222813,Marko Grujić,FC Porto,€9.00m ,Serbia
5,8,https://www.transfermarkt.com/nemanja-gudelj/marktwertverlauf/spieler/74294,Nemanja Gudelj,Sevilla FC,€4.00m ,Serbia
6,16,https://www.transfermarkt.com/sa-scaron-a-luki%C4%87/marktwertverlauf/spieler/245056,Saša Lukić,Torino FC,€13.00m ,Serbia
7,6,https://www.transfermarkt.com/nemanja-maksimovi%C4%87/marktwertverlauf/spieler/273152,Nemanja Maksimović,Getafe CF,€10.00m ,Serbia
8,22,https://www.transfermarkt.com/darko-lazovi%C4%87/marktwertverlauf/spieler/70411,Darko Lazović,Hellas Verona,€2.50m ,Serbia
9,21,https://www.transfermarkt.com/filip-djuricic/marktwertverlauf/spieler/94307,Filip Djuricic,UC Sampdoria,€2.50m ,Serbia
10,7,https://www.transfermarkt.com/nemanja-radonji%C4%87/marktwertverlauf/spieler/245078,Nemanja Radonjić,Torino FC,€4.00m ,Serbia
11,18,https://www.transfermarkt.com/du-scaron-an-vlahovi%C4%87/marktwertverlauf/spieler/357498,Dušan Vlahović,Juventus FC,€80.00m ,Serbia
12,11,https://www.transfermarkt.com/luka-jovi%C4%87/marktwertverlauf/spieler/257462,Luka Jović,ACF Fiorentina,€14.00m ,Serbia
13,12,https://www.transfermarkt.com/predrag-rajkovi%C4%87/marktwertverlauf/spieler/190263,Predrag Rajković,RCD Mallorca,€10.00m ,Serbia
14,23,https://www.transfermarkt.com/vanja-milinkovi%C4%87-savi%C4%87/marktwertverlauf/spieler/257474,Vanja Milinković-Savić,Torino FC,€2.50m ,Serbia
15,4,https://www.transfermarkt.com/nikola-milenkovi%C4%87/marktwertverlauf/spieler/413507,Nikola Milenković,ACF Fiorentina,€20.00m ,Serbia
16,5,https://www.transfermarkt.com/milo-scaron-veljkovi%C4%87/marktwertverlauf/spieler/202228,Miloš Veljković,SV Werder Bremen,€5.00m ,Serbia
17,13,https://www.transfermarkt.com/stefan-mitrovi%C4%87/marktwertverlauf/spieler/143029,Stefan Mitrović,Getafe CF,€2.00m ,Serbia
18,19,https://www.transfermarkt.com/uro-scaron-ra%C4%8Di%C4%87/marktwertverlauf/spieler/417575,Uroš Račić,SC Braga,€6.50m ,Serbia
19,20,https://www.transfermarkt.com/sergej-milinkovi%C4%87-savi%C4%87/marktwertverlauf/spieler/266302,Sergej Milinković-Savić,SS Lazio,€60.00m ,Serbia
20,24,https://www.transfermarkt.com/ivan-ili%C4%87/marktwertverlauf/spieler/470794,Ivan Ilić,Hellas Verona,€13.00m ,Serbia
21,17,https://www.transfermarkt.com/filip-kosti%C4%87/marktwertverlauf/spieler/161011,Filip Kostić,Juventus FC,€24.00m ,Serbia
22,25,https://www.transfermarkt.com/filip-mladenovic/marktwertverlauf/spieler/168063,Filip Mladenovic,Legia Warszawa,€1.50m ,Serbia
23,10,https://www.transfermarkt.com/dusan-tadi%C4%87/marktwertverlauf/spieler/36139,Dusan Tadić,Ajax Amsterdam,€7.00m ,Serbia
24,14,https://www.transfermarkt.com/andrija-zivkovic/marktwertverlauf/spieler/206843,Andrija Zivkovic,PAOK Thessaloniki,€6.00m ,Serbia
25,9,https://www.transfermarkt.com/aleksandar-mitrovi%C4%87/marktwertverlauf/spieler/51152,Aleksandar Mitrović,Fulham FC,€28.00m ,Serbia
