,tm-shirt-number,url,name,current-team,market-value,country
0,12,https://www.transfermarkt.com/bum-keun-song/marktwertverlauf/spieler/508237,Bum-keun Song,Jeonbuk Hyundai Motors,€1.10m ,South Korea
1,4,https://www.transfermarkt.com/min-jae-kim/marktwertverlauf/spieler/503482,Min-jae Kim,SSC Napoli,€35.00m ,South Korea
2,24,https://www.transfermarkt.com/yu-min-cho/marktwertverlauf/spieler/561212,Yu-min Cho,Daejeon Hana Citizen,€700k ,South Korea
3,3,https://www.transfermarkt.com/jin-su-kim/marktwertverlauf/spieler/132529,Jin-su Kim,Jeonbuk Hyundai Motors,€575k ,South Korea
4,15,https://www.transfermarkt.com/moon-hwan-kim/marktwertverlauf/spieler/524592,Moon-hwan Kim,Jeonbuk Hyundai Motors,€950k ,South Korea
5,2,https://www.transfermarkt.com/jong-gyu-yoon/marktwertverlauf/spieler/402163,Jong-gyu Yoon,FC Seoul,€650k ,South Korea
6,5,https://www.transfermarkt.com/woo-young-jung/marktwertverlauf/spieler/171935,Woo-young Jung,Al-Sadd SC,€600k ,South Korea
7,8,https://www.transfermarkt.com/seung-ho-paik/marktwertverlauf/spieler/282689,Seung-ho Paik,Jeonbuk Hyundai Motors,€1.00m ,South Korea
8,10,https://www.transfermarkt.com/jae-sung-lee/marktwertverlauf/spieler/314398,Jae-sung Lee,1.FSV Mainz 05,€3.00m ,South Korea
9,26,https://www.transfermarkt.com/min-kyu-song/marktwertverlauf/spieler/581977,Min-kyu Song,Jeonbuk Hyundai Motors,€1.20m ,South Korea
10,22,https://www.transfermarkt.com/chang-hoon-kwon/marktwertverlauf/spieler/259350,Chang-hoon Kwon,Gimcheon Sangmu,€900k ,South Korea
11,11,https://www.transfermarkt.com/hee-chan-hwang/marktwertverlauf/spieler/292246,Hee-chan Hwang,Wolverhampton Wanderers,€12.00m ,South Korea
12,9,https://www.transfermarkt.com/gue-sung-cho/marktwertverlauf/spieler/652537,Gue-sung Cho,Jeonbuk Hyundai Motors,€1.40m ,South Korea
13,21,https://www.transfermarkt.com/hyeon-woo-jo/marktwertverlauf/spieler/260171,Hyeon-woo Jo,Ulsan Hyundai,€1.30m ,South Korea
14,1,https://www.transfermarkt.com/seung-gyu-kim/marktwertverlauf/spieler/92076,Seung-gyu Kim,Al-Shabab Club (Riyadh),€900k ,South Korea
15,20,https://www.transfermarkt.com/kyung-won-kwon/marktwertverlauf/spieler/260189,Kyung-won Kwon,Gamba Osaka,€800k ,South Korea
16,19,https://www.transfermarkt.com/young-gwon-kim/marktwertverlauf/spieler/126640,Young-gwon Kim,Ulsan Hyundai,€600k ,South Korea
17,14,https://www.transfermarkt.com/chul-hong/marktwertverlauf/spieler/151791,Chul Hong,Daegu FC,€500k ,South Korea
18,23,https://www.transfermarkt.com/tae-hwan-kim/marktwertverlauf/spieler/156009,Tae-hwan Kim,Ulsan Hyundai,€900k ,South Korea
19,13,https://www.transfermarkt.com/jun-ho-son/marktwertverlauf/spieler/312446,Jun-ho Son,Shandong Taishan,€3.50m ,South Korea
20,6,https://www.transfermarkt.com/in-beom-hwang/marktwertverlauf/spieler/365394,In-beom Hwang,Olympiacos Piraeus,€3.50m ,South Korea
21,18,https://www.transfermarkt.com/kang-in-lee/marktwertverlauf/spieler/557149,Kang-in Lee,RCD Mallorca,€12.00m ,South Korea
22,7,https://www.transfermarkt.com/heung-min-son/marktwertverlauf/spieler/91845,Heung-min Son,Tottenham Hotspur,€70.00m ,South Korea
23,17,https://www.transfermarkt.com/sang-ho-na/marktwertverlauf/spieler/508381,Sang-ho Na,FC Seoul,€900k ,South Korea
24,25,https://www.transfermarkt.com/woo-yeong-jeong/marktwertverlauf/spieler/297583,Woo-yeong Jeong,SC Freiburg,€5.50m ,South Korea
25,16,https://www.transfermarkt.com/ui-jo-hwang/marktwertverlauf/spieler/260166,Ui-jo Hwang,Olympiacos Piraeus,€5.00m ,South Korea
