,tm-shirt-number,url,name,current-team,market-value,country
0,23,https://www.transfermarkt.com/unai-simon/marktwertverlauf/spieler/262396,Unai Simón,Athletic Bilbao,€25.00m ,Spain
1,4,https://www.transfermarkt.com/pau-torres/marktwertverlauf/spieler/399776,Pau Torres,Villarreal CF,€50.00m ,Spain
2,3,https://www.transfermarkt.com/eric-garcia/marktwertverlauf/spieler/466794,Eric García,FC Barcelona,€18.00m ,Spain
3,18,https://www.transfermarkt.com/jordi-alba/marktwertverlauf/spieler/69751,Jordi Alba,FC Barcelona,€5.00m ,Spain
4,2,https://www.transfermarkt.com/cesar-azpilicueta/marktwertverlauf/spieler/57500,César Azpilicueta,Chelsea FC,€8.00m ,Spain
5,15,https://www.transfermarkt.com/hugo-guillamon/marktwertverlauf/spieler/495629,Hugo Guillamón,Valencia CF,€25.00m ,Spain
6,26,https://www.transfermarkt.com/pedri/marktwertverlauf/spieler/683840,Pedri,FC Barcelona,€100.00m ,Spain
7,6,https://www.transfermarkt.com/marcos-llorente/marktwertverlauf/spieler/282411,Marcos Llorente,Atlético de Madrid,€35.00m ,Spain
8,8,https://www.transfermarkt.com/koke/marktwertverlauf/spieler/74229,Koke,Atlético de Madrid,€18.00m ,Spain
9,25,https://www.transfermarkt.com/ansu-fati/marktwertverlauf/spieler/466810,Ansu Fati,FC Barcelona,€50.00m ,Spain
10,17,https://www.transfermarkt.com/yeremy-pino/marktwertverlauf/spieler/568157,Yéremy Pino,Villarreal CF,€38.00m ,Spain
11,12,https://www.transfermarkt.com/nico-williams/marktwertverlauf/spieler/709187,Nico Williams,Athletic Bilbao,€25.00m ,Spain
12,7,https://www.transfermarkt.com/alvaro-morata/marktwertverlauf/spieler/128223,Álvaro Morata,Atlético de Madrid,€25.00m ,Spain
13,1,https://www.transfermarkt.com/robert-sanchez/marktwertverlauf/spieler/403151,Robert Sánchez,Brighton &amp; Hove Albion,€32.00m ,Spain
14,13,https://www.transfermarkt.com/david-raya/marktwertverlauf/spieler/262749,David Raya,Brentford FC,€22.00m ,Spain
15,24,https://www.transfermarkt.com/aymeric-laporte/marktwertverlauf/spieler/176553,Aymeric Laporte,Manchester City,€38.00m ,Spain
16,14,https://www.transfermarkt.com/alejandro-balde/marktwertverlauf/spieler/636688,Alejandro Balde,FC Barcelona,€15.00m ,Spain
17,20,https://www.transfermarkt.com/daniel-carvajal/marktwertverlauf/spieler/138927,Daniel Carvajal,Real Madrid,€18.00m ,Spain
18,16,https://www.transfermarkt.com/rodri/marktwertverlauf/spieler/357565,Rodri,Manchester City,€80.00m ,Spain
19,5,https://www.transfermarkt.com/sergio-busquets/marktwertverlauf/spieler/65230,Sergio Busquets,FC Barcelona,€5.00m ,Spain
20,9,https://www.transfermarkt.com/gavi/marktwertverlauf/spieler/646740,Gavi,FC Barcelona,€90.00m ,Spain
21,19,https://www.transfermarkt.com/carlos-soler/marktwertverlauf/spieler/372246,Carlos Soler,Paris Saint-Germain,€35.00m ,Spain
22,21,https://www.transfermarkt.com/dani-olmo/marktwertverlauf/spieler/293385,Dani Olmo,RB Leipzig,€40.00m ,Spain
23,11,https://www.transfermarkt.com/ferran-torres/marktwertverlauf/spieler/398184,Ferran Torres,FC Barcelona,€35.00m ,Spain
24,10,https://www.transfermarkt.com/marco-asensio/marktwertverlauf/spieler/296622,Marco Asensio,Real Madrid,€25.00m ,Spain
25,22,https://www.transfermarkt.com/pablo-sarabia/marktwertverlauf/spieler/74230,Pablo Sarabia,Paris Saint-Germain,€20.00m ,Spain
