,tm-shirt-number,url,name,current-team,market-value,country
0,12,https://www.transfermarkt.com/jonas-omlin/marktwertverlauf/spieler/247915,Jonas Omlin,Montpellier HSC,€7.00m ,Switzerland
1,24,https://www.transfermarkt.com/philipp-kohn/marktwertverlauf/spieler/251322,Philipp Köhn,Red Bull Salzburg,€4.00m ,Switzerland
2,4,https://www.transfermarkt.com/nico-elvedi/marktwertverlauf/spieler/192635,Nico Elvedi,Borussia Mönchengladbach,€20.00m ,Switzerland
3,18,https://www.transfermarkt.com/eray-comert/marktwertverlauf/spieler/298583,Eray Cömert,Valencia CF,€4.00m ,Switzerland
4,3,https://www.transfermarkt.com/silvan-widmer/marktwertverlauf/spieler/168989,Silvan Widmer,1.FSV Mainz 05,€5.00m ,Switzerland
5,6,https://www.transfermarkt.com/denis-zakaria/marktwertverlauf/spieler/334526,Denis Zakaria,Chelsea FC,€20.00m ,Switzerland
6,20,https://www.transfermarkt.com/fabian-frei/marktwertverlauf/spieler/52595,Fabian Frei,FC Basel 1893,€500k ,Switzerland
7,8,https://www.transfermarkt.com/remo-freuler/marktwertverlauf/spieler/148252,Remo Freuler,Nottingham Forest,€13.00m ,Switzerland
8,2,https://www.transfermarkt.com/edimilson-fernandes/marktwertverlauf/spieler/247555,Edimilson Fernandes,1.FSV Mainz 05,€3.00m ,Switzerland
9,17,https://www.transfermarkt.com/ruben-vargas/marktwertverlauf/spieler/345886,Rubén Vargas,FC Augsburg,€6.00m ,Switzerland
10,16,https://www.transfermarkt.com/christian-fassnacht/marktwertverlauf/spieler/250490,Christian Fassnacht,BSC Young Boys,€3.00m ,Switzerland
11,19,https://www.transfermarkt.com/noah-okafor/marktwertverlauf/spieler/346890,Noah Okafor,Red Bull Salzburg,€25.00m ,Switzerland
12,9,https://www.transfermarkt.com/haris-seferovic/marktwertverlauf/spieler/109256,Haris Seferovic,Galatasaray,€6.00m ,Switzerland
13,21,https://www.transfermarkt.com/gregor-kobel/marktwertverlauf/spieler/257814,Gregor Kobel,Borussia Dortmund,€25.00m ,Switzerland
14,1,https://www.transfermarkt.com/yann-sommer/marktwertverlauf/spieler/42205,Yann Sommer,Borussia Mönchengladbach,€5.00m ,Switzerland
15,5,https://www.transfermarkt.com/manuel-akanji/marktwertverlauf/spieler/284730,Manuel Akanji,Manchester City,€30.00m ,Switzerland
16,22,https://www.transfermarkt.com/fabian-schar/marktwertverlauf/spieler/135343,Fabian Schär,Newcastle United,€10.00m ,Switzerland
17,13,https://www.transfermarkt.com/ricardo-rodriguez/marktwertverlauf/spieler/86784,Ricardo Rodríguez,Torino FC,€3.50m ,Switzerland
18,10,https://www.transfermarkt.com/granit-xhaka/marktwertverlauf/spieler/111455,Granit Xhaka,Arsenal FC,€28.00m ,Switzerland
19,26,https://www.transfermarkt.com/ardon-jashari/marktwertverlauf/spieler/608172,Ardon Jashari,FC Luzern,€2.50m ,Switzerland
20,15,https://www.transfermarkt.com/djibril-sow/marktwertverlauf/spieler/212723,Djibril Sow,Eintracht Frankfurt,€22.00m ,Switzerland
21,14,https://www.transfermarkt.com/michel-aebischer/marktwertverlauf/spieler/237658,Michel Aebischer,Bologna FC 1909,€3.50m ,Switzerland
22,25,https://www.transfermarkt.com/fabian-rieder/marktwertverlauf/spieler/507341,Fabian Rieder,BSC Young Boys,€10.00m ,Switzerland
23,23,https://www.transfermarkt.com/xherdan-shaqiri/marktwertverlauf/spieler/86792,Xherdan Shaqiri,Chicago Fire FC,€4.00m ,Switzerland
24,11,https://www.transfermarkt.com/renato-steffen/marktwertverlauf/spieler/194638,Renato Steffen,FC Lugano,€1.00m ,Switzerland
25,7,https://www.transfermarkt.com/breel-embolo/marktwertverlauf/spieler/237662,Breel Embolo,AS Monaco,€20.00m ,Switzerland
