,tm-shirt-number,url,name,current-team,market-value,country
0,22,https://www.transfermarkt.com/bechir-ben-said/marktwertverlauf/spieler/348144,Bechir Ben Said,US Monastir,€900k ,Tunisia
1,1,https://www.transfermarkt.com/aymen-balbouli/marktwertverlauf/spieler/63068,Aymen Balbouli,Etoile Sportive du Sahel,€50k ,Tunisia
2,6,https://www.transfermarkt.com/dylan-bronn/marktwertverlauf/spieler/450417,Dylan Bronn,US Salernitana 1919,€3.00m ,Tunisia
3,5,https://www.transfermarkt.com/nader-ghandri/marktwertverlauf/spieler/275956,Nader Ghandri,Club Africain Tunis,€650k ,Tunisia
4,12,https://www.transfermarkt.com/ali-maaloul/marktwertverlauf/spieler/133042,Ali Maâloul,El Ahly Cairo,€1.50m ,Tunisia
5,20,https://www.transfermarkt.com/mohamed-drager/marktwertverlauf/spieler/192167,Mohamed Dräger,FC Luzern,€1.30m ,Tunisia
6,17,https://www.transfermarkt.com/ellyes-skhiri/marktwertverlauf/spieler/290587,Ellyes Skhiri,1. FC Köln,€13.00m ,Tunisia
7,25,https://www.transfermarkt.com/anis-slimane/marktwertverlauf/spieler/546712,Anis Slimane,Bröndby IF,€3.50m ,Tunisia
8,13,https://www.transfermarkt.com/ferjani-sassi/marktwertverlauf/spieler/191903,Ferjani Sassi,Al-Duhail SC,€1.75m ,Tunisia
9,8,https://www.transfermarkt.com/hannibal-mejbri/marktwertverlauf/spieler/607224,Hannibal Mejbri,Birmingham City,€6.00m ,Tunisia
10,7,https://www.transfermarkt.com/youssef-msakni/marktwertverlauf/spieler/69110,Youssef Msakni,Al-Arabi SC,€1.20m ,Tunisia
11,10,https://www.transfermarkt.com/wahbi-khazri/marktwertverlauf/spieler/103565,Wahbi Khazri,Montpellier HSC,€3.00m ,Tunisia
12,11,https://www.transfermarkt.com/taha-yassine-khenissi/marktwertverlauf/spieler/142252,Taha Yassine Khenissi,Kuwait SC,€600k ,Tunisia
13,16,https://www.transfermarkt.com/aymen-dahmen/marktwertverlauf/spieler/569433,Aymen Dahmen,Club Sportif Sfaxien,€950k ,Tunisia
14,26,https://www.transfermarkt.com/mouez-hassen/marktwertverlauf/spieler/215677,Mouez Hassen,Club Africain Tunis,€450k ,Tunisia
15,3,https://www.transfermarkt.com/montassar-talbi/marktwertverlauf/spieler/496706,Montassar Talbi,FC Lorient,€4.00m ,Tunisia
16,4,https://www.transfermarkt.com/yassine-meriah/marktwertverlauf/spieler/306330,Yassine Meriah,Esperance Tunis,€2.00m ,Tunisia
17,2,https://www.transfermarkt.com/bilel-ifa/marktwertverlauf/spieler/93447,Bilel Ifa,Kuwait SC,€350k ,Tunisia
18,24,https://www.transfermarkt.com/ali-abdi/marktwertverlauf/spieler/211474,Ali Abdi,SM Caen,€1.50m ,Tunisia
19,21,https://www.transfermarkt.com/wajdi-kechrida/marktwertverlauf/spieler/407885,Wajdi Kechrida,Atromitos Athen,€800k ,Tunisia
20,14,https://www.transfermarkt.com/aissa-laidouni/marktwertverlauf/spieler/233782,Aïssa Laïdouni,Ferencvárosi TC,€4.00m ,Tunisia
21,15,https://www.transfermarkt.com/mohamed-ali-ben-romdhane/marktwertverlauf/spieler/577881,Mohamed Ali Ben Romdhane,Esperance Tunis,€2.70m ,Tunisia
22,18,https://www.transfermarkt.com/ghaylen-chaaleli/marktwertverlauf/spieler/346776,Ghaylen Chaaleli,Esperance Tunis,€1.20m ,Tunisia
23,23,https://www.transfermarkt.com/naim-sliti/marktwertverlauf/spieler/184491,Naïm Sliti,Ettifaq FC,€6.00m ,Tunisia
24,9,https://www.transfermarkt.com/issam-jebali/marktwertverlauf/spieler/122635,Issam Jebali,Odense Boldklub,€500k ,Tunisia
25,19,https://www.transfermarkt.com/seifeddine-jaziri/marktwertverlauf/spieler/209304,Seifeddine Jaziri,Zamalek SC,€1.50m ,Tunisia
