,tm-shirt-number,url,name,current-team,market-value,country
0,25,https://www.transfermarkt.com/sean-johnson/marktwertverlauf/spieler/126630,Sean Johnson,New York City FC,€1.50m ,United States
1,20,https://www.transfermarkt.com/cameron-carter-vickers/marktwertverlauf/spieler/341049,Cameron Carter-Vickers,Celtic FC,€9.50m ,United States
2,15,https://www.transfermarkt.com/aaron-long/marktwertverlauf/spieler/271072,Aaron Long,New York Red Bulls,€3.00m ,United States
3,5,https://www.transfermarkt.com/antonee-robinson/marktwertverlauf/spieler/349701,Antonee Robinson,Fulham FC,€10.00m ,United States
4,26,https://www.transfermarkt.com/joe-scally/marktwertverlauf/spieler/504153,Joe Scally,Borussia Mönchengladbach,€12.00m ,United States
5,18,https://www.transfermarkt.com/shaq-moore/marktwertverlauf/spieler/336168,Shaq Moore,Nashville SC,€1.00m ,United States
6,23,https://www.transfermarkt.com/kellyn-acosta/marktwertverlauf/spieler/189895,Kellyn Acosta,Los Angeles FC,€3.00m ,United States
7,6,https://www.transfermarkt.com/yunus-musah/marktwertverlauf/spieler/503991,Yunus Musah,Valencia CF,€20.00m ,United States
8,14,https://www.transfermarkt.com/luca-de-la-torre/marktwertverlauf/spieler/315762,Luca de la Torre,Celta de Vigo,€2.00m ,United States
9,11,https://www.transfermarkt.com/brenden-aaronson/marktwertverlauf/spieler/393323,Brenden Aaronson,Leeds United,€30.00m ,United States
10,10,https://www.transfermarkt.com/christian-pulisic/marktwertverlauf/spieler/315779,Christian Pulisic,Chelsea FC,€38.00m ,United States
11,24,https://www.transfermarkt.com/josh-sargent/marktwertverlauf/spieler/393325,Josh Sargent,Norwich City,€12.00m ,United States
12,19,https://www.transfermarkt.com/haji-wright/marktwertverlauf/spieler/315291,Haji Wright,Antalyaspor,€3.40m ,United States
13,1,https://www.transfermarkt.com/matt-turner/marktwertverlauf/spieler/425306,Matt Turner,Arsenal FC,€5.00m ,United States
14,12,https://www.transfermarkt.com/ethan-horvath/marktwertverlauf/spieler/242284,Ethan Horvath,Luton Town,€1.00m ,United States
15,3,https://www.transfermarkt.com/walker-zimmerman/marktwertverlauf/spieler/245337,Walker Zimmerman,Nashville SC,€3.50m ,United States
16,13,https://www.transfermarkt.com/tim-ream/marktwertverlauf/spieler/145466,Tim Ream,Fulham FC,€1.00m ,United States
17,2,https://www.transfermarkt.com/sergino-dest/marktwertverlauf/spieler/361104,Sergiño Dest,AC Milan,€16.00m ,United States
18,22,https://www.transfermarkt.com/deandre-yedlin/marktwertverlauf/spieler/255916,DeAndre Yedlin,Inter Miami CF,€2.00m ,United States
19,4,https://www.transfermarkt.com/tyler-adams/marktwertverlauf/spieler/332705,Tyler Adams,Leeds United,€17.00m ,United States
20,8,https://www.transfermarkt.com/weston-mckennie/marktwertverlauf/spieler/332697,Weston McKennie,Juventus FC,€21.00m ,United States
21,17,https://www.transfermarkt.com/cristian-roldan/marktwertverlauf/spieler/354792,Cristian Roldán,Seattle Sounders FC,€6.00m ,United States
22,7,https://www.transfermarkt.com/giovanni-reyna/marktwertverlauf/spieler/504215,Giovanni Reyna,Borussia Dortmund,€35.00m ,United States
23,16,https://www.transfermarkt.com/jordan-morris/marktwertverlauf/spieler/337807,Jordan Morris,Seattle Sounders FC,€4.50m ,United States
24,21,https://www.transfermarkt.com/timothy-weah/marktwertverlauf/spieler/370846,Timothy Weah,LOSC Lille,€12.00m ,United States
25,9,https://www.transfermarkt.com/jesus-ferreira/marktwertverlauf/spieler/474249,Jesús Ferreira,FC Dallas,€8.00m ,United States
