,tm-shirt-number,url,name,current-team,market-value,country
0,1,https://www.transfermarkt.com/fernando-muslera/marktwertverlauf/spieler/58088,Fernando Muslera,Galatasaray,€1.70m ,Uruguay
1,4,https://www.transfermarkt.com/ronald-araujo/marktwertverlauf/spieler/480267,Ronald Araújo,FC Barcelona,€60.00m ,Uruguay
2,19,https://www.transfermarkt.com/sebastian-coates/marktwertverlauf/spieler/102427,Sebastián Coates,Sporting CP,€6.00m ,Uruguay
3,22,https://www.transfermarkt.com/martin-caceres/marktwertverlauf/spieler/54935,Martín Cáceres,Los Angeles Galaxy,€500k ,Uruguay
4,17,https://www.transfermarkt.com/matias-vina/marktwertverlauf/spieler/439072,Matías Viña,AS Roma,€6.00m ,Uruguay
5,26,https://www.transfermarkt.com/jose-luis-rodriguez/marktwertverlauf/spieler/430339,José Luis Rodríguez,Club Nacional,€2.00m ,Uruguay
6,14,https://www.transfermarkt.com/lucas-torreira/marktwertverlauf/spieler/318077,Lucas Torreira,Galatasaray,€15.00m ,Uruguay
7,6,https://www.transfermarkt.com/rodrigo-bentancur/marktwertverlauf/spieler/354362,Rodrigo Bentancur,Tottenham Hotspur,€40.00m ,Uruguay
8,5,https://www.transfermarkt.com/matias-vecino/marktwertverlauf/spieler/143812,Matías Vecino,SS Lazio,€4.50m ,Uruguay
9,20,https://www.transfermarkt.com/facundo-torres/marktwertverlauf/spieler/465822,Facundo Torres,Orlando City SC,€8.00m ,Uruguay
10,8,https://www.transfermarkt.com/facundo-pellistri/marktwertverlauf/spieler/676318,Facundo Pellistri,Manchester United,€3.00m ,Uruguay
11,18,https://www.transfermarkt.com/maxi-gomez/marktwertverlauf/spieler/396894,Maxi Gómez,Trabzonspor,€7.50m ,Uruguay
12,9,https://www.transfermarkt.com/luis-suarez/marktwertverlauf/spieler/44352,Luis Suárez,Club Nacional,€4.00m ,Uruguay
13,23,https://www.transfermarkt.com/sergio-rochet/marktwertverlauf/spieler/264014,Sergio Rochet,Club Nacional,€4.00m ,Uruguay
14,12,https://www.transfermarkt.com/sebastian-sosa/marktwertverlauf/spieler/76592,Sebastián Sosa,CA Independiente,€800k ,Uruguay
15,2,https://www.transfermarkt.com/jose-maria-gimenez/marktwertverlauf/spieler/250845,José María Giménez,Atlético de Madrid,€40.00m ,Uruguay
16,3,https://www.transfermarkt.com/diego-godin/marktwertverlauf/spieler/54928,Diego Godín,CA Vélez Sarsfield,€700k ,Uruguay
17,16,https://www.transfermarkt.com/mathias-olivera/marktwertverlauf/spieler/376514,Mathías Olivera,SSC Napoli,€15.00m ,Uruguay
18,13,https://www.transfermarkt.com/guillermo-varela/marktwertverlauf/spieler/188862,Guillermo Varela,Clube de Regatas do Flamengo,€2.00m ,Uruguay
19,25,https://www.transfermarkt.com/manuel-ugarte/marktwertverlauf/spieler/476701,Manuel Ugarte,Sporting CP,€18.00m ,Uruguay
20,15,https://www.transfermarkt.com/federico-valverde/marktwertverlauf/spieler/369081,Federico Valverde,Real Madrid,€100.00m ,Uruguay
21,7,https://www.transfermarkt.com/nicolas-de-la-cruz/marktwertverlauf/spieler/397458,Nicolás de la Cruz,CA River Plate,€13.00m ,Uruguay
22,10,https://www.transfermarkt.com/giorgian-de-arrascaeta/marktwertverlauf/spieler/248410,Giorgian de Arrascaeta,Clube de Regatas do Flamengo,€19.00m ,Uruguay
23,24,https://www.transfermarkt.com/agustin-canobbio/marktwertverlauf/spieler/457533,Agustín Canobbio,Club Athletico Paranaense,€4.00m ,Uruguay
24,11,https://www.transfermarkt.com/darwin-nunez/marktwertverlauf/spieler/546543,Darwin Núñez,Liverpool FC,€70.00m ,Uruguay
25,21,https://www.transfermarkt.com/edinson-cavani/marktwertverlauf/spieler/48280,Edinson Cavani,Valencia CF,€5.00m ,Uruguay
