,tm-shirt-number,url,name,current-team,market-value,country
0,1,https://www.transfermarkt.com/wayne-hennessey/marktwertverlauf/spieler/45494,Wayne Hennessey,Nottingham Forest,€500k ,Wales
1,6,https://www.transfermarkt.com/joe-rodon/marktwertverlauf/spieler/297212,Joe Rodon,Stade Rennais FC,€9.00m ,Wales
2,24,https://www.transfermarkt.com/ben-cabango/marktwertverlauf/spieler/496659,Ben Cabango,Swansea City,€8.00m ,Wales
3,17,https://www.transfermarkt.com/tom-lockyer/marktwertverlauf/spieler/207742,Tom Lockyer,Luton Town,€2.00m ,Wales
4,3,https://www.transfermarkt.com/neco-williams/marktwertverlauf/spieler/503680,Neco Williams,Nottingham Forest,€18.00m ,Wales
5,2,https://www.transfermarkt.com/chris-gunter/marktwertverlauf/spieler/43853,Chris Gunter,AFC Wimbledon,€300k ,Wales
6,10,https://www.transfermarkt.com/aaron-ramsey/marktwertverlauf/spieler/50057,Aaron Ramsey,OGC Nice,€3.00m ,Wales
7,23,https://www.transfermarkt.com/dylan-levitt/marktwertverlauf/spieler/496652,Dylan Levitt,Dundee United FC,€850k ,Wales
8,25,https://www.transfermarkt.com/rubin-colwill/marktwertverlauf/spieler/626474,Rubin Colwill,Cardiff City,€1.50m ,Wales
9,8,https://www.transfermarkt.com/harry-wilson/marktwertverlauf/spieler/279455,Harry Wilson,Fulham FC,€17.00m ,Wales
10,22,https://www.transfermarkt.com/sorba-thomas/marktwertverlauf/spieler/475416,Sorba Thomas,Huddersfield Town,€5.00m ,Wales
11,9,https://www.transfermarkt.com/brennan-johnson/marktwertverlauf/spieler/470607,Brennan Johnson,Nottingham Forest,€20.00m ,Wales
12,19,https://www.transfermarkt.com/mark-harris/marktwertverlauf/spieler/344012,Mark Harris,Cardiff City,€1.00m ,Wales
13,12,https://www.transfermarkt.com/danny-ward/marktwertverlauf/spieler/203026,Danny Ward,Leicester City,€8.00m ,Wales
14,21,https://www.transfermarkt.com/adam-davies/marktwertverlauf/spieler/121254,Adam Davies,Sheffield United,€500k ,Wales
15,15,https://www.transfermarkt.com/ethan-ampadu/marktwertverlauf/spieler/392771,Ethan Ampadu,Spezia Calcio,€9.00m ,Wales
16,5,https://www.transfermarkt.com/chris-mepham/marktwertverlauf/spieler/480987,Chris Mepham,AFC Bournemouth,€6.00m ,Wales
17,4,https://www.transfermarkt.com/ben-davies/marktwertverlauf/spieler/192765,Ben Davies,Tottenham Hotspur,€20.00m ,Wales
18,14,https://www.transfermarkt.com/connor-roberts/marktwertverlauf/spieler/214666,Connor Roberts,Burnley FC,€6.00m ,Wales
19,26,https://www.transfermarkt.com/matt-smith/marktwertverlauf/spieler/365877,Matt Smith,Milton Keynes Dons,€600k ,Wales
20,7,https://www.transfermarkt.com/joe-allen/marktwertverlauf/spieler/51452,Joe Allen,Swansea City,€1.00m ,Wales
21,16,https://www.transfermarkt.com/joe-morrell/marktwertverlauf/spieler/293507,Joe Morrell,Portsmouth FC,€500k ,Wales
22,18,https://www.transfermarkt.com/jonathan-williams/marktwertverlauf/spieler/170322,Jonathan Williams,Swindon Town,€400k ,Wales
23,20,https://www.transfermarkt.com/daniel-james/marktwertverlauf/spieler/319301,Daniel James,Fulham FC,€16.00m ,Wales
24,11,https://www.transfermarkt.com/gareth-bale/marktwertverlauf/spieler/39381,Gareth Bale,Los Angeles FC,€2.00m ,Wales
25,13,https://www.transfermarkt.com/kieffer-moore/marktwertverlauf/spieler/275590,Kieffer Moore,AFC Bournemouth,€4.00m ,Wales
