shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
12,Gerónimo Rulli,Villarreal CF,€10.00m ,Argentina,"Sep 4, 2020",,Villarreal,,,,LaLiga
12,Gerónimo Rulli,Villarreal CF,€10.00m ,Argentina,"Jun 30, 2020","Sep 4, 2020",Real Sociedad,Villarreal,8000000.0,5000000.0,LaLiga
12,Gerónimo Rulli,Villarreal CF,€10.00m ,Argentina,"Aug 14, 2019","Jun 30, 2020",Montpellier,Real Sociedad,8000000.0,,LaLiga
12,Gerónimo Rulli,Villarreal CF,€10.00m ,Argentina,"Jan 1, 2017","Aug 14, 2019",Real Sociedad,Montpellier,10000000.0,,LaLiga
12,Gerónimo Rulli,Villarreal CF,€10.00m ,Argentina,"Dec 31, 2016","Jan 1, 2017",Man City,Real Sociedad,8000000.0,7000000.0,LaLiga
12,Gerónimo Rulli,Villarreal CF,€10.00m ,Argentina,"Aug 9, 2016","Dec 31, 2016",Real Sociedad,Man City,8000000.0,,LaLiga
12,Gerónimo Rulli,Villarreal CF,€10.00m ,Argentina,"Aug 8, 2016","Aug 9, 2016",Man City,Real Sociedad,8000000.0,,LaLiga
12,Gerónimo Rulli,Villarreal CF,€10.00m ,Argentina,"Jun 30, 2016","Aug 8, 2016",Maldonado,Man City,8000000.0,4700000.0,LaLiga
12,Gerónimo Rulli,Villarreal CF,€10.00m ,Argentina,"Jul 24, 2014","Jun 30, 2016",Real Sociedad,Maldonado,6000000.0,,LaLiga
12,Gerónimo Rulli,Villarreal CF,€10.00m ,Argentina,"Jul 1, 2014","Jul 24, 2014",Maldonado,Real Sociedad,800000.0,,LaLiga
12,Gerónimo Rulli,Villarreal CF,€10.00m ,Argentina,"Jul 1, 2011","Jul 1, 2014",Estudiantes,Maldonado,800000.0,3500000.0,LaLiga
12,Gerónimo Rulli,Villarreal CF,€10.00m ,Argentina,,"Jul 1, 2011",Estudiantes U20,Estudiantes,,,LaLiga
13,Cristian Romero,Tottenham Hotspur,€55.00m ,Argentina,"Aug 30, 2022",,Spurs,,,,Premier League
13,Cristian Romero,Tottenham Hotspur,€55.00m ,Argentina,"Aug 29, 2022","Aug 30, 2022",Atalanta BC,Spurs,48000000.0,50000000.0,Premier League
13,Cristian Romero,Tottenham Hotspur,€55.00m ,Argentina,"Aug 6, 2021","Aug 29, 2022",Spurs,Atalanta BC,48000000.0,,Premier League
13,Cristian Romero,Tottenham Hotspur,€55.00m ,Argentina,"Aug 5, 2021","Aug 6, 2021",Atalanta BC,Spurs,35000000.0,,Premier League
13,Cristian Romero,Tottenham Hotspur,€55.00m ,Argentina,"Aug 4, 2021","Aug 5, 2021",Juventus,Atalanta BC,35000000.0,17000000.0,Premier League
13,Cristian Romero,Tottenham Hotspur,€55.00m ,Argentina,"Sep 5, 2020","Aug 4, 2021",Atalanta BC,Juventus,35000000.0,,Premier League
13,Cristian Romero,Tottenham Hotspur,€55.00m ,Argentina,"Aug 31, 2020","Sep 5, 2020",Juventus,Atalanta BC,14000000.0,,Premier League
13,Cristian Romero,Tottenham Hotspur,€55.00m ,Argentina,"Jul 13, 2019","Aug 31, 2020",Genoa,Juventus,14000000.0,,Premier League
13,Cristian Romero,Tottenham Hotspur,€55.00m ,Argentina,"Jul 12, 2019","Jul 13, 2019",Juventus,Genoa,15000000.0,,Premier League
13,Cristian Romero,Tottenham Hotspur,€55.00m ,Argentina,"Jul 1, 2018","Jul 12, 2019",Genoa,Juventus,15000000.0,31500000.0,Premier League
13,Cristian Romero,Tottenham Hotspur,€55.00m ,Argentina,"Jul 1, 2016","Jul 1, 2018",Belgrano,Genoa,750000.0,4250000.0,Premier League
13,Cristian Romero,Tottenham Hotspur,€55.00m ,Argentina,"Jul 1, 2015","Jul 1, 2016",Belgrano II,Belgrano,150000.0,,Premier League
