shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
12,Andrew Redmayne,Sydney FC,€500k ,Australia,"Jan 2, 2017",,Sydney FC,,,,A-League Men
12,Andrew Redmayne,Sydney FC,€500k ,Australia,"Jul 1, 2015","Jan 2, 2017",Western Sydney,Sydney FC,300000.0,0.0,A-League Men
12,Andrew Redmayne,Sydney FC,€500k ,Australia,"Jul 1, 2012","Jul 1, 2015",Melbourne City,Western Sydney,300000.0,0.0,A-League Men
12,Andrew Redmayne,Sydney FC,€500k ,Australia,"Jul 1, 2010","Jul 1, 2012",Brisbane Roar,Melbourne Heart,150000.0,,A-League Men
12,Andrew Redmayne,Sydney FC,€500k ,Australia,"Jul 1, 2007","Jul 1, 2010",Central Coast,Brisbane Roar,100000.0,,A-League Men
12,Andrew Redmayne,Sydney FC,€500k ,Australia,,"Jul 1, 2007",FFA C. of Excel,Central Coast,,0.0,A-League Men
19,Harry Souttar,Stoke City,€4.50m ,Australia,"Jul 7, 2020",,Stoke City,,,,Championship
19,Harry Souttar,Stoke City,€4.50m ,Australia,"Jul 18, 2019","Jul 7, 2020",Fleetwood,Stoke City,200000.0,,Championship
19,Harry Souttar,Stoke City,€4.50m ,Australia,"May 31, 2019","Jul 18, 2019",Stoke City,Fleetwood,200000.0,,Championship
19,Harry Souttar,Stoke City,€4.50m ,Australia,"Jan 30, 2019","May 31, 2019",Fleetwood,Stoke City,200000.0,,Championship
19,Harry Souttar,Stoke City,€4.50m ,Australia,"May 14, 2018","Jan 30, 2019",Stoke City,Fleetwood,200000.0,,Championship
19,Harry Souttar,Stoke City,€4.50m ,Australia,"Jan 24, 2018","May 14, 2018",Ross County,Stoke City,200000.0,,Championship
19,Harry Souttar,Stoke City,€4.50m ,Australia,"Sep 29, 2016","Jan 24, 2018",Stoke City,Ross County,,,Championship
19,Harry Souttar,Stoke City,€4.50m ,Australia,"Jul 1, 2016","Sep 29, 2016",Dundee United,Stoke City,,230000.0,Championship
19,Harry Souttar,Stoke City,€4.50m ,Australia,"Jul 1, 2014","Jul 1, 2016",Dundee Utd U20,Dundee United,,,Championship
19,Harry Souttar,Stoke City,€4.50m ,Australia,,"Jul 1, 2014",Dundee Utd U17,Dundee Utd U20,,,Championship
8,Bailey Wright,Sunderland AFC,€700k ,Australia,"Aug 2, 2020",,Sunderland,,,,Championship
8,Bailey Wright,Sunderland AFC,€700k ,Australia,"May 31, 2020","Aug 2, 2020",Bristol City,Sunderland,800000.0,0.0,Championship
8,Bailey Wright,Sunderland AFC,€700k ,Australia,"Jan 21, 2020","May 31, 2020",Sunderland,Bristol City,800000.0,,Championship
8,Bailey Wright,Sunderland AFC,€700k ,Australia,"Jan 6, 2017","Jan 21, 2020",Bristol City,Sunderland,1000000.0,,Championship
8,Bailey Wright,Sunderland AFC,€700k ,Australia,"Jul 1, 2010","Jan 6, 2017",Preston,Bristol City,500000.0,,Championship
8,Bailey Wright,Sunderland AFC,€700k ,Australia,"Jul 1, 2009","Jul 1, 2010",Preston U18,Preston,,,Championship
8,Bailey Wright,Sunderland AFC,€700k ,Australia,,"Jul 1, 2009",VIS,Preston U18,,,Championship
20,Thomas Deng,Albirex Niigata,€600k ,Australia,"Jan 9, 2022",,Albirex Niigata,,,,J2 League
20,Thomas Deng,Albirex Niigata,€600k ,Australia,"Jan 28, 2020","Jan 9, 2022",Urawa Reds,Albirex Niigata,700000.0,0.0,J2 League
20,Thomas Deng,Albirex Niigata,€600k ,Australia,"Jun 30, 2017","Jan 28, 2020",Melbourne,Urawa Reds,900000.0,,J2 League
20,Thomas Deng,Albirex Niigata,€600k ,Australia,"Jul 1, 2016","Jun 30, 2017",PSV U21,Melbourne,50000.0,,J2 League
20,Thomas Deng,Albirex Niigata,€600k ,Australia,"Aug 14, 2015","Jul 1, 2016",Melbourne,PSV U21,75000.0,,J2 League
20,Thomas Deng,Albirex Niigata,€600k ,Australia,,"Aug 14, 2015",Melb. Vic. U21,Melbourne,,,J2 League
24,Joel King,Odense Boldklub,€500k ,Australia,"Jan 29, 2022",,Odense BK,,,,Superligaen
24,Joel King,Odense Boldklub,€500k ,Australia,"Sep 11, 2018","Jan 29, 2022",Sydney FC,Odense BK,750000.0,,Superligaen
24,Joel King,Odense Boldklub,€500k ,Australia,,"Sep 11, 2018",Sydney FC U21,Sydney FC,,,Superligaen
3,Nathaniel Atkinson,Heart of Midlothian FC,€1.00m ,Australia,"Jan 1, 2022",,Heart of Midl.,,,,Premiership
3,Nathaniel Atkinson,Heart of Midlothian FC,€1.00m ,Australia,"Jan 1, 2018","Jan 1, 2022",Melbourne City,Heart of Midl.,900000.0,,Premiership
3,Nathaniel Atkinson,Heart of Midlothian FC,€1.00m ,Australia,,"Jan 1, 2018",M. City U21,Melbourne City,,,Premiership
26,Keanu Baccus,St. Mirren FC,€650k ,Australia,"Jul 1, 2022",,St. Mirren,,,,Premiership
26,Keanu Baccus,St. Mirren FC,€650k ,Australia,"Jul 1, 2017","Jul 1, 2022",Western Sydney,St. Mirren,600000.0,0.0,Premiership
26,Keanu Baccus,St. Mirren FC,€650k ,Australia,"Jul 1, 2014","Jul 1, 2017",West Sydney U21,Western Sydney,,,Premiership
26,Keanu Baccus,St. Mirren FC,€650k ,Australia,,"Jul 1, 2014",Blacktown City,West Sydney U21,,,Premiership
