shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
13,Koen Casteels,VfL Wolfsburg,€8.00m ,Belgium,"Jun 30, 2015",,VfL Wolfsburg,,,,Bundesliga
13,Koen Casteels,VfL Wolfsburg,€8.00m ,Belgium,"Jan 22, 2015","Jun 30, 2015",Werder Bremen,VfL Wolfsburg,1500000.0,,Bundesliga
13,Koen Casteels,VfL Wolfsburg,€8.00m ,Belgium,"Jan 21, 2015","Jan 22, 2015",VfL Wolfsburg,Werder Bremen,2500000.0,,Bundesliga
13,Koen Casteels,VfL Wolfsburg,€8.00m ,Belgium,"Aug 1, 2011","Jan 21, 2015",TSG Hoffenheim,VfL Wolfsburg,2500000.0,1500000.0,Bundesliga
13,Koen Casteels,VfL Wolfsburg,€8.00m ,Belgium,"Jul 1, 2009","Aug 1, 2011",KRC Genk,TSG Hoffenheim,800000.0,1200000.0,Bundesliga
13,Koen Casteels,VfL Wolfsburg,€8.00m ,Belgium,"Jul 1, 2008","Jul 1, 2009",KRC Genk U19,KRC Genk,50000.0,,Bundesliga
13,Koen Casteels,VfL Wolfsburg,€8.00m ,Belgium,"Jul 1, 2007","Jul 1, 2008",KRC Genk U17,KRC Genk U19,,,Bundesliga
13,Koen Casteels,VfL Wolfsburg,€8.00m ,Belgium,,"Jul 1, 2007",KRC Genk Youth,KRC Genk U17,,,Bundesliga
3,Arthur Theate,Stade Rennais FC,€20.00m ,Belgium,"Jul 29, 2022",,Rennes,,,,Ligue 1
3,Arthur Theate,Stade Rennais FC,€20.00m ,Belgium,"Jul 1, 2022","Jul 29, 2022",Bologna,Rennes,15000000.0,19000000.0,Ligue 1
3,Arthur Theate,Stade Rennais FC,€20.00m ,Belgium,"Jun 30, 2022","Jul 1, 2022",KV Oostende,Bologna,15000000.0,6000000.0,Ligue 1
3,Arthur Theate,Stade Rennais FC,€20.00m ,Belgium,"Aug 26, 2021","Jun 30, 2022",Bologna,KV Oostende,15000000.0,,Ligue 1
3,Arthur Theate,Stade Rennais FC,€20.00m ,Belgium,"Jul 13, 2020","Aug 26, 2021",KV Oostende,Bologna,5000000.0,,Ligue 1
3,Arthur Theate,Stade Rennais FC,€20.00m ,Belgium,"Aug 26, 2019","Jul 13, 2020",Standard U21,KV Oostende,,0.0,Ligue 1
3,Arthur Theate,Stade Rennais FC,€20.00m ,Belgium,"Jul 1, 2018","Aug 26, 2019",KRC Genk U21,Standard U21,,0.0,Ligue 1
3,Arthur Theate,Stade Rennais FC,€20.00m ,Belgium,"Jul 1, 2017","Jul 1, 2018",KRC Genk U19,KRC Genk U21,,,Ligue 1
3,Arthur Theate,Stade Rennais FC,€20.00m ,Belgium,"Jul 1, 2015","Jul 1, 2017",Standard U17,KRC Genk U19,,0.0,Ligue 1
3,Arthur Theate,Stade Rennais FC,€20.00m ,Belgium,"Jul 1, 2014","Jul 1, 2015",Standard Liège,Standard U17,,,Ligue 1
3,Arthur Theate,Stade Rennais FC,€20.00m ,Belgium,,"Jul 1, 2014",KRC Genk Youth,Standard Liège,,0.0,Ligue 1
26,Zeno Debast,RSC Anderlecht,€8.00m ,Belgium,"Jul 1, 2021",,RSC Anderlecht,,,,Jupiler Pro League
26,Zeno Debast,RSC Anderlecht,€8.00m ,Belgium,"Jan 1, 2020","Jul 1, 2021",Anderlecht U21,RSC Anderlecht,800000.0,,Jupiler Pro League
26,Zeno Debast,RSC Anderlecht,€8.00m ,Belgium,"Jul 1, 2019","Jan 1, 2020",Anderlecht U18,Anderlecht U21,,,Jupiler Pro League
26,Zeno Debast,RSC Anderlecht,€8.00m ,Belgium,,"Jul 1, 2019",Anderlecht Yth.,Anderlecht U18,,,Jupiler Pro League
5,Jan Vertonghen,RSC Anderlecht,€1.80m ,Belgium,"Sep 2, 2022",,RSC Anderlecht,,,,Jupiler Pro League
5,Jan Vertonghen,RSC Anderlecht,€1.80m ,Belgium,"Aug 14, 2020","Sep 2, 2022",Benfica,RSC Anderlecht,2000000.0,0.0,Jupiler Pro League
5,Jan Vertonghen,RSC Anderlecht,€1.80m ,Belgium,"Jul 12, 2012","Aug 14, 2020",Spurs,Benfica,14500000.0,0.0,Jupiler Pro League
5,Jan Vertonghen,RSC Anderlecht,€1.80m ,Belgium,"Jun 30, 2007","Jul 12, 2012",Ajax,Spurs,15000000.0,12500000.0,Jupiler Pro League
5,Jan Vertonghen,RSC Anderlecht,€1.80m ,Belgium,"Jan 31, 2007","Jun 30, 2007",RKC Waalwijk,Ajax,700000.0,,Jupiler Pro League
5,Jan Vertonghen,RSC Anderlecht,€1.80m ,Belgium,"Jul 1, 2006","Jan 31, 2007",Ajax,RKC Waalwijk,350000.0,,Jupiler Pro League
5,Jan Vertonghen,RSC Anderlecht,€1.80m ,Belgium,"Jul 1, 2005","Jul 1, 2006",Ajax U21,Ajax,,,Jupiler Pro League
5,Jan Vertonghen,RSC Anderlecht,€1.80m ,Belgium,"Jul 1, 2004","Jul 1, 2005",Ajax U19,Ajax U21,,,Jupiler Pro League
5,Jan Vertonghen,RSC Anderlecht,€1.80m ,Belgium,"Jul 1, 2003","Jul 1, 2004",Ajax U17,Ajax U19,,,Jupiler Pro League
5,Jan Vertonghen,RSC Anderlecht,€1.80m ,Belgium,,"Jul 1, 2003",GBA Youth,Ajax U17,,0.0,Jupiler Pro League
