shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
23,Ederson,Manchester City,€45.00m ,Brazil,"Jul 1, 2017",,Man City,,,,Premier League
23,Ederson,Manchester City,€45.00m ,Brazil,"Jul 1, 2015","Jul 1, 2017",Benfica,Man City,22000000.0,40000000.0,Premier League
23,Ederson,Manchester City,€45.00m ,Brazil,"Jul 1, 2012","Jul 1, 2015",Rio Ave FC,Benfica,1200000.0,500000.0,Premier League
23,Ederson,Manchester City,€45.00m ,Brazil,"Jul 1, 2011","Jul 1, 2012",GD Ribeirão,Rio Ave FC,,0.0,Premier League
23,Ederson,Manchester City,€45.00m ,Brazil,"Jul 1, 2010","Jul 1, 2011",Benfica U19,GD Ribeirão,,0.0,Premier League
23,Ederson,Manchester City,€45.00m ,Brazil,"Jan 1, 2010","Jul 1, 2010",Benfica U17,Benfica U19,,,Premier League
23,Ederson,Manchester City,€45.00m ,Brazil,,"Jan 1, 2010",São Paulo U17,Benfica U17,,,Premier League
4,Marquinhos,Paris Saint-Germain,€70.00m ,Brazil,"Jul 19, 2013",,Paris SG,,,,Ligue 1
4,Marquinhos,Paris Saint-Germain,€70.00m ,Brazil,"Jan 3, 2013","Jul 19, 2013",AS Roma,Paris SG,15000000.0,31400000.0,Ligue 1
4,Marquinhos,Paris Saint-Germain,€70.00m ,Brazil,"Jan 2, 2013","Jan 3, 2013",Corinthians,AS Roma,750000.0,5700000.0,Ligue 1
4,Marquinhos,Paris Saint-Germain,€70.00m ,Brazil,"Aug 21, 2012","Jan 2, 2013",AS Roma,Corinthians,750000.0,,Ligue 1
4,Marquinhos,Paris Saint-Germain,€70.00m ,Brazil,"Jan 1, 2012","Aug 21, 2012",Corinthians,AS Roma,750000.0,,Ligue 1
4,Marquinhos,Paris Saint-Germain,€70.00m ,Brazil,,"Jan 1, 2012",Corinthians B,Corinthians,,,Ligue 1
24,Bremer,Juventus FC,€40.00m ,Brazil,"Jul 20, 2022",,Juventus,,,,Serie A
24,Bremer,Juventus FC,€40.00m ,Brazil,"Jul 10, 2018","Jul 20, 2022",Torino,Juventus,35000000.0,41000000.0,Serie A
24,Bremer,Juventus FC,€40.00m ,Brazil,"Jun 1, 2018","Jul 10, 2018",Atlético-MG,Torino,1000000.0,5800000.0,Serie A
24,Bremer,Juventus FC,€40.00m ,Brazil,"Jan 1, 2017","Jun 1, 2018",Atlético-MG U20,Atlético-MG,1000000.0,,Serie A
24,Bremer,Juventus FC,€40.00m ,Brazil,"Dec 1, 2016","Jan 1, 2017",Desportivo U20,Atlético-MG U20,,86000.0,Serie A
24,Bremer,Juventus FC,€40.00m ,Brazil,"Jan 1, 2016","Dec 1, 2016",FC São Paulo B,Desportivo U20,,,Serie A
24,Bremer,Juventus FC,€40.00m ,Brazil,,"Jan 1, 2016",Desportivo U20,FC São Paulo B,,,Serie A
16,Alex Telles,Sevilla FC,€14.00m ,Brazil,"Jun 30, 2023",,Man Utd,,,,LaLiga
16,Alex Telles,Sevilla FC,€14.00m ,Brazil,"Aug 4, 2022","Jun 30, 2023",Sevilla FC,Man Utd,14000000.0,,LaLiga
16,Alex Telles,Sevilla FC,€14.00m ,Brazil,"Oct 5, 2020","Aug 4, 2022",Man Utd,Sevilla FC,18000000.0,,LaLiga
16,Alex Telles,Sevilla FC,€14.00m ,Brazil,"Jul 12, 2016","Oct 5, 2020",FC Porto,Man Utd,40000000.0,15000000.0,LaLiga
16,Alex Telles,Sevilla FC,€14.00m ,Brazil,"Jun 30, 2016","Jul 12, 2016",Galatasaray,FC Porto,8500000.0,7350000.0,LaLiga
16,Alex Telles,Sevilla FC,€14.00m ,Brazil,"Aug 31, 2015","Jun 30, 2016",Inter,Galatasaray,8500000.0,,LaLiga
16,Alex Telles,Sevilla FC,€14.00m ,Brazil,"Jan 23, 2014","Aug 31, 2015",Galatasaray,Inter,6500000.0,,LaLiga
16,Alex Telles,Sevilla FC,€14.00m ,Brazil,"Jan 1, 2013","Jan 23, 2014",Grêmio,Galatasaray,1500000.0,6150000.0,LaLiga
16,Alex Telles,Sevilla FC,€14.00m ,Brazil,"Jan 1, 2011","Jan 1, 2013",Juventude,Grêmio,,,LaLiga
16,Alex Telles,Sevilla FC,€14.00m ,Brazil,,"Jan 1, 2011",Juventude U20,Juventude,,,LaLiga
2,Danilo,Juventus FC,€12.00m ,Brazil,"Aug 7, 2019",,Juventus,,,,Serie A
2,Danilo,Juventus FC,€12.00m ,Brazil,"Jul 23, 2017","Aug 7, 2019",Man City,Juventus,20000000.0,37000000.0,Serie A
2,Danilo,Juventus FC,€12.00m ,Brazil,"Jul 1, 2015","Jul 23, 2017",Real Madrid,Man City,16000000.0,30000000.0,Serie A
2,Danilo,Juventus FC,€12.00m ,Brazil,"Dec 31, 2011","Jul 1, 2015",FC Porto,Real Madrid,25000000.0,31500000.0,Serie A
2,Danilo,Juventus FC,€12.00m ,Brazil,"Jul 2, 2011","Dec 31, 2011",Santos FC,FC Porto,10000000.0,,Serie A
2,Danilo,Juventus FC,€12.00m ,Brazil,"Jul 1, 2011","Jul 2, 2011",FC Porto,Santos FC,5000000.0,,Serie A
2,Danilo,Juventus FC,€12.00m ,Brazil,"Jul 1, 2010","Jul 1, 2011",Santos FC,FC Porto,5000000.0,13000000.0,Serie A
2,Danilo,Juventus FC,€12.00m ,Brazil,"Jan 1, 2008","Jul 1, 2010",América-MG,Santos FC,600000.0,900000.0,Serie A
2,Danilo,Juventus FC,€12.00m ,Brazil,,"Jan 1, 2008",América-MG U17,América-MG,,,Serie A
