shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
16,Devis Epassy,Abha Club,€700k ,Cameroon,"Aug 6, 2022",,Abha,,,,Saudi Pro League
16,Devis Epassy,Abha Club,€700k ,Cameroon,"Jul 18, 2021","Aug 6, 2022",OFI Crete FC,Abha,600000.0,700000.0,Saudi Pro League
16,Devis Epassy,Abha Club,€700k ,Cameroon,"Jan 29, 2020","Jul 18, 2021",PAS Lamia,OFI Crete FC,300000.0,0.0,Saudi Pro League
16,Devis Epassy,Abha Club,€700k ,Cameroon,"Aug 12, 2017","Jan 29, 2020",APO Levadiakos,PAS Lamia,250000.0,0.0,Saudi Pro League
16,Devis Epassy,Abha Club,€700k ,Cameroon,"Jul 28, 2016","Aug 12, 2017",SAS Epinal,APO Levadiakos,125000.0,0.0,Saudi Pro League
16,Devis Epassy,Abha Club,€700k ,Cameroon,"Sep 1, 2015","Jul 28, 2016",US Avranches,SAS Epinal,,0.0,Saudi Pro League
16,Devis Epassy,Abha Club,€700k ,Cameroon,"Jul 1, 2015","Sep 1, 2015",Without Club,US Avranches,,,Saudi Pro League
16,Devis Epassy,Abha Club,€700k ,Cameroon,"Aug 29, 2014","Jul 1, 2015",CD Guijuelo,Without Club,,,Saudi Pro League
16,Devis Epassy,Abha Club,€700k ,Cameroon,"Oct 5, 2013","Aug 29, 2014",Lorient B,CD Guijuelo,,0.0,Saudi Pro League
16,Devis Epassy,Abha Club,€700k ,Cameroon,"Jul 1, 2013","Oct 5, 2013",Without Club,Lorient B,,,Saudi Pro League
16,Devis Epassy,Abha Club,€700k ,Cameroon,"Jul 1, 2011","Jul 1, 2013",Rennes B,Without Club,,,Saudi Pro League
16,Devis Epassy,Abha Club,€700k ,Cameroon,,"Jul 1, 2011",Rennes U19,Rennes B,,,Saudi Pro League
4,Christopher Wooh,Stade Rennais FC,€6.00m ,Cameroon,"Sep 1, 2022",,Rennes,,,,Ligue 1
4,Christopher Wooh,Stade Rennais FC,€6.00m ,Cameroon,"Jul 1, 2021","Sep 1, 2022",Lens,Rennes,3000000.0,9000000.0,Ligue 1
4,Christopher Wooh,Stade Rennais FC,€6.00m ,Cameroon,"Feb 1, 2021","Jul 1, 2021",AS Nancy,Lens,600000.0,0.0,Ligue 1
4,Christopher Wooh,Stade Rennais FC,€6.00m ,Cameroon,"Jul 1, 2018","Feb 1, 2021",AS Nancy B,AS Nancy,150000.0,,Ligue 1
4,Christopher Wooh,Stade Rennais FC,€6.00m ,Cameroon,,"Jul 1, 2018",AS Nancy U19,AS Nancy B,,,Ligue 1
3,Nicolas N'Koulou,Aris Thessaloniki,€1.80m ,Cameroon,"Aug 23, 2022",,Aris Saloniki,,,,Super League 1
3,Nicolas N'Koulou,Aris Thessaloniki,€1.80m ,Cameroon,"Oct 7, 2021","Aug 23, 2022",Watford,Aris Saloniki,2500000.0,0.0,Super League 1
3,Nicolas N'Koulou,Aris Thessaloniki,€1.80m ,Cameroon,"Jul 1, 2021","Oct 7, 2021",Without Club,Watford,5000000.0,,Super League 1
3,Nicolas N'Koulou,Aris Thessaloniki,€1.80m ,Cameroon,"Jul 1, 2018","Jul 1, 2021",Torino,Without Club,5000000.0,,Super League 1
3,Nicolas N'Koulou,Aris Thessaloniki,€1.80m ,Cameroon,"Jun 30, 2018","Jul 1, 2018",Olympique Lyon,Torino,10000000.0,3500000.0,Super League 1
3,Nicolas N'Koulou,Aris Thessaloniki,€1.80m ,Cameroon,"Aug 5, 2017","Jun 30, 2018",Torino,Olympique Lyon,10000000.0,,Super League 1
3,Nicolas N'Koulou,Aris Thessaloniki,€1.80m ,Cameroon,"Jul 1, 2016","Aug 5, 2017",Olympique Lyon,Torino,7500000.0,,Super League 1
3,Nicolas N'Koulou,Aris Thessaloniki,€1.80m ,Cameroon,"Jul 1, 2011","Jul 1, 2016",Marseille,Olympique Lyon,10000000.0,0.0,Super League 1
3,Nicolas N'Koulou,Aris Thessaloniki,€1.80m ,Cameroon,"Jul 1, 2008","Jul 1, 2011",Monaco,Marseille,5000000.0,3500000.0,Super League 1
3,Nicolas N'Koulou,Aris Thessaloniki,€1.80m ,Cameroon,"Nov 16, 2007","Jul 1, 2008",Monaco B,Monaco,,,Super League 1
3,Nicolas N'Koulou,Aris Thessaloniki,€1.80m ,Cameroon,,"Nov 16, 2007",Kadji Sports,Monaco B,,,Super League 1
25,Nouhou,Seattle Sounders FC,€3.00m ,Cameroon,"Nov 30, 2019",,Seattle,,,,MLS
25,Nouhou,Seattle Sounders FC,€3.00m ,Cameroon,"Apr 1, 2019","Nov 30, 2019",Tacoma Defiance,Seattle,600000.0,,MLS
25,Nouhou,Seattle Sounders FC,€3.00m ,Cameroon,"Nov 30, 2017","Apr 1, 2019",Seattle,Tacoma Defiance,750000.0,,MLS
25,Nouhou,Seattle Sounders FC,€3.00m ,Cameroon,"Mar 31, 2017","Nov 30, 2017",Sounders FC 2,Seattle,100000.0,,MLS
25,Nouhou,Seattle Sounders FC,€3.00m ,Cameroon,"Jan 26, 2017","Mar 31, 2017",Seattle,Sounders FC 2,50000.0,,MLS
25,Nouhou,Seattle Sounders FC,€3.00m ,Cameroon,"Apr 13, 2016","Jan 26, 2017",Sounders FC 2,Seattle,,,MLS
25,Nouhou,Seattle Sounders FC,€3.00m ,Cameroon,,"Apr 13, 2016",Rainbow FC,Sounders FC 2,,,MLS
19,Collins Fai,Al-Tai,€1.00m ,Cameroon,"Jan 29, 2022",,Al-Tai,,,,Saudi Pro League
19,Collins Fai,Al-Tai,€1.00m ,Cameroon,"Jan 16, 2016","Jan 29, 2022",Standard Liège,Al-Tai,900000.0,300000.0,Saudi Pro League
19,Collins Fai,Al-Tai,€1.00m ,Cameroon,"Jul 20, 2013","Jan 16, 2016",FC Dinamo,Standard Liège,1000000.0,150000.0,Saudi Pro League
19,Collins Fai,Al-Tai,€1.00m ,Cameroon,"Jun 30, 2013","Jul 20, 2013",Union Douala,FC Dinamo,50000.0,0.0,Saudi Pro League
19,Collins Fai,Al-Tai,€1.00m ,Cameroon,"Jan 1, 2013","Jun 30, 2013",Njalla Quan SA,Union Douala,,,Saudi Pro League
19,Collins Fai,Al-Tai,€1.00m ,Cameroon,"Jul 1, 2011","Jan 1, 2013",Union Douala,Njalla Quan SA,,,Saudi Pro League
19,Collins Fai,Al-Tai,€1.00m ,Cameroon,,"Jul 1, 2011",FC Bamenda,Union Douala,,0.0,Saudi Pro League
18,Martin Hongla,Hellas Verona,€3.50m ,Cameroon,"Jul 1, 2022",,Hellas Verona,,,,Serie A
18,Martin Hongla,Hellas Verona,€3.50m ,Cameroon,"Jun 30, 2022","Jul 1, 2022",Royal Antwerp,Hellas Verona,4000000.0,3700000.0,Serie A
