shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
18,Milan Borjan,Red Star Belgrade,€1.20m ,Canada,"Jul 24, 2017",,Red Star,,,,Super liga Srbije
18,Milan Borjan,Red Star Belgrade,€1.20m ,Canada,"Jun 30, 2017","Jul 24, 2017",Ludogorets,Red Star,1800000.0,0.0,Super liga Srbije
18,Milan Borjan,Red Star Belgrade,€1.20m ,Canada,"Feb 15, 2017","Jun 30, 2017",Korona Kielce,Ludogorets,1800000.0,,Super liga Srbije
18,Milan Borjan,Red Star Belgrade,€1.20m ,Canada,"Jul 1, 2015","Feb 15, 2017",Ludogorets,Korona Kielce,1800000.0,,Super liga Srbije
18,Milan Borjan,Red Star Belgrade,€1.20m ,Canada,"Feb 13, 2015","Jul 1, 2015",Radnicki Nis,Ludogorets,1250000.0,0.0,Super liga Srbije
18,Milan Borjan,Red Star Belgrade,€1.20m ,Canada,"Sep 12, 2014","Feb 13, 2015",Ludogorets,Radnicki Nis,1600000.0,0.0,Super liga Srbije
18,Milan Borjan,Red Star Belgrade,€1.20m ,Canada,"Feb 3, 2014","Sep 12, 2014",Without Club,Ludogorets,1400000.0,,Super liga Srbije
18,Milan Borjan,Red Star Belgrade,€1.20m ,Canada,"Jun 30, 2012","Feb 3, 2014",Sivasspor,Without Club,1400000.0,,Super liga Srbije
18,Milan Borjan,Red Star Belgrade,€1.20m ,Canada,"Feb 1, 2012","Jun 30, 2012",FC Vaslui,Sivasspor,1500000.0,,Super liga Srbije
18,Milan Borjan,Red Star Belgrade,€1.20m ,Canada,"Jul 1, 2011","Feb 1, 2012",Sivasspor,FC Vaslui,1100000.0,,Super liga Srbije
18,Milan Borjan,Red Star Belgrade,€1.20m ,Canada,"Jan 1, 2009","Jul 1, 2011",Rad,Sivasspor,800000.0,,Super liga Srbije
18,Milan Borjan,Red Star Belgrade,€1.20m ,Canada,,"Jan 1, 2009",Quilmes,Rad,,,Super liga Srbije
4,Kamal Miller,CF Montréal,€4.00m ,Canada,"Dec 15, 2020",,Montréal,,,,MLS
4,Kamal Miller,CF Montréal,€4.00m ,Canada,"Dec 15, 2020","Dec 15, 2020",Austin,Montréal,800000.0,205000.0,MLS
4,Kamal Miller,CF Montréal,€4.00m ,Canada,"Jan 11, 2019","Dec 15, 2020",Orlando,Austin,800000.0,,MLS
4,Kamal Miller,CF Montréal,€4.00m ,Canada,"Aug 1, 2018","Jan 11, 2019",Syracuse,Orlando,,,MLS
4,Kamal Miller,CF Montréal,€4.00m ,Canada,"May 1, 2018","Aug 1, 2018",Reading United,Syracuse,,,MLS
4,Kamal Miller,CF Montréal,€4.00m ,Canada,"Aug 1, 2017","May 1, 2018",Syracuse,Reading United,,,MLS
4,Kamal Miller,CF Montréal,€4.00m ,Canada,"May 1, 2017","Aug 1, 2017",K-W United,Syracuse,,,MLS
4,Kamal Miller,CF Montréal,€4.00m ,Canada,"Aug 1, 2016","May 1, 2017",Syracuse,K-W United,,,MLS
4,Kamal Miller,CF Montréal,€4.00m ,Canada,"May 1, 2016","Aug 1, 2016",K-W United,Syracuse,,,MLS
