shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
18,Esteban Alvarado,CS Herediano,€225k ,Costa Rica,"Jul 1, 2021",,Herediano,,,,Primera División Clausura
18,Esteban Alvarado,CS Herediano,€225k ,Costa Rica,"Jan 1, 2021","Jul 1, 2021",Limón FC,Herediano,225000.0,0.0,Primera División Clausura
18,Esteban Alvarado,CS Herediano,€225k ,Costa Rica,"Jul 1, 2019","Jan 1, 2021",Herediano,Limón FC,325000.0,0.0,Primera División Clausura
18,Esteban Alvarado,CS Herediano,€225k ,Costa Rica,"Jan 1, 2019","Jul 1, 2019",LD Alajuelense,Herediano,400000.0,,Primera División Clausura
18,Esteban Alvarado,CS Herediano,€225k ,Costa Rica,"Aug 6, 2015","Jan 1, 2019",Trabzonspor,LD Alajuelense,400000.0,0.0,Primera División Clausura
18,Esteban Alvarado,CS Herediano,€225k ,Costa Rica,"Jul 1, 2010","Aug 6, 2015",AZ Alkmaar,Trabzonspor,2500000.0,0.0,Primera División Clausura
18,Esteban Alvarado,CS Herediano,€225k ,Costa Rica,"Jan 1, 2009","Jul 1, 2010",Saprissa,AZ Alkmaar,,,Primera División Clausura
18,Esteban Alvarado,CS Herediano,€225k ,Costa Rica,"Dec 31, 2008","Jan 1, 2009",Saprissa II,Saprissa,,,Primera División Clausura
18,Esteban Alvarado,CS Herediano,€225k ,Costa Rica,"Jul 1, 2008","Dec 31, 2008",UCR,Saprissa II,,,Primera División Clausura
18,Esteban Alvarado,CS Herediano,€225k ,Costa Rica,,"Jul 1, 2008",Saprissa II,UCR,,,Primera División Clausura
3,Juan Pablo Vargas,Millonarios FC,€1.70m ,Costa Rica,"Jan 1, 2021",,Millonarios,,,,Liga DIMAYOR II
3,Juan Pablo Vargas,Millonarios FC,€1.70m ,Costa Rica,"Dec 31, 2020","Jan 1, 2021",Herediano,Millonarios,550000.0,,Liga DIMAYOR II
3,Juan Pablo Vargas,Millonarios FC,€1.70m ,Costa Rica,"Jan 3, 2020","Dec 31, 2020",Millonarios,Herediano,550000.0,,Liga DIMAYOR II
3,Juan Pablo Vargas,Millonarios FC,€1.70m ,Costa Rica,"Dec 31, 2019","Jan 3, 2020",Herediano,Millonarios,650000.0,,Liga DIMAYOR II
3,Juan Pablo Vargas,Millonarios FC,€1.70m ,Costa Rica,"Aug 1, 2018","Dec 31, 2019",Deportes Tolima,Herediano,650000.0,,Liga DIMAYOR II
3,Juan Pablo Vargas,Millonarios FC,€1.70m ,Costa Rica,"Jul 1, 2017","Aug 1, 2018",Herediano,Deportes Tolima,275000.0,,Liga DIMAYOR II
3,Juan Pablo Vargas,Millonarios FC,€1.70m ,Costa Rica,"Jun 30, 2017","Jul 1, 2017",Jacó Rays,Herediano,200000.0,,Liga DIMAYOR II
3,Juan Pablo Vargas,Millonarios FC,€1.70m ,Costa Rica,"Jul 2, 2016","Jun 30, 2017",Belén FC,Jacó Rays,200000.0,,Liga DIMAYOR II
3,Juan Pablo Vargas,Millonarios FC,€1.70m ,Costa Rica,"Jul 1, 2016","Jul 2, 2016",Jacó Rays,Belén FC,75000.0,,Liga DIMAYOR II
3,Juan Pablo Vargas,Millonarios FC,€1.70m ,Costa Rica,"Jan 16, 2015","Jul 1, 2016",LD Alajuelense,Jacó Rays,75000.0,0.0,Liga DIMAYOR II
3,Juan Pablo Vargas,Millonarios FC,€1.70m ,Costa Rica,"Jul 1, 2014","Jan 16, 2015",Alajuelense U20,LD Alajuelense,,,Liga DIMAYOR II
3,Juan Pablo Vargas,Millonarios FC,€1.70m ,Costa Rica,"Jul 1, 2013","Jul 1, 2014",LD Alajuelense,Alajuelense U20,,,Liga DIMAYOR II
3,Juan Pablo Vargas,Millonarios FC,€1.70m ,Costa Rica,,"Jul 1, 2013",Alajuelense U20,LD Alajuelense,,,Liga DIMAYOR II
6,Óscar Duarte,Al-Wehda FC,€600k ,Costa Rica,"Jul 1, 2022",,Al-Wehda FC,,,,Saudi Pro League
6,Óscar Duarte,Al-Wehda FC,€600k ,Costa Rica,"Aug 1, 2019","Jul 1, 2022",Levante,Al-Wehda FC,800000.0,0.0,Saudi Pro League
