shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
23,Ivica Ivusic,NK Osijek,€5.00m ,Croatia,"Jul 1, 2018",,NK Osijek,,,,SuperSport HNL
23,Ivica Ivusic,NK Osijek,€5.00m ,Croatia,"Jan 18, 2018","Jul 1, 2018",Olympiacos,NK Osijek,200000.0,0.0,SuperSport HNL
23,Ivica Ivusic,NK Osijek,€5.00m ,Croatia,"Aug 17, 2015","Jan 18, 2018",NK Istra,Olympiacos,200000.0,0.0,SuperSport HNL
23,Ivica Ivusic,NK Osijek,€5.00m ,Croatia,"Jun 30, 2015","Aug 17, 2015",Inter,NK Istra,75000.0,0.0,SuperSport HNL
23,Ivica Ivusic,NK Osijek,€5.00m ,Croatia,"Jul 15, 2014","Jun 30, 2015",Prato,Inter,75000.0,,SuperSport HNL
23,Ivica Ivusic,NK Osijek,€5.00m ,Croatia,"Jul 1, 2013","Jul 15, 2014",Inter U19,Prato,75000.0,,SuperSport HNL
23,Ivica Ivusic,NK Osijek,€5.00m ,Croatia,"Jun 30, 2011","Jul 1, 2013",Inter Youth,Inter U19,,,SuperSport HNL
23,Ivica Ivusic,NK Osijek,€5.00m ,Croatia,"Jan 1, 2011","Jun 30, 2011",Seregno,Inter Youth,,,SuperSport HNL
23,Ivica Ivusic,NK Osijek,€5.00m ,Croatia,"Jul 1, 2009","Jan 1, 2011",Inter Youth,Seregno,,,SuperSport HNL
23,Ivica Ivusic,NK Osijek,€5.00m ,Croatia,,"Jul 1, 2009",HNK Rijeka Jgd,Inter Youth,,30000.0,SuperSport HNL
20,Josko Gvardiol,RB Leipzig,€60.00m ,Croatia,"Jul 1, 2021",,RB Leipzig,,,,Bundesliga
20,Josko Gvardiol,RB Leipzig,€60.00m ,Croatia,"Jul 1, 2019","Jul 1, 2021",Dinamo Zagreb,RB Leipzig,19000000.0,18800000.0,Bundesliga
20,Josko Gvardiol,RB Leipzig,€60.00m ,Croatia,"Jan 26, 2019","Jul 1, 2019",Din. Zagreb U19,Dinamo Zagreb,,,Bundesliga
20,Josko Gvardiol,RB Leipzig,€60.00m ,Croatia,"Jul 1, 2017","Jan 26, 2019",Din. Zagreb U17,Din. Zagreb U19,,,Bundesliga
20,Josko Gvardiol,RB Leipzig,€60.00m ,Croatia,"Sep 3, 2010","Jul 1, 2017",D. Zagreb Yth.,Din. Zagreb U17,,,Bundesliga
20,Josko Gvardiol,RB Leipzig,€60.00m ,Croatia,,"Sep 3, 2010",NK Tresnjevka,D. Zagreb Yth.,,,Bundesliga
5,Martin Erlic,US Sassuolo,€5.50m ,Croatia,"Jun 30, 2022",,Sassuolo,,,,Serie A
5,Martin Erlic,US Sassuolo,€5.50m ,Croatia,"Aug 31, 2021","Jun 30, 2022",Spezia Calcio,Sassuolo,5500000.0,,Serie A
5,Martin Erlic,US Sassuolo,€5.50m ,Croatia,"Aug 31, 2021","Aug 31, 2021",Sassuolo,Spezia Calcio,3000000.0,,Serie A
5,Martin Erlic,US Sassuolo,€5.50m ,Croatia,"Jul 15, 2019","Aug 31, 2021",Spezia Calcio,Sassuolo,3000000.0,3500000.0,Serie A
5,Martin Erlic,US Sassuolo,€5.50m ,Croatia,"Jun 30, 2019","Jul 15, 2019",Sassuolo,Spezia Calcio,150000.0,1000.0,Serie A
5,Martin Erlic,US Sassuolo,€5.50m ,Croatia,"Jul 10, 2018","Jun 30, 2019",Spezia Calcio,Sassuolo,150000.0,,Serie A
5,Martin Erlic,US Sassuolo,€5.50m ,Croatia,"Jun 30, 2018","Jul 10, 2018",Sassuolo,Spezia Calcio,200000.0,,Serie A
5,Martin Erlic,US Sassuolo,€5.50m ,Croatia,"Aug 31, 2017","Jun 30, 2018",Südtirol,Sassuolo,200000.0,,Serie A
5,Martin Erlic,US Sassuolo,€5.50m ,Croatia,"Jul 8, 2015","Aug 31, 2017",Sassuolo U19,Südtirol,100000.0,,Serie A
5,Martin Erlic,US Sassuolo,€5.50m ,Croatia,"Sep 16, 2014","Jul 8, 2015",Parma FC Youth,Sassuolo U19,,0.0,Serie A
5,Martin Erlic,US Sassuolo,€5.50m ,Croatia,"Jul 1, 2013","Sep 16, 2014",HNK Rijeka U17,Parma FC Youth,,,Serie A
5,Martin Erlic,US Sassuolo,€5.50m ,Croatia,"Aug 17, 2012","Jul 1, 2013",HNK Rijeka Jgd,HNK Rijeka U17,,,Serie A
5,Martin Erlic,US Sassuolo,€5.50m ,Croatia,,"Aug 17, 2012",D. Zagreb Yth.,HNK Rijeka Jgd,,,Serie A
21,Domagoj Vida,AEK Athens,€2.00m ,Croatia,"Jul 31, 2022",,AEK Athens,,,,Super League 1
21,Domagoj Vida,AEK Athens,€2.00m ,Croatia,"Jan 4, 2018","Jul 31, 2022",Besiktas,AEK Athens,1900000.0,0.0,Super League 1
21,Domagoj Vida,AEK Athens,€2.00m ,Croatia,"Jan 2, 2013","Jan 4, 2018",Dynamo Kyiv,Besiktas,9000000.0,0.0,Super League 1
21,Domagoj Vida,AEK Athens,€2.00m ,Croatia,"Jul 1, 2011","Jan 2, 2013",Dinamo Zagreb,Dynamo Kyiv,4000000.0,5000000.0,Super League 1
21,Domagoj Vida,AEK Athens,€2.00m ,Croatia,"Jul 1, 2010","Jul 1, 2011",B. Leverkusen,Dinamo Zagreb,1750000.0,1300000.0,Super League 1
21,Domagoj Vida,AEK Athens,€2.00m ,Croatia,"Jul 1, 2006","Jul 1, 2010",NK Osijek,B. Leverkusen,3000000.0,2400000.0,Super League 1
21,Domagoj Vida,AEK Athens,€2.00m ,Croatia,,"Jul 1, 2006",NK Osijek U19,NK Osijek,,,Super League 1
