shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
22,Frederik Rönnow,1.FC Union Berlin,€3.50m ,Denmark,"Jul 20, 2021",,Union Berlin,,,,Bundesliga
22,Frederik Rönnow,1.FC Union Berlin,€3.50m ,Denmark,"Jun 30, 2021","Jul 20, 2021",E. Frankfurt,Union Berlin,2500000.0,1000000.0,Bundesliga
22,Frederik Rönnow,1.FC Union Berlin,€3.50m ,Denmark,"Sep 30, 2020","Jun 30, 2021",FC Schalke 04,E. Frankfurt,2500000.0,,Bundesliga
22,Frederik Rönnow,1.FC Union Berlin,€3.50m ,Denmark,"Jul 1, 2018","Sep 30, 2020",E. Frankfurt,FC Schalke 04,2400000.0,,Bundesliga
22,Frederik Rönnow,1.FC Union Berlin,€3.50m ,Denmark,"Jul 2, 2015","Jul 1, 2018",Bröndby IF,E. Frankfurt,3000000.0,2800000.0,Bundesliga
22,Frederik Rönnow,1.FC Union Berlin,€3.50m ,Denmark,"Jun 30, 2014","Jul 2, 2015",AC Horsens,Bröndby IF,500000.0,350000.0,Bundesliga
22,Frederik Rönnow,1.FC Union Berlin,€3.50m ,Denmark,"Jul 5, 2013","Jun 30, 2014",Esbjerg fB,AC Horsens,750000.0,,Bundesliga
22,Frederik Rönnow,1.FC Union Berlin,€3.50m ,Denmark,"Aug 4, 2010","Jul 5, 2013",AC Horsens,Esbjerg fB,750000.0,,Bundesliga
22,Frederik Rönnow,1.FC Union Berlin,€3.50m ,Denmark,"Jul 1, 2009","Aug 4, 2010",AC Horsens U19,AC Horsens,,,Bundesliga
22,Frederik Rönnow,1.FC Union Berlin,€3.50m ,Denmark,,"Jul 1, 2009",Horsens Youth,AC Horsens U19,,,Bundesliga
2,Joachim Andersen,Crystal Palace,€32.00m ,Denmark,"Jul 28, 2021",,Crystal Palace,,,,Premier League
2,Joachim Andersen,Crystal Palace,€32.00m ,Denmark,"Jun 30, 2021","Jul 28, 2021",Olympique Lyon,Crystal Palace,22000000.0,17500000.0,Premier League
2,Joachim Andersen,Crystal Palace,€32.00m ,Denmark,"Oct 5, 2020","Jun 30, 2021",Fulham,Olympique Lyon,22000000.0,,Premier League
2,Joachim Andersen,Crystal Palace,€32.00m ,Denmark,"Jul 12, 2019","Oct 5, 2020",Olympique Lyon,Fulham,16000000.0,,Premier League
