shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
1,Hernán Galíndez,SD Aucas,€600k ,Ecuador,"Jul 3, 2022",,SD Aucas,,,,Serie A Segunda Etapa
1,Hernán Galíndez,SD Aucas,€600k ,Ecuador,"Jan 4, 2022","Jul 3, 2022",U. de Chile,SD Aucas,600000.0,240000.0,Serie A Segunda Etapa
1,Hernán Galíndez,SD Aucas,€600k ,Ecuador,"Jan 22, 2013","Jan 4, 2022",Uni. Católica,U. de Chile,600000.0,,Serie A Segunda Etapa
1,Hernán Galíndez,SD Aucas,€600k ,Ecuador,"Jan 10, 2013","Jan 22, 2013",Rangers Talca,Uni. Católica,600000.0,,Serie A Segunda Etapa
1,Hernán Galíndez,SD Aucas,€600k ,Ecuador,"Feb 28, 2012","Jan 10, 2013",Uni. Católica,Rangers Talca,600000.0,,Serie A Segunda Etapa
1,Hernán Galíndez,SD Aucas,€600k ,Ecuador,"Jan 1, 2012","Feb 28, 2012",Rangers Talca,Uni. Católica,600000.0,,Serie A Segunda Etapa
1,Hernán Galíndez,SD Aucas,€600k ,Ecuador,"Jun 30, 2011","Jan 1, 2012",Rosario Central,Rangers Talca,600000.0,,Serie A Segunda Etapa
1,Hernán Galíndez,SD Aucas,€600k ,Ecuador,"Jul 1, 2010","Jun 30, 2011",Quilmes,Rosario Central,600000.0,,Serie A Segunda Etapa
1,Hernán Galíndez,SD Aucas,€600k ,Ecuador,"Jul 1, 2008","Jul 1, 2010",Rosario Central,Quilmes,500000.0,,Serie A Segunda Etapa
1,Hernán Galíndez,SD Aucas,€600k ,Ecuador,"Jan 1, 2006","Jul 1, 2008",Ros. Central II,Rosario Central,,,Serie A Segunda Etapa
1,Hernán Galíndez,SD Aucas,€600k ,Ecuador,,"Jan 1, 2006",CA Rosario U20,Ros. Central II,,,Serie A Segunda Etapa
3,Piero Hincapié,Bayer 04 Leverkusen,€22.00m ,Ecuador,"Aug 16, 2021",,B. Leverkusen,,,,Bundesliga
3,Piero Hincapié,Bayer 04 Leverkusen,€22.00m ,Ecuador,"Aug 20, 2020","Aug 16, 2021",CA Talleres,B. Leverkusen,8000000.0,6350000.0,Bundesliga
3,Piero Hincapié,Bayer 04 Leverkusen,€22.00m ,Ecuador,"Jan 1, 2020","Aug 20, 2020",Independiente,CA Talleres,600000.0,1350000.0,Bundesliga
3,Piero Hincapié,Bayer 04 Leverkusen,€22.00m ,Ecuador,"Jan 1, 2019","Jan 1, 2020",Independiente B,Independiente,100000.0,,Bundesliga
3,Piero Hincapié,Bayer 04 Leverkusen,€22.00m ,Ecuador,,"Jan 1, 2019",Independ. U20,Independiente B,,,Bundesliga
6,William Pacho,Royal Antwerp FC,€3.50m ,Ecuador,"Jan 28, 2022",,Royal Antwerp,,,,Jupiler Pro League
6,William Pacho,Royal Antwerp FC,€3.50m ,Ecuador,"Jan 1, 2020","Jan 28, 2022",Independiente,Royal Antwerp,2500000.0,2870000.0,Jupiler Pro League
6,William Pacho,Royal Antwerp FC,€3.50m ,Ecuador,"Jan 1, 2018","Jan 1, 2020",Independiente B,Independiente,,,Jupiler Pro League
6,William Pacho,Royal Antwerp FC,€3.50m ,Ecuador,,"Jan 1, 2018",Independ. U20,Independiente B,,,Jupiler Pro League
4,Robert Arboleda,São Paulo Futebol Clube,€2.00m ,Ecuador,"Jul 5, 2017",,São Paulo,,,,Série A
4,Robert Arboleda,São Paulo Futebol Clube,€2.00m ,Ecuador,"Dec 31, 2014","Jul 5, 2017",Uni. Católica,São Paulo,1400000.0,1800000.0,Série A
4,Robert Arboleda,São Paulo Futebol Clube,€2.00m ,Ecuador,"Jan 21, 2014","Dec 31, 2014",LDU de Loja,Uni. Católica,1000000.0,,Série A
4,Robert Arboleda,São Paulo Futebol Clube,€2.00m ,Ecuador,"Jan 7, 2014","Jan 21, 2014",Uni. Católica,LDU de Loja,600000.0,,Série A
