shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
1,Jordan Pickford,Everton FC,€28.00m ,England,"Jul 1, 2017",,Everton,,,,Premier League
1,Jordan Pickford,Everton FC,€28.00m ,England,"Jan 1, 2016","Jul 1, 2017",Sunderland,Everton,15000000.0,28500000.0,Premier League
1,Jordan Pickford,Everton FC,€28.00m ,England,"Jul 31, 2015","Jan 1, 2016",Preston,Sunderland,500000.0,,Premier League
1,Jordan Pickford,Everton FC,€28.00m ,England,"Mar 9, 2015","Jul 31, 2015",Sunderland,Preston,250000.0,,Premier League
1,Jordan Pickford,Everton FC,€28.00m ,England,"Jul 21, 2014","Mar 9, 2015",Bradford,Sunderland,250000.0,,Premier League
1,Jordan Pickford,Everton FC,€28.00m ,England,"May 31, 2014","Jul 21, 2014",Sunderland,Bradford,250000.0,,Premier League
1,Jordan Pickford,Everton FC,€28.00m ,England,"Feb 8, 2014","May 31, 2014",Carlisle United,Sunderland,250000.0,,Premier League
1,Jordan Pickford,Everton FC,€28.00m ,England,"Nov 22, 2013","Feb 8, 2014",Sunderland,Carlisle United,250000.0,,Premier League
1,Jordan Pickford,Everton FC,€28.00m ,England,"Aug 2, 2013","Nov 22, 2013",Burton Albion,Sunderland,150000.0,,Premier League
1,Jordan Pickford,Everton FC,€28.00m ,England,"Jul 1, 2013","Aug 2, 2013",Sunderland,Burton Albion,150000.0,,Premier League
1,Jordan Pickford,Everton FC,€28.00m ,England,"Mar 26, 2013","Jul 1, 2013",Sunderland U21,Sunderland,,,Premier League
1,Jordan Pickford,Everton FC,€28.00m ,England,"Feb 26, 2013","Mar 26, 2013",Alfreton,Sunderland U21,,,Premier League
1,Jordan Pickford,Everton FC,€28.00m ,England,"Jul 1, 2012","Feb 26, 2013",Sunderland U21,Alfreton,,,Premier League
1,Jordan Pickford,Everton FC,€28.00m ,England,"May 31, 2012","Jul 1, 2012",Sunderland U18,Sunderland U21,,,Premier League
1,Jordan Pickford,Everton FC,€28.00m ,England,"Jan 1, 2012","May 31, 2012",Darlington,Sunderland U18,,,Premier League
1,Jordan Pickford,Everton FC,€28.00m ,England,,"Jan 1, 2012",Sunderland U18,Darlington,,,Premier League
21,Ben White,Arsenal FC,€45.00m ,England,"Jul 30, 2021",,Arsenal,,,,Premier League
21,Ben White,Arsenal FC,€45.00m ,England,"Jul 31, 2020","Jul 30, 2021",Brighton,Arsenal,28000000.0,58500000.0,Premier League
21,Ben White,Arsenal FC,€45.00m ,England,"Jul 1, 2019","Jul 31, 2020",Leeds,Brighton,5500000.0,,Premier League
21,Ben White,Arsenal FC,€45.00m ,England,"May 31, 2019","Jul 1, 2019",Brighton,Leeds,,,Premier League
21,Ben White,Arsenal FC,€45.00m ,England,"Jan 3, 2019","May 31, 2019",Peterborough,Brighton,,,Premier League
21,Ben White,Arsenal FC,€45.00m ,England,"Jul 1, 2018","Jan 3, 2019",Brighton,Peterborough,,,Premier League
21,Ben White,Arsenal FC,€45.00m ,England,"May 31, 2018","Jul 1, 2018",Brighton U23,Brighton,,,Premier League
21,Ben White,Arsenal FC,€45.00m ,England,"Aug 1, 2017","May 31, 2018",Newport County,Brighton U23,,,Premier League
21,Ben White,Arsenal FC,€45.00m ,England,"Jan 1, 2015","Aug 1, 2017",Brighton U23,Newport County,,,Premier League
21,Ben White,Arsenal FC,€45.00m ,England,"Jul 1, 2014","Jan 1, 2015",Brighton U18,Brighton U21,,,Premier League
21,Ben White,Arsenal FC,€45.00m ,England,,"Jul 1, 2014",Southampton Aca,Brighton U18,,0.0,Premier League
6,Harry Maguire,Manchester United,€30.00m ,England,"Aug 5, 2019",,Man Utd,,,,Premier League
6,Harry Maguire,Manchester United,€30.00m ,England,"Jul 1, 2017","Aug 5, 2019",Leicester,Man Utd,50000000.0,87000000.0,Premier League
6,Harry Maguire,Manchester United,€30.00m ,England,"May 31, 2015","Jul 1, 2017",Hull City,Leicester,8000000.0,13700000.0,Premier League
6,Harry Maguire,Manchester United,€30.00m ,England,"Feb 10, 2015","May 31, 2015",Wigan,Hull City,2000000.0,,Premier League
6,Harry Maguire,Manchester United,€30.00m ,England,"Jul 29, 2014","Feb 10, 2015",Hull City,Wigan,3000000.0,,Premier League
6,Harry Maguire,Manchester United,€30.00m ,England,"Jul 1, 2011","Jul 29, 2014",Sheff Utd,Hull City,750000.0,3150000.0,Premier League
6,Harry Maguire,Manchester United,€30.00m ,England,"Jul 1, 2009","Jul 1, 2011",Sheff Utd U18,Sheff Utd,,,Premier League
6,Harry Maguire,Manchester United,€30.00m ,England,,"Jul 1, 2009",Barnsley U18,Sheff Utd U18,,,Premier League
16,Conor Coady,Everton FC,€18.00m ,England,"Jun 30, 2023",,Wolves,,,,Premier League
16,Conor Coady,Everton FC,€18.00m ,England,"Aug 8, 2022","Jun 30, 2023",Everton,Wolves,18000000.0,,Premier League
16,Conor Coady,Everton FC,€18.00m ,England,"Jul 3, 2015","Aug 8, 2022",Wolves,Everton,25000000.0,,Premier League
16,Conor Coady,Everton FC,€18.00m ,England,"Aug 6, 2014","Jul 3, 2015",Huddersfield,Wolves,750000.0,2800000.0,Premier League
16,Conor Coady,Everton FC,€18.00m ,England,"May 31, 2014","Aug 6, 2014",Liverpool U21,Huddersfield,300000.0,470000.0,Premier League
16,Conor Coady,Everton FC,€18.00m ,England,"Jul 22, 2013","May 31, 2014",Sheff Utd,Liverpool U21,300000.0,,Premier League
16,Conor Coady,Everton FC,€18.00m ,England,"Jul 1, 2011","Jul 22, 2013",Liverpool U21,Sheff Utd,,,Premier League
16,Conor Coady,Everton FC,€18.00m ,England,,"Jul 1, 2011",Liverpool U18,Liverpool Res.,,,Premier League
18,Trent Alexander-Arnold,Liverpool FC,€70.00m ,England,"Jul 1, 2016",,Liverpool,,,,Premier League
18,Trent Alexander-Arnold,Liverpool FC,€70.00m ,England,"Jul 1, 2015","Jul 1, 2016",Liverpool U18,Liverpool,,,Premier League
18,Trent Alexander-Arnold,Liverpool FC,€70.00m ,England,,"Jul 1, 2015",Liverpool Youth,Liverpool U18,,,Premier League
12,Kieran Trippier,Newcastle United,€13.00m ,England,"Jan 7, 2022",,Newcastle,,,,Premier League
12,Kieran Trippier,Newcastle United,€13.00m ,England,"Jul 17, 2019","Jan 7, 2022",Atlético Madrid,Newcastle,18000000.0,14000000.0,Premier League
12,Kieran Trippier,Newcastle United,€13.00m ,England,"Jul 1, 2015","Jul 17, 2019",Spurs,Atlético Madrid,35000000.0,22000000.0,Premier League
12,Kieran Trippier,Newcastle United,€13.00m ,England,"Jan 4, 2012","Jul 1, 2015",Burnley,Spurs,6000000.0,4900000.0,Premier League
12,Kieran Trippier,Newcastle United,€13.00m ,England,"Jan 3, 2012","Jan 4, 2012",Man City Res.,Burnley,250000.0,,Premier League
12,Kieran Trippier,Newcastle United,€13.00m ,England,"Jul 26, 2011","Jan 3, 2012",Burnley,Man City Res.,250000.0,,Premier League
12,Kieran Trippier,Newcastle United,€13.00m ,England,"May 31, 2011","Jul 26, 2011",Man City Res.,Burnley,250000.0,,Premier League
12,Kieran Trippier,Newcastle United,€13.00m ,England,"Aug 7, 2010","May 31, 2011",Barnsley FC,Man City Res.,250000.0,,Premier League
12,Kieran Trippier,Newcastle United,€13.00m ,England,"Mar 7, 2010","Aug 7, 2010",Man City Res.,Barnsley FC,50000.0,,Premier League
12,Kieran Trippier,Newcastle United,€13.00m ,England,"Feb 9, 2010","Mar 7, 2010",Barnsley FC,Man City Res.,,,Premier League
12,Kieran Trippier,Newcastle United,€13.00m ,England,"Jul 1, 2009","Feb 9, 2010",Man City Res.,Barnsley FC,,,Premier League
12,Kieran Trippier,Newcastle United,€13.00m ,England,,"Jul 1, 2009",Man City U18,Man City Res.,,,Premier League
14,Kalvin Phillips,Manchester City,€45.00m ,England,"Jul 4, 2022",,Man City,,,,Premier League
14,Kalvin Phillips,Manchester City,€45.00m ,England,"Jul 1, 2015","Jul 4, 2022",Leeds,Man City,50000000.0,49000000.0,Premier League
14,Kalvin Phillips,Manchester City,€45.00m ,England,"Jul 1, 2014","Jul 1, 2015",Leeds U21,Leeds,,,Premier League
14,Kalvin Phillips,Manchester City,€45.00m ,England,,"Jul 1, 2014",Leeds U18,Leeds U21,,,Premier League
22,Jude Bellingham,Borussia Dortmund,€100.00m ,England,"Jul 23, 2020",,Bor. Dortmund,,,,Bundesliga
22,Jude Bellingham,Borussia Dortmund,€100.00m ,England,"Jul 1, 2019","Jul 23, 2020",Birmingham,Bor. Dortmund,11000000.0,25000000.0,Bundesliga
22,Jude Bellingham,Borussia Dortmund,€100.00m ,England,,"Jul 1, 2019",Birmingham U18,Birmingham,,,Bundesliga
8,Jordan Henderson,Liverpool FC,€15.00m ,England,"Jul 1, 2011",,Liverpool,,,,Premier League
8,Jordan Henderson,Liverpool FC,€15.00m ,England,"Apr 6, 2009","Jul 1, 2011",Sunderland,Liverpool,8500000.0,18000000.0,Premier League
8,Jordan Henderson,Liverpool FC,€15.00m ,England,"Jan 29, 2009","Apr 6, 2009",Coventry,Sunderland,50000.0,,Premier League
8,Jordan Henderson,Liverpool FC,€15.00m ,England,"Jul 1, 2008","Jan 29, 2009",Sunderland,Coventry,50000.0,,Premier League
8,Jordan Henderson,Liverpool FC,€15.00m ,England,"Jul 1, 2006","Jul 1, 2008",Sunderland U18,Sunderland,,,Premier League
8,Jordan Henderson,Liverpool FC,€15.00m ,England,,"Jul 1, 2006",Sunderland Yth.,Sunderland U18,,,Premier League
19,Mason Mount,Chelsea FC,€75.00m ,England,"Jul 1, 2019",,Chelsea,,,,Premier League
19,Mason Mount,Chelsea FC,€75.00m ,England,"May 31, 2019","Jul 1, 2019",Chelsea U23,Chelsea,12000000.0,,Premier League
19,Mason Mount,Chelsea FC,€75.00m ,England,"Jul 17, 2018","May 31, 2019",Derby,Chelsea U23,10000000.0,,Premier League
