shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
1,Hugo Lloris,Tottenham Hotspur,€7.00m ,France,"Aug 31, 2012",,Spurs,,,,Premier League
1,Hugo Lloris,Tottenham Hotspur,€7.00m ,France,"Jul 1, 2008","Aug 31, 2012",Olympique Lyon,Spurs,19000000.0,12600000.0,Premier League
1,Hugo Lloris,Tottenham Hotspur,€7.00m ,France,"Jul 1, 2005","Jul 1, 2008",OGC Nice,Olympique Lyon,8500000.0,8500000.0,Premier League
1,Hugo Lloris,Tottenham Hotspur,€7.00m ,France,"Jul 1, 2004","Jul 1, 2005",OGC Nice B,OGC Nice,250000.0,,Premier League
1,Hugo Lloris,Tottenham Hotspur,€7.00m ,France,,"Jul 1, 2004",Nizza U19,OGC Nice B,,,Premier League
5,Jules Koundé,FC Barcelona,€60.00m ,France,"Jul 28, 2022",,Barcelona,,,,LaLiga
5,Jules Koundé,FC Barcelona,€60.00m ,France,"Jul 3, 2019","Jul 28, 2022",Sevilla FC,Barcelona,60000000.0,50000000.0,LaLiga
5,Jules Koundé,FC Barcelona,€60.00m ,France,"Oct 10, 2017","Jul 3, 2019",G. Bordeaux,Sevilla FC,15000000.0,35000000.0,LaLiga
5,Jules Koundé,FC Barcelona,€60.00m ,France,"Jul 1, 2016","Oct 10, 2017",G. Bordeaux B,G. Bordeaux,,,LaLiga
5,Jules Koundé,FC Barcelona,€60.00m ,France,,"Jul 1, 2016",Bordeaux U19,G. Bordeaux B,,,LaLiga
18,Dayot Upamecano,Bayern Munich,€50.00m ,France,"Jul 5, 2021",,Bayern Munich,,,,Bundesliga
18,Dayot Upamecano,Bayern Munich,€50.00m ,France,"Jan 13, 2017","Jul 5, 2021",RB Leipzig,Bayern Munich,60000000.0,42500000.0,Bundesliga
18,Dayot Upamecano,Bayern Munich,€50.00m ,France,"Jul 11, 2015","Jan 13, 2017",RB Salzburg,RB Leipzig,5000000.0,18500000.0,Bundesliga
18,Dayot Upamecano,Bayern Munich,€50.00m ,France,"Jul 1, 2013","Jul 11, 2015",VAFC U19,RB Salzburg,,2200000.0,Bundesliga
18,Dayot Upamecano,Bayern Munich,€50.00m ,France,,"Jul 1, 2013",Évreux Jugend,VAFC U19,,0.0,Bundesliga
4,Raphaël Varane,Manchester United,€40.00m ,France,"Aug 14, 2021",,Man Utd,,,,Premier League
4,Raphaël Varane,Manchester United,€40.00m ,France,"Jul 1, 2011","Aug 14, 2021",Real Madrid,Man Utd,70000000.0,40000000.0,Premier League
4,Raphaël Varane,Manchester United,€40.00m ,France,"Nov 1, 2010","Jul 1, 2011",Lens,Real Madrid,4000000.0,11000000.0,Premier League
4,Raphaël Varane,Manchester United,€40.00m ,France,,"Nov 1, 2010",RC Lens U19,Lens,,,Premier League
3,Axel Disasi,AS Monaco,€25.00m ,France,"Aug 7, 2020",,Monaco,,,,Ligue 1
3,Axel Disasi,AS Monaco,€25.00m ,France,"Jul 1, 2017","Aug 7, 2020",Stade Reims,Monaco,13500000.0,13000000.0,Ligue 1
3,Axel Disasi,AS Monaco,€25.00m ,France,"Jul 2, 2016","Jul 1, 2017",Stade Reims B,Stade Reims,100000.0,,Ligue 1
3,Axel Disasi,AS Monaco,€25.00m ,France,"Jul 1, 2015","Jul 2, 2016",Paris FC B,Stade Reims B,100000.0,0.0,Ligue 1
3,Axel Disasi,AS Monaco,€25.00m ,France,,"Jul 1, 2015",Paris FC U19,Paris FC B,,,Ligue 1
2,Benjamin Pavard,Bayern Munich,€35.00m ,France,"Jul 1, 2019",,Bayern Munich,,,,Bundesliga
2,Benjamin Pavard,Bayern Munich,€35.00m ,France,"Aug 30, 2016","Jul 1, 2019",VfB Stuttgart,Bayern Munich,30000000.0,35000000.0,Bundesliga
2,Benjamin Pavard,Bayern Munich,€35.00m ,France,"Jul 1, 2015","Aug 30, 2016",LOSC Lille,VfB Stuttgart,800000.0,5000000.0,Bundesliga
2,Benjamin Pavard,Bayern Munich,€35.00m ,France,"Jul 1, 2014","Jul 1, 2015",LOSC Lille B,LOSC Lille,,,Bundesliga
2,Benjamin Pavard,Bayern Munich,€35.00m ,France,,"Jul 1, 2014",LOSC Lille U19,LOSC Lille B,,,Bundesliga
