shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
1,Manuel Neuer,Bayern Munich,€12.00m ,Germany,"Jul 1, 2011",,Bayern Munich,,,,Bundesliga
1,Manuel Neuer,Bayern Munich,€12.00m ,Germany,"Jul 1, 2005","Jul 1, 2011",FC Schalke 04,Bayern Munich,28000000.0,30000000.0,Bundesliga
1,Manuel Neuer,Bayern Munich,€12.00m ,Germany,"Jul 1, 2003","Jul 1, 2005",Schalke 04 U19,FC Schalke 04,75000.0,,Bundesliga
1,Manuel Neuer,Bayern Munich,€12.00m ,Germany,"Jul 1, 2001","Jul 1, 2003",Schalke 04 U17,Schalke 04 U19,,,Bundesliga
1,Manuel Neuer,Bayern Munich,€12.00m ,Germany,,"Jul 1, 2001",Schalke 04 Yth.,Schalke 04 U17,,,Bundesliga
2,Antonio Rüdiger,Real Madrid,€40.00m ,Germany,"Jul 1, 2022",,Real Madrid,,,,LaLiga
2,Antonio Rüdiger,Real Madrid,€40.00m ,Germany,"Jul 9, 2017","Jul 1, 2022",Chelsea,Real Madrid,40000000.0,0.0,LaLiga
2,Antonio Rüdiger,Real Madrid,€40.00m ,Germany,"Jul 1, 2016","Jul 9, 2017",AS Roma,Chelsea,25000000.0,35000000.0,LaLiga
2,Antonio Rüdiger,Real Madrid,€40.00m ,Germany,"Jun 30, 2016","Jul 1, 2016",VfB Stuttgart,AS Roma,12000000.0,9000000.0,LaLiga
2,Antonio Rüdiger,Real Madrid,€40.00m ,Germany,"Aug 19, 2015","Jun 30, 2016",AS Roma,VfB Stuttgart,12000000.0,,LaLiga
2,Antonio Rüdiger,Real Madrid,€40.00m ,Germany,"Jul 1, 2012","Aug 19, 2015",VfB Stuttgart,AS Roma,10000000.0,,LaLiga
2,Antonio Rüdiger,Real Madrid,€40.00m ,Germany,"Jul 1, 2011","Jul 1, 2012",Stuttgart II,VfB Stuttgart,500000.0,,LaLiga
2,Antonio Rüdiger,Real Madrid,€40.00m ,Germany,"Feb 1, 2011","Jul 1, 2011",Stuttgart U19,Stuttgart II,,,LaLiga
2,Antonio Rüdiger,Real Madrid,€40.00m ,Germany,"Jul 1, 2010","Feb 1, 2011",B. Dortmund U19,Stuttgart U19,,0.0,LaLiga
2,Antonio Rüdiger,Real Madrid,€40.00m ,Germany,"Jul 1, 2008","Jul 1, 2010",B. Dortmund U17,B. Dortmund U19,,,LaLiga
2,Antonio Rüdiger,Real Madrid,€40.00m ,Germany,"Jul 1, 2006","Jul 1, 2008",Zehlendorf Yth.,B. Dortmund U17,,0.0,LaLiga
2,Antonio Rüdiger,Real Madrid,€40.00m ,Germany,"Jul 1, 2005","Jul 1, 2006",Neuk. SF Yth.,Zehlendorf Yth.,,0.0,LaLiga
2,Antonio Rüdiger,Real Madrid,€40.00m ,Germany,"Jul 1, 2002","Jul 1, 2005",Tasmania Yth.,Neuk. SF Yth.,,0.0,LaLiga
2,Antonio Rüdiger,Real Madrid,€40.00m ,Germany,,"Jul 1, 2002",Sperber Yth.,Tasmania Yth.,,0.0,LaLiga
23,Nico Schlotterbeck,Borussia Dortmund,€33.00m ,Germany,"Jul 1, 2022",,Bor. Dortmund,,,,Bundesliga
23,Nico Schlotterbeck,Borussia Dortmund,€33.00m ,Germany,"Jun 30, 2021","Jul 1, 2022",SC Freiburg,Bor. Dortmund,33000000.0,20000000.0,Bundesliga
23,Nico Schlotterbeck,Borussia Dortmund,€33.00m ,Germany,"Jul 31, 2020","Jun 30, 2021",Union Berlin,SC Freiburg,7500000.0,,Bundesliga
23,Nico Schlotterbeck,Borussia Dortmund,€33.00m ,Germany,"Jul 1, 2019","Jul 31, 2020",SC Freiburg,Union Berlin,4000000.0,,Bundesliga
23,Nico Schlotterbeck,Borussia Dortmund,€33.00m ,Germany,"Jul 1, 2018","Jul 1, 2019",SC Freiburg II,SC Freiburg,300000.0,,Bundesliga
23,Nico Schlotterbeck,Borussia Dortmund,€33.00m ,Germany,"Jul 1, 2017","Jul 1, 2018",SC Freiburg U19,SC Freiburg II,,,Bundesliga
23,Nico Schlotterbeck,Borussia Dortmund,€33.00m ,Germany,"Jul 1, 2016","Jul 1, 2017",Karlsruhe U19,SC Freiburg U19,,90000.0,Bundesliga
23,Nico Schlotterbeck,Borussia Dortmund,€33.00m ,Germany,"Jul 1, 2015","Jul 1, 2016",Karlsruhe U17,Karlsruhe U19,,,Bundesliga
23,Nico Schlotterbeck,Borussia Dortmund,€33.00m ,Germany,"Jul 1, 2014","Jul 1, 2015",VfR Aalen U17,Karlsruhe U17,,0.0,Bundesliga
23,Nico Schlotterbeck,Borussia Dortmund,€33.00m ,Germany,"Jul 1, 2007","Jul 1, 2014",S. Kickers Yth.,VfR Aalen U17,,0.0,Bundesliga
23,Nico Schlotterbeck,Borussia Dortmund,€33.00m ,Germany,,"Jul 1, 2007",Weinstadt Yth.,S. Kickers Yth.,,0.0,Bundesliga
4,Matthias Ginter,SC Freiburg,€20.00m ,Germany,"Jul 1, 2022",,SC Freiburg,,,,Bundesliga
4,Matthias Ginter,SC Freiburg,€20.00m ,Germany,"Jul 4, 2017","Jul 1, 2022",Bor. M'gladbach,SC Freiburg,18000000.0,0.0,Bundesliga
4,Matthias Ginter,SC Freiburg,€20.00m ,Germany,"Jul 17, 2014","Jul 4, 2017",Bor. Dortmund,Bor. M'gladbach,15000000.0,17000000.0,Bundesliga
4,Matthias Ginter,SC Freiburg,€20.00m ,Germany,"Jan 23, 2012","Jul 17, 2014",SC Freiburg,Bor. Dortmund,12000000.0,10000000.0,Bundesliga
4,Matthias Ginter,SC Freiburg,€20.00m ,Germany,"Jul 1, 2010","Jan 23, 2012",SC Freiburg U19,SC Freiburg,200000.0,,Bundesliga
4,Matthias Ginter,SC Freiburg,€20.00m ,Germany,"Jul 1, 2009","Jul 1, 2010",SC Freiburg U17,SC Freiburg U19,,,Bundesliga
4,Matthias Ginter,SC Freiburg,€20.00m ,Germany,"Jul 1, 2005","Jul 1, 2009",Freiburg Yth.,SC Freiburg U17,,,Bundesliga
4,Matthias Ginter,SC Freiburg,€20.00m ,Germany,,"Jul 1, 2005",SC March Yth.,Freiburg Yth.,,0.0,Bundesliga
3,David Raum,RB Leipzig,€26.00m ,Germany,"Jul 31, 2022",,RB Leipzig,,,,Bundesliga
3,David Raum,RB Leipzig,€26.00m ,Germany,"Jul 1, 2021","Jul 31, 2022",TSG Hoffenheim,RB Leipzig,20000000.0,26000000.0,Bundesliga
3,David Raum,RB Leipzig,€26.00m ,Germany,"Feb 1, 2017","Jul 1, 2021",Greuther Fürth,TSG Hoffenheim,5000000.0,0.0,Bundesliga
3,David Raum,RB Leipzig,€26.00m ,Germany,"Jul 1, 2015","Feb 1, 2017",Gr. Fürth U19,Greuther Fürth,125000.0,,Bundesliga
3,David Raum,RB Leipzig,€26.00m ,Germany,"Jul 1, 2014","Jul 1, 2015",Gr. Fürth U17,Gr. Fürth U19,,,Bundesliga
3,David Raum,RB Leipzig,€26.00m ,Germany,,"Jul 1, 2014",Gr. Fürth Yth.,Gr. Fürth U17,,,Bundesliga
16,Lukas Klostermann,RB Leipzig,€14.00m ,Germany,"Aug 22, 2014",,RB Leipzig,,,,Bundesliga
16,Lukas Klostermann,RB Leipzig,€14.00m ,Germany,"Mar 8, 2014","Aug 22, 2014",VfL Bochum,RB Leipzig,350000.0,1000000.0,Bundesliga
16,Lukas Klostermann,RB Leipzig,€14.00m ,Germany,"Jul 1, 2013","Mar 8, 2014",VfL Bochum U19,VfL Bochum,,,Bundesliga
16,Lukas Klostermann,RB Leipzig,€14.00m ,Germany,"Jul 1, 2012","Jul 1, 2013",VfL Bochum U17,VfL Bochum U19,,,Bundesliga
16,Lukas Klostermann,RB Leipzig,€14.00m ,Germany,"Jul 1, 2010","Jul 1, 2012",VfL Bochum Yth.,VfL Bochum U17,,,Bundesliga
16,Lukas Klostermann,RB Leipzig,€14.00m ,Germany,"Jul 1, 2008","Jul 1, 2010",SSV Hagen Yth.,VfL Bochum Yth.,,0.0,Bundesliga
16,Lukas Klostermann,RB Leipzig,€14.00m ,Germany,,"Jul 1, 2008",Gevelsberg Yth.,SSV Hagen Yth.,,0.0,Bundesliga
8,Leon Goretzka,Bayern Munich,€65.00m ,Germany,"Jul 1, 2018",,Bayern Munich,,,,Bundesliga
8,Leon Goretzka,Bayern Munich,€65.00m ,Germany,"Jul 2, 2013","Jul 1, 2018",FC Schalke 04,Bayern Munich,40000000.0,0.0,Bundesliga
8,Leon Goretzka,Bayern Munich,€65.00m ,Germany,"Jul 1, 2012","Jul 2, 2013",VfL Bochum,FC Schalke 04,4500000.0,3250000.0,Bundesliga
8,Leon Goretzka,Bayern Munich,€65.00m ,Germany,"Oct 1, 2011","Jul 1, 2012",VfL Bochum U19,VfL Bochum,,,Bundesliga
8,Leon Goretzka,Bayern Munich,€65.00m ,Germany,"Jul 1, 2010","Oct 1, 2011",VfL Bochum U17,VfL Bochum U19,,,Bundesliga
8,Leon Goretzka,Bayern Munich,€65.00m ,Germany,"Jul 1, 2001","Jul 1, 2010",VfL Bochum Yth.,VfL Bochum U17,,,Bundesliga
8,Leon Goretzka,Bayern Munich,€65.00m ,Germany,,"Jul 1, 2001",WSV Bochum Yth.,VfL Bochum Yth.,,0.0,Bundesliga
14,Jamal Musiala,Bayern Munich,€100.00m ,Germany,"Jul 1, 2020",,Bayern Munich,,,,Bundesliga
14,Jamal Musiala,Bayern Munich,€100.00m ,Germany,"Jan 1, 2020","Jul 1, 2020",FC Bayern U19,Bayern Munich,1000000.0,,Bundesliga
14,Jamal Musiala,Bayern Munich,€100.00m ,Germany,"Jul 4, 2019","Jan 1, 2020",FC Bayern U17,FC Bayern U19,,,Bundesliga
14,Jamal Musiala,Bayern Munich,€100.00m ,Germany,"Apr 12, 2011","Jul 4, 2019",Chelsea Youth,FC Bayern U17,,200000.0,Bundesliga
14,Jamal Musiala,Bayern Munich,€100.00m ,Germany,"Nov 1, 2010","Apr 12, 2011",Southampton Aca,Chelsea Youth,,0.0,Bundesliga
14,Jamal Musiala,Bayern Munich,€100.00m ,Germany,,"Nov 1, 2010",TSV Lehnerz Jgd.,Southampton Aca,,0.0,Bundesliga
