shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
16,Abdul Nurudeen,KAS Eupen,€400k ,Ghana,"Jul 1, 2017",,KAS Eupen,,,,Jupiler Pro League
16,Abdul Nurudeen,KAS Eupen,€400k ,Ghana,,"Jul 1, 2017",ASPIRE FD,KAS Eupen,,0.0,Jupiler Pro League
4,Mohammed Salisu,Southampton FC,€18.00m ,Ghana,"Aug 12, 2020",,Southampton,,,,Premier League
4,Mohammed Salisu,Southampton FC,€18.00m ,Ghana,"Jul 1, 2019","Aug 12, 2020",Real Valladolid,Southampton,12000000.0,12000000.0,Premier League
4,Mohammed Salisu,Southampton FC,€18.00m ,Ghana,"Jan 1, 2018","Jul 1, 2019",Valladolid Prom,Real Valladolid,250000.0,,Premier League
4,Mohammed Salisu,Southampton FC,€18.00m ,Ghana,"Oct 1, 2017","Jan 1, 2018",Valladolid U19,R. Valladolid B,,,Premier League
4,Mohammed Salisu,Southampton FC,€18.00m ,Ghana,,"Oct 1, 2017",African Talent,Valladolid U19,,0.0,Premier League
23,Alexander Djiku,RC Strasbourg Alsace,€8.00m ,Ghana,"Jul 5, 2019",,R. Strasbourg,,,,Ligue 1
23,Alexander Djiku,RC Strasbourg Alsace,€8.00m ,Ghana,"Jul 11, 2017","Jul 5, 2019",SM Caen,R. Strasbourg,8000000.0,4500000.0,Ligue 1
23,Alexander Djiku,RC Strasbourg Alsace,€8.00m ,Ghana,"Jul 1, 2015","Jul 11, 2017",SC Bastia,SM Caen,1250000.0,2000000.0,Ligue 1
23,Alexander Djiku,RC Strasbourg Alsace,€8.00m ,Ghana,"Jul 1, 2012","Jul 1, 2015",SC Bastia B,SC Bastia,100000.0,,Ligue 1
23,Alexander Djiku,RC Strasbourg Alsace,€8.00m ,Ghana,,"Jul 1, 2012",SC Bastia U19,SC Bastia B,,,Ligue 1
26,Alidu Seidu,Clermont Foot 63,€4.50m ,Ghana,"Aug 1, 2020",,Clermont Foot,,,,Ligue 1
26,Alidu Seidu,Clermont Foot 63,€4.50m ,Ghana,,"Aug 1, 2020",JMG Abidjan,Clermont Foot,,,Ligue 1
17,Abdul-Rahman Baba,Reading FC,€1.80m ,Ghana,"May 31, 2023",,Chelsea,,,,Championship
17,Abdul-Rahman Baba,Reading FC,€1.80m ,Ghana,"Aug 31, 2022","May 31, 2023",Reading,Chelsea,1800000.0,,Championship
17,Abdul-Rahman Baba,Reading FC,€1.80m ,Ghana,"May 31, 2022","Aug 31, 2022",Chelsea,Reading,2200000.0,,Championship
17,Abdul-Rahman Baba,Reading FC,€1.80m ,Ghana,"Aug 27, 2021","May 31, 2022",Reading,Chelsea,2200000.0,,Championship
17,Abdul-Rahman Baba,Reading FC,€1.80m ,Ghana,"Jun 30, 2021","Aug 27, 2021",Chelsea,Reading,2500000.0,,Championship
17,Abdul-Rahman Baba,Reading FC,€1.80m ,Ghana,"Jan 30, 2021","Jun 30, 2021",PAOK Salonika,Chelsea,2500000.0,,Championship
17,Abdul-Rahman Baba,Reading FC,€1.80m ,Ghana,"Jun 30, 2020","Jan 30, 2021",Chelsea,PAOK Salonika,2400000.0,,Championship
17,Abdul-Rahman Baba,Reading FC,€1.80m ,Ghana,"Sep 2, 2019","Jun 30, 2020",RCD Mallorca,Chelsea,2400000.0,,Championship
17,Abdul-Rahman Baba,Reading FC,€1.80m ,Ghana,"Jun 30, 2019","Sep 2, 2019",Chelsea,RCD Mallorca,5000000.0,,Championship
17,Abdul-Rahman Baba,Reading FC,€1.80m ,Ghana,"Jan 29, 2019","Jun 30, 2019",Stade Reims,Chelsea,5000000.0,,Championship
17,Abdul-Rahman Baba,Reading FC,€1.80m ,Ghana,"Jan 28, 2019","Jan 29, 2019",Chelsea,Stade Reims,5000000.0,,Championship
17,Abdul-Rahman Baba,Reading FC,€1.80m ,Ghana,"Jan 29, 2018","Jan 28, 2019",FC Schalke 04,Chelsea,5000000.0,,Championship
17,Abdul-Rahman Baba,Reading FC,€1.80m ,Ghana,"Jun 30, 2017","Jan 29, 2018",Chelsea,FC Schalke 04,8000000.0,,Championship
17,Abdul-Rahman Baba,Reading FC,€1.80m ,Ghana,"Aug 2, 2016","Jun 30, 2017",FC Schalke 04,Chelsea,8000000.0,,Championship
17,Abdul-Rahman Baba,Reading FC,€1.80m ,Ghana,"Aug 16, 2015","Aug 2, 2016",Chelsea,FC Schalke 04,12000000.0,,Championship
17,Abdul-Rahman Baba,Reading FC,€1.80m ,Ghana,"Aug 12, 2014","Aug 16, 2015",FC Augsburg,Chelsea,10000000.0,26000000.0,Championship
17,Abdul-Rahman Baba,Reading FC,€1.80m ,Ghana,"Jul 1, 2012","Aug 12, 2014",Greuther Fürth,FC Augsburg,1500000.0,9000000.0,Championship
17,Abdul-Rahman Baba,Reading FC,€1.80m ,Ghana,"Jun 30, 2012","Jul 1, 2012",Dreams FC,Greuther Fürth,150000.0,0.0,Championship
17,Abdul-Rahman Baba,Reading FC,€1.80m ,Ghana,"Jul 1, 2011","Jun 30, 2012",Asante Kotoko,Dreams FC,150000.0,,Championship
17,Abdul-Rahman Baba,Reading FC,€1.80m ,Ghana,,"Jul 1, 2011",Dreams FC,Asante Kotoko,,,Championship
3,Denis Odoi,Club Brugge KV,€600k ,Ghana,"Jan 31, 2022",,Club Brugge,,,,Jupiler Pro League
3,Denis Odoi,Club Brugge KV,€600k ,Ghana,"Jul 14, 2016","Jan 31, 2022",Fulham,Club Brugge,500000.0,700000.0,Jupiler Pro League
3,Denis Odoi,Club Brugge KV,€600k ,Ghana,"Jul 1, 2013","Jul 14, 2016",KSC Lokeren,Fulham,1500000.0,1000000.0,Jupiler Pro League
