shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
1,Alireza Beiranvand,Persepolis FC,€1.00m ,Iran,"Jul 1, 2022",,Persepolis,,,,Persian Gulf Pro League
1,Alireza Beiranvand,Persepolis FC,€1.00m ,Iran,"Jun 30, 2022","Jul 1, 2022",Royal Antwerp,Persepolis,1000000.0,0.0,Persian Gulf Pro League
1,Alireza Beiranvand,Persepolis FC,€1.00m ,Iran,"Jul 10, 2021","Jun 30, 2022",Boavista,Royal Antwerp,1000000.0,,Persian Gulf Pro League
1,Alireza Beiranvand,Persepolis FC,€1.00m ,Iran,"Jul 28, 2020","Jul 10, 2021",Royal Antwerp,Boavista,1500000.0,,Persian Gulf Pro League
1,Alireza Beiranvand,Persepolis FC,€1.00m ,Iran,"Jul 1, 2016","Jul 28, 2020",Persepolis,Royal Antwerp,2800000.0,630000.0,Persian Gulf Pro League
1,Alireza Beiranvand,Persepolis FC,€1.00m ,Iran,"Jul 1, 2010","Jul 1, 2016",Naft Tehran,Persepolis,800000.0,0.0,Persian Gulf Pro League
1,Alireza Beiranvand,Persepolis FC,€1.00m ,Iran,,"Jul 1, 2010",Naft Novin U19,Naft Tehran,,,Persian Gulf Pro League
12,Payam Niazmand,Sepahan FC,€500k ,Iran,"Jun 30, 2023",,Portimonense,,,,Persian Gulf Pro League
12,Payam Niazmand,Sepahan FC,€500k ,Iran,"Aug 20, 2022","Jun 30, 2023",Sepahan,Portimonense,500000.0,,Persian Gulf Pro League
12,Payam Niazmand,Sepahan FC,€500k ,Iran,"Jul 31, 2021","Aug 20, 2022",Portimonense,Sepahan,500000.0,,Persian Gulf Pro League
12,Payam Niazmand,Sepahan FC,€500k ,Iran,"Jul 1, 2018","Jul 31, 2021",Sepahan,Portimonense,750000.0,0.0,Persian Gulf Pro League
12,Payam Niazmand,Sepahan FC,€500k ,Iran,"Jul 1, 2015","Jul 1, 2018",Paykan FC,Sepahan,500000.0,0.0,Persian Gulf Pro League
12,Payam Niazmand,Sepahan FC,€500k ,Iran,"Jul 1, 2013","Jul 1, 2015",Paykan FC U21,Paykan FC,50000.0,,Persian Gulf Pro League
12,Payam Niazmand,Sepahan FC,€500k ,Iran,,"Jul 1, 2013",Paykan FC U19,Paykan FC U21,,,Persian Gulf Pro League
13,Hossein Kanaani,Al-Ahli SC,€2.00m ,Iran,"Aug 1, 2021",,Al-Ahli SC,,,,Stars League
13,Hossein Kanaani,Al-Ahli SC,€2.00m ,Iran,"Jul 7, 2019","Aug 1, 2021",Persepolis,Al-Ahli SC,800000.0,0.0,Stars League
13,Hossein Kanaani,Al-Ahli SC,€2.00m ,Iran,"Jul 23, 2018","Jul 7, 2019",Machine Sazi,Persepolis,800000.0,0.0,Stars League
13,Hossein Kanaani,Al-Ahli SC,€2.00m ,Iran,"Jul 4, 2017","Jul 23, 2018",Saipa FC,Machine Sazi,150000.0,0.0,Stars League
13,Hossein Kanaani,Al-Ahli SC,€2.00m ,Iran,"Jul 1, 2016","Jul 4, 2017",Esteghlal FC,Saipa FC,400000.0,0.0,Stars League
13,Hossein Kanaani,Al-Ahli SC,€2.00m ,Iran,"Jul 1, 2014","Jul 1, 2016",Malavan,Esteghlal FC,500000.0,0.0,Stars League
13,Hossein Kanaani,Al-Ahli SC,€2.00m ,Iran,"Dec 1, 2011","Jul 1, 2014",Persepolis,Malavan,50000.0,0.0,Stars League
13,Hossein Kanaani,Al-Ahli SC,€2.00m ,Iran,,"Dec 1, 2011",Esteghlal Mash,Persepolis,,0.0,Stars League
4,Shoja Khalilzadeh,Al-Ahli SC,€300k ,Iran,"Jul 1, 2022",,Al-Ahli SC,,,,Stars League
4,Shoja Khalilzadeh,Al-Ahli SC,€300k ,Iran,"Oct 23, 2020","Jul 1, 2022",Al-Rayyan SC,Al-Ahli SC,450000.0,0.0,Stars League
4,Shoja Khalilzadeh,Al-Ahli SC,€300k ,Iran,"Jul 1, 2017","Oct 23, 2020",Persepolis,Al-Rayyan SC,800000.0,0.0,Stars League
4,Shoja Khalilzadeh,Al-Ahli SC,€300k ,Iran,"Jun 30, 2016","Jul 1, 2017",Sepahan,Persepolis,700000.0,0.0,Stars League
4,Shoja Khalilzadeh,Al-Ahli SC,€300k ,Iran,"Nov 28, 2014","Jun 30, 2016",Tractor Sazi,Sepahan,700000.0,,Stars League
4,Shoja Khalilzadeh,Al-Ahli SC,€300k ,Iran,"Jul 1, 2013","Nov 28, 2014",Sepahan,Tractor Sazi,800000.0,,Stars League
4,Shoja Khalilzadeh,Al-Ahli SC,€300k ,Iran,"Jul 1, 2010","Jul 1, 2013",Mes Kerman,Sepahan,800000.0,,Stars League
4,Shoja Khalilzadeh,Al-Ahli SC,€300k ,Iran,"Jul 1, 2008","Jul 1, 2010",Mes Rafsanjan,Mes Kerman,,,Stars League
4,Shoja Khalilzadeh,Al-Ahli SC,€300k ,Iran,,"Jul 1, 2008",Unknown,Mes Rafsanjan,,,Stars League
3,Ehsan Hajsafi,AEK Athens,€800k ,Iran,"Aug 2, 2021",,AEK Athens,,,,Super League 1
3,Ehsan Hajsafi,AEK Athens,€800k ,Iran,"Mar 13, 2021","Aug 2, 2021",Sepahan,AEK Athens,950000.0,0.0,Super League 1
3,Ehsan Hajsafi,AEK Athens,€800k ,Iran,"Sep 2, 2018","Mar 13, 2021",Tractor,Sepahan,1100000.0,0.0,Super League 1
3,Ehsan Hajsafi,AEK Athens,€800k ,Iran,"Jan 2, 2018","Sep 2, 2018",Olympiacos,Tractor Sazi,1500000.0,0.0,Super League 1
3,Ehsan Hajsafi,AEK Athens,€800k ,Iran,"Jul 8, 2017","Jan 2, 2018",Panionios,Olympiacos,1250000.0,600000.0,Super League 1
3,Ehsan Hajsafi,AEK Athens,€800k ,Iran,"Jul 31, 2016","Jul 8, 2017",Sepahan,Panionios,1000000.0,0.0,Super League 1
3,Ehsan Hajsafi,AEK Athens,€800k ,Iran,"Aug 31, 2015","Jul 31, 2016",FSV Frankfurt,Sepahan,750000.0,0.0,Super League 1
3,Ehsan Hajsafi,AEK Athens,€800k ,Iran,"Dec 31, 2012","Aug 31, 2015",Sepahan,FSV Frankfurt,1500000.0,0.0,Super League 1
3,Ehsan Hajsafi,AEK Athens,€800k ,Iran,"Jul 1, 2011","Dec 31, 2012",Tractor Sazi,Sepahan,1000000.0,,Super League 1
3,Ehsan Hajsafi,AEK Athens,€800k ,Iran,"Aug 1, 2007","Jul 1, 2011",Sepahan,Tractor Sazi,1000000.0,,Super League 1
3,Ehsan Hajsafi,AEK Athens,€800k ,Iran,,"Aug 1, 2007",Sepahan FC U19,Sepahan,,,Super League 1
2,Sadegh Moharrami,GNK Dinamo Zagreb,€2.00m ,Iran,"Dec 31, 2019",,Dinamo Zagreb,,,,SuperSport HNL
2,Sadegh Moharrami,GNK Dinamo Zagreb,€2.00m ,Iran,"Sep 2, 2019","Dec 31, 2019",NK Lokomotiva,Dinamo Zagreb,750000.0,,SuperSport HNL
2,Sadegh Moharrami,GNK Dinamo Zagreb,€2.00m ,Iran,"Jul 2, 2018","Sep 2, 2019",Dinamo Zagreb,NK Lokomotiva,1000000.0,,SuperSport HNL
2,Sadegh Moharrami,GNK Dinamo Zagreb,€2.00m ,Iran,"Jul 1, 2016","Jul 2, 2018",Persepolis,Dinamo Zagreb,900000.0,0.0,SuperSport HNL
2,Sadegh Moharrami,GNK Dinamo Zagreb,€2.00m ,Iran,"Jul 1, 2014","Jul 1, 2016",Malavan,Persepolis,200000.0,,SuperSport HNL
2,Sadegh Moharrami,GNK Dinamo Zagreb,€2.00m ,Iran,"Jul 1, 2012","Jul 1, 2014",Malavan U19,Malavan,,,SuperSport HNL
2,Sadegh Moharrami,GNK Dinamo Zagreb,€2.00m ,Iran,,"Jul 1, 2012",Malavan U17,Malavan U19,,,SuperSport HNL
15,Roozbeh Cheshmi,Esteghlal FC,€500k ,Iran,"Oct 10, 2021",,Esteghlal FC,,,,Persian Gulf Pro League
15,Roozbeh Cheshmi,Esteghlal FC,€500k ,Iran,"Oct 7, 2020","Oct 10, 2021",Umm Salal SC,Esteghlal FC,700000.0,0.0,Persian Gulf Pro League
15,Roozbeh Cheshmi,Esteghlal FC,€500k ,Iran,"Jul 1, 2015","Oct 7, 2020",Esteghlal FC,Umm Salal SC,675000.0,0.0,Persian Gulf Pro League
15,Roozbeh Cheshmi,Esteghlal FC,€500k ,Iran,"Jul 11, 2013","Jul 1, 2015",Saba Battery,Esteghlal FC,350000.0,103000.0,Persian Gulf Pro League
15,Roozbeh Cheshmi,Esteghlal FC,€500k ,Iran,"Dec 10, 2012","Jul 11, 2013",Persepolis,Saba Battery,50000.0,0.0,Persian Gulf Pro League
15,Roozbeh Cheshmi,Esteghlal FC,€500k ,Iran,"Jul 1, 2011","Dec 10, 2012",Moghavemat U21,Persepolis,,,Persian Gulf Pro League
15,Roozbeh Cheshmi,Esteghlal FC,€500k ,Iran,,"Jul 1, 2011",Persepolis U19,Moghavemat U21,,,Persian Gulf Pro League
21,Ahmad Nourollahi,FC Shabab Al-Ahli Dubai,€2.00m ,Iran,"Aug 17, 2021",,Shabab Dubai,,,,UAE Pro League
21,Ahmad Nourollahi,FC Shabab Al-Ahli Dubai,€2.00m ,Iran,"Jun 30, 2017","Aug 17, 2021",Persepolis,Shabab Dubai,1600000.0,0.0,UAE Pro League
21,Ahmad Nourollahi,FC Shabab Al-Ahli Dubai,€2.00m ,Iran,"Jan 2, 2017","Jun 30, 2017",Tractor Sazi,Persepolis,500000.0,,UAE Pro League
21,Ahmad Nourollahi,FC Shabab Al-Ahli Dubai,€2.00m ,Iran,"Jul 1, 2014","Jan 2, 2017",Persepolis,Tractor Sazi,700000.0,,UAE Pro League
21,Ahmad Nourollahi,FC Shabab Al-Ahli Dubai,€2.00m ,Iran,"Jul 1, 2011","Jul 1, 2014",F. Yazd,Persepolis,50000.0,0.0,UAE Pro League
21,Ahmad Nourollahi,FC Shabab Al-Ahli Dubai,€2.00m ,Iran,,"Jul 1, 2011",Foolad Yazd U19,F. Yazd,,,UAE Pro League
14,Saman Ghoddos,Brentford FC,€2.20m ,Iran,"Jan 14, 2021",,Brentford,,,,Premier League
14,Saman Ghoddos,Brentford FC,€2.20m ,Iran,"Jan 13, 2021","Jan 14, 2021",Amiens SC,Brentford,2500000.0,,Premier League
14,Saman Ghoddos,Brentford FC,€2.20m ,Iran,"Sep 21, 2020","Jan 13, 2021",Brentford,Amiens SC,2500000.0,,Premier League
