shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
12,Shuichi Gonda,Shimizu S-Pulse,€500k ,Japan,"Jan 9, 2022",,Shimizu S-Pulse,,,,J1 League
12,Shuichi Gonda,Shimizu S-Pulse,€500k ,Japan,"Jan 1, 2022","Jan 9, 2022",Portimonense,Shimizu S-Pulse,450000.0,2000000.0,J1 League
12,Shuichi Gonda,Shimizu S-Pulse,€500k ,Japan,"Jan 2, 2021","Jan 1, 2022",Shimizu S-Pulse,Portimonense,450000.0,,J1 League
12,Shuichi Gonda,Shimizu S-Pulse,€500k ,Japan,"Jan 29, 2019","Jan 2, 2021",Portimonense,Shimizu S-Pulse,300000.0,,J1 League
12,Shuichi Gonda,Shimizu S-Pulse,€500k ,Japan,"Feb 6, 2017","Jan 29, 2019",Sagan Tosu,Portimonense,1000000.0,,J1 League
12,Shuichi Gonda,Shimizu S-Pulse,€500k ,Japan,"Dec 31, 2016","Feb 6, 2017",FC Tokyo,Sagan Tosu,350000.0,0.0,J1 League
12,Shuichi Gonda,Shimizu S-Pulse,€500k ,Japan,"Jan 9, 2016","Dec 31, 2016",SV Horn,FC Tokyo,350000.0,,J1 League
12,Shuichi Gonda,Shimizu S-Pulse,€500k ,Japan,"Feb 1, 2007","Jan 9, 2016",FC Tokyo,SV Horn,1250000.0,,J1 League
12,Shuichi Gonda,Shimizu S-Pulse,€500k ,Japan,,"Feb 1, 2007",FC Tokyo U18,FC Tokyo,,,J1 League
4,Ko Itakura,Borussia Mönchengladbach,€7.50m ,Japan,"Jul 2, 2022",,Bor. M'gladbach,,,,Bundesliga
4,Ko Itakura,Borussia Mönchengladbach,€7.50m ,Japan,"Jun 30, 2022","Jul 2, 2022",Man City,Bor. M'gladbach,5000000.0,5000000.0,Bundesliga
4,Ko Itakura,Borussia Mönchengladbach,€7.50m ,Japan,"Aug 19, 2021","Jun 30, 2022",FC Schalke 04,Man City,5000000.0,,Bundesliga
4,Ko Itakura,Borussia Mönchengladbach,€7.50m ,Japan,"Jun 30, 2021","Aug 19, 2021",Man City,FC Schalke 04,3500000.0,,Bundesliga
4,Ko Itakura,Borussia Mönchengladbach,€7.50m ,Japan,"Jul 27, 2020","Jun 30, 2021",FC Groningen,Man City,3500000.0,,Bundesliga
4,Ko Itakura,Borussia Mönchengladbach,€7.50m ,Japan,"Jun 30, 2020","Jul 27, 2020",Man City,FC Groningen,800000.0,,Bundesliga
4,Ko Itakura,Borussia Mönchengladbach,€7.50m ,Japan,"Jan 15, 2019","Jun 30, 2020",FC Groningen,Man City,800000.0,,Bundesliga
4,Ko Itakura,Borussia Mönchengladbach,€7.50m ,Japan,"Jan 14, 2019","Jan 15, 2019",Man City,FC Groningen,700000.0,,Bundesliga
4,Ko Itakura,Borussia Mönchengladbach,€7.50m ,Japan,"Dec 31, 2018","Jan 14, 2019",Kawasaki Front.,Man City,700000.0,1100000.0,Bundesliga
4,Ko Itakura,Borussia Mönchengladbach,€7.50m ,Japan,"Feb 1, 2018","Dec 31, 2018",Vegalta Sendai,Kawasaki Front.,175000.0,,Bundesliga
4,Ko Itakura,Borussia Mönchengladbach,€7.50m ,Japan,"Feb 1, 2015","Feb 1, 2018",Kawasaki Front.,Vegalta Sendai,175000.0,,Bundesliga
4,Ko Itakura,Borussia Mönchengladbach,€7.50m ,Japan,,"Feb 1, 2015",Frontale U18,Kawasaki Front.,,,Bundesliga
3,Shogo Taniguchi,Kawasaki Frontale,€1.80m ,Japan,"Feb 1, 2014",,Kawasaki Front.,,,,J1 League
3,Shogo Taniguchi,Kawasaki Frontale,€1.80m ,Japan,"Jan 31, 2014","Feb 1, 2014",Tsukuba Univ.,Kawasaki Front.,,0.0,J1 League
3,Shogo Taniguchi,Kawasaki Frontale,€1.80m ,Japan,"Aug 28, 2013","Jan 31, 2014",Kawasaki Front.,Tsukuba Univ.,,,J1 League
3,Shogo Taniguchi,Kawasaki Frontale,€1.80m ,Japan,"Apr 1, 2010","Aug 28, 2013",Tsukuba Univ.,Kawasaki Front.,,,J1 League
3,Shogo Taniguchi,Kawasaki Frontale,€1.80m ,Japan,,"Apr 1, 2010",Kumamoto Ozu HS,Tsukuba Univ.,,0.0,J1 League
5,Yuto Nagatomo,FC Tokyo,€400k ,Japan,"Sep 12, 2021",,FC Tokyo,,,,J1 League
5,Yuto Nagatomo,FC Tokyo,€400k ,Japan,"Jul 1, 2021","Sep 12, 2021",Without Club,FC Tokyo,800000.0,,J1 League
5,Yuto Nagatomo,FC Tokyo,€400k ,Japan,"Aug 31, 2020","Jul 1, 2021",Marseille,Without Club,800000.0,,J1 League
5,Yuto Nagatomo,FC Tokyo,€400k ,Japan,"Jul 1, 2018","Aug 31, 2020",Galatasaray,Marseille,800000.0,0.0,J1 League
5,Yuto Nagatomo,FC Tokyo,€400k ,Japan,"Jun 30, 2018","Jul 1, 2018",Inter,Galatasaray,3500000.0,2500000.0,J1 League
5,Yuto Nagatomo,FC Tokyo,€400k ,Japan,"Jan 31, 2018","Jun 30, 2018",Galatasaray,Inter,3500000.0,,J1 League
5,Yuto Nagatomo,FC Tokyo,€400k ,Japan,"Jul 1, 2011","Jan 31, 2018",Inter,Galatasaray,3500000.0,,J1 League
5,Yuto Nagatomo,FC Tokyo,€400k ,Japan,"Jun 30, 2011","Jul 1, 2011",Cesena,Inter,8500000.0,4500000.0,J1 League
5,Yuto Nagatomo,FC Tokyo,€400k ,Japan,"Jan 31, 2011","Jun 30, 2011",Inter,Cesena,8500000.0,,J1 League
5,Yuto Nagatomo,FC Tokyo,€400k ,Japan,"Jan 28, 2011","Jan 31, 2011",Cesena,Inter,2800000.0,,J1 League
5,Yuto Nagatomo,FC Tokyo,€400k ,Japan,"Jan 27, 2011","Jan 28, 2011",FC Tokyo,Cesena,2800000.0,1600000.0,J1 League
5,Yuto Nagatomo,FC Tokyo,€400k ,Japan,"Jul 14, 2010","Jan 27, 2011",Cesena,FC Tokyo,2800000.0,,J1 League
5,Yuto Nagatomo,FC Tokyo,€400k ,Japan,"Feb 1, 2008","Jul 14, 2010",FC Tokyo,Cesena,2600000.0,,J1 League
5,Yuto Nagatomo,FC Tokyo,€400k ,Japan,"Jan 31, 2008","Feb 1, 2008",Meiji Uni,FC Tokyo,,0.0,J1 League
5,Yuto Nagatomo,FC Tokyo,€400k ,Japan,"May 2, 2007","Jan 31, 2008",FC Tokyo,Meiji Uni,,,J1 League
5,Yuto Nagatomo,FC Tokyo,€400k ,Japan,"Apr 1, 2005","May 2, 2007",Meiji Uni,FC Tokyo,,,J1 League
5,Yuto Nagatomo,FC Tokyo,€400k ,Japan,,"Apr 1, 2005",Hig. Fukuoka HS,Meiji Uni,,0.0,J1 League
2,Miki Yamane,Kawasaki Frontale,€1.70m ,Japan,"Jan 4, 2020",,Kawasaki Front.,,,,J1 League
2,Miki Yamane,Kawasaki Frontale,€1.70m ,Japan,"Feb 1, 2016","Jan 4, 2020",Shonan Bellmare,Kawasaki Front.,800000.0,0.0,J1 League
2,Miki Yamane,Kawasaki Frontale,€1.70m ,Japan,"Apr 1, 2012","Feb 1, 2016",Toin Univ.,Shonan Bellmare,,0.0,J1 League
2,Miki Yamane,Kawasaki Frontale,€1.70m ,Japan,,"Apr 1, 2012",High School (J),Toin Univ.,,0.0,J1 League
13,Hidemasa Morita,Sporting CP,€7.00m ,Japan,"Jul 1, 2022",,Sporting CP,,,,Liga Portugal
13,Hidemasa Morita,Sporting CP,€7.00m ,Japan,"Jan 7, 2021","Jul 1, 2022",Santa Clara,Sporting CP,4000000.0,3800000.0,Liga Portugal
13,Hidemasa Morita,Sporting CP,€7.00m ,Japan,"Feb 1, 2018","Jan 7, 2021",Kawasaki Front.,Santa Clara,1300000.0,0.0,Liga Portugal
13,Hidemasa Morita,Sporting CP,€7.00m ,Japan,"Jan 31, 2018","Feb 1, 2018",RKU,Kawasaki Front.,50000.0,0.0,Liga Portugal
13,Hidemasa Morita,Sporting CP,€7.00m ,Japan,"Sep 15, 2017","Jan 31, 2018",Kawasaki Front.,RKU,50000.0,,Liga Portugal
13,Hidemasa Morita,Sporting CP,€7.00m ,Japan,"Apr 1, 2014","Sep 15, 2017",RKU,Kawasaki Front.,,,Liga Portugal
13,Hidemasa Morita,Sporting CP,€7.00m ,Japan,,"Apr 1, 2014",High School (J),RKU,,0.0,Liga Portugal
17,Ao Tanaka,Fortuna Düsseldorf,€1.80m ,Japan,"Jul 1, 2022",,F. Düsseldorf,,,,2. Bundesliga
17,Ao Tanaka,Fortuna Düsseldorf,€1.80m ,Japan,"Jun 30, 2022","Jul 1, 2022",Kawasaki Front.,F. Düsseldorf,1500000.0,1000000.0,2. Bundesliga
17,Ao Tanaka,Fortuna Düsseldorf,€1.80m ,Japan,"Jul 1, 2021","Jun 30, 2022",F. Düsseldorf,Kawasaki Front.,1500000.0,,2. Bundesliga
17,Ao Tanaka,Fortuna Düsseldorf,€1.80m ,Japan,"Feb 1, 2017","Jul 1, 2021",Kawasaki Front.,F. Düsseldorf,1700000.0,,2. Bundesliga
17,Ao Tanaka,Fortuna Düsseldorf,€1.80m ,Japan,,"Feb 1, 2017",Frontale U18,Kawasaki Front.,,,2. Bundesliga
15,Daichi Kamada,Eintracht Frankfurt,€30.00m ,Japan,"Jun 30, 2019",,E. Frankfurt,,,,Bundesliga
15,Daichi Kamada,Eintracht Frankfurt,€30.00m ,Japan,"Aug 31, 2018","Jun 30, 2019",Sint-Truiden,E. Frankfurt,4500000.0,,Bundesliga
15,Daichi Kamada,Eintracht Frankfurt,€30.00m ,Japan,"Jul 1, 2017","Aug 31, 2018",E. Frankfurt,Sint-Truiden,1000000.0,,Bundesliga
15,Daichi Kamada,Eintracht Frankfurt,€30.00m ,Japan,"Feb 1, 2015","Jul 1, 2017",Sagan Tosu,E. Frankfurt,750000.0,1600000.0,Bundesliga
