shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
22,Ahmed Reda Tagnaouti,Wydad Casablanca,€1.80m ,Morocco,"Jun 30, 2018",,Wydad AC,,,,Botola Pro Inwi
22,Ahmed Reda Tagnaouti,Wydad Casablanca,€1.80m ,Morocco,"Jul 29, 2017","Jun 30, 2018",Ittihad Tanger,Wydad AC,850000.0,,Botola Pro Inwi
22,Ahmed Reda Tagnaouti,Wydad Casablanca,€1.80m ,Morocco,"Jul 27, 2017","Jul 29, 2017",Wydad AC,Ittihad Tanger,,,Botola Pro Inwi
22,Ahmed Reda Tagnaouti,Wydad Casablanca,€1.80m ,Morocco,"Jun 30, 2017","Jul 27, 2017",RS Berkane,Wydad AC,,,Botola Pro Inwi
22,Ahmed Reda Tagnaouti,Wydad Casablanca,€1.80m ,Morocco,"Jan 12, 2017","Jun 30, 2017",Wydad AC,RS Berkane,,,Botola Pro Inwi
22,Ahmed Reda Tagnaouti,Wydad Casablanca,€1.80m ,Morocco,"Jul 1, 2014","Jan 12, 2017",RS Berkane,Wydad AC,,,Botola Pro Inwi
22,Ahmed Reda Tagnaouti,Wydad Casablanca,€1.80m ,Morocco,,"Jul 1, 2014",AM Football,RS Berkane,,,Botola Pro Inwi
5,Nayef Aguerd,West Ham United,€25.00m ,Morocco,"Jul 1, 2022",,West Ham,,,,Premier League
5,Nayef Aguerd,West Ham United,€25.00m ,Morocco,"Aug 14, 2020","Jul 1, 2022",Rennes,West Ham,12000000.0,35000000.0,Premier League
5,Nayef Aguerd,West Ham United,€25.00m ,Morocco,"Jul 1, 2018","Aug 14, 2020",Dijon,Rennes,4000000.0,4000000.0,Premier League
5,Nayef Aguerd,West Ham United,€25.00m ,Morocco,"Jul 1, 2013","Jul 1, 2018",FUS Rabat,Dijon,900000.0,1600000.0,Premier League
5,Nayef Aguerd,West Ham United,€25.00m ,Morocco,,"Jul 1, 2013",AM Football,FUS Rabat,,15000.0,Premier League
20,Achraf Dari,Stade Brestois 29,€2.50m ,Morocco,"Jul 29, 2022",,Stade Brestois,,,,Ligue 1
20,Achraf Dari,Stade Brestois 29,€2.50m ,Morocco,"Jul 1, 2018","Jul 29, 2022",Wydad AC,Stade Brestois,1800000.0,2700000.0,Ligue 1
20,Achraf Dari,Stade Brestois 29,€2.50m ,Morocco,"Jul 1, 2016","Jul 1, 2018",WAC Reserve,Wydad AC,100000.0,,Ligue 1
20,Achraf Dari,Stade Brestois 29,€2.50m ,Morocco,,"Jul 1, 2016",Wydad AC U19,WAC Reserve,,,Ligue 1
24,Badr Benoun,Qatar SC,€1.00m ,Morocco,"Jul 31, 2022",,Qatar SC,,,,Stars League
24,Badr Benoun,Qatar SC,€1.00m ,Morocco,"Nov 9, 2020","Jul 31, 2022",El Ahly,Qatar SC,1500000.0,1700000.0,Stars League
24,Badr Benoun,Qatar SC,€1.00m ,Morocco,"Jun 30, 2015","Nov 9, 2020",Raja Casablanca,El Ahly,1100000.0,1690000.0,Stars League
24,Badr Benoun,Qatar SC,€1.00m ,Morocco,"Aug 1, 2014","Jun 30, 2015",RS Berkane,Raja Casablanca,25000.0,,Stars League
24,Badr Benoun,Qatar SC,€1.00m ,Morocco,"Jul 1, 2014","Aug 1, 2014",Raja Casablanca,RS Berkane,25000.0,,Stars League
