shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
23,Andries Noppert,SC Heerenveen,€2.00m ,Netherlands,"Jul 1, 2022",,Heerenveen,,,,Eredivisie
23,Andries Noppert,SC Heerenveen,€2.00m ,Netherlands,"Jan 22, 2021","Jul 1, 2022",Go Ahead Eagles,Heerenveen,450000.0,0.0,Eredivisie
23,Andries Noppert,SC Heerenveen,€2.00m ,Netherlands,"Jul 1, 2020","Jan 22, 2021",Without Club,Go Ahead Eagles,125000.0,,Eredivisie
23,Andries Noppert,SC Heerenveen,€2.00m ,Netherlands,"Sep 12, 2019","Jul 1, 2020",FC Dordrecht,Without Club,125000.0,,Eredivisie
23,Andries Noppert,SC Heerenveen,€2.00m ,Netherlands,"Jul 16, 2019","Sep 12, 2019",Without Club,FC Dordrecht,150000.0,,Eredivisie
23,Andries Noppert,SC Heerenveen,€2.00m ,Netherlands,"Jan 30, 2018","Jul 16, 2019",Foggia,Without Club,150000.0,,Eredivisie
23,Andries Noppert,SC Heerenveen,€2.00m ,Netherlands,"Jul 1, 2014","Jan 30, 2018",NAC Breda,Foggia,150000.0,0.0,Eredivisie
23,Andries Noppert,SC Heerenveen,€2.00m ,Netherlands,"Jul 1, 2013","Jul 1, 2014",Heerenveen U21,NAC Breda,50000.0,0.0,Eredivisie
23,Andries Noppert,SC Heerenveen,€2.00m ,Netherlands,"Jul 1, 2011","Jul 1, 2013",Heerenveen U19,Heerenveen U21,,,Eredivisie
23,Andries Noppert,SC Heerenveen,€2.00m ,Netherlands,"Jul 1, 2009","Jul 1, 2011",Heerenveen U17,Heerenveen U19,,,Eredivisie
23,Andries Noppert,SC Heerenveen,€2.00m ,Netherlands,"Jul 1, 2005","Jul 1, 2009",Heerenveen Yth,Heerenveen U17,,,Eredivisie
23,Andries Noppert,SC Heerenveen,€2.00m ,Netherlands,,"Jul 1, 2005",SC Joure Yth.,Heerenveen Yth,,0.0,Eredivisie
3,Matthijs de Ligt,Bayern Munich,€70.00m ,Netherlands,"Jul 19, 2022",,Bayern Munich,,,,Bundesliga
3,Matthijs de Ligt,Bayern Munich,€70.00m ,Netherlands,"Jul 18, 2019","Jul 19, 2022",Juventus,Bayern Munich,70000000.0,67000000.0,Bundesliga
3,Matthijs de Ligt,Bayern Munich,€70.00m ,Netherlands,"Jan 1, 2017","Jul 18, 2019",Ajax,Juventus,75000000.0,85500000.0,Bundesliga
3,Matthijs de Ligt,Bayern Munich,€70.00m ,Netherlands,"Jul 1, 2016","Jan 1, 2017",Ajax U21,Ajax,100000.0,,Bundesliga
3,Matthijs de Ligt,Bayern Munich,€70.00m ,Netherlands,"Jul 1, 2015","Jul 1, 2016",Ajax U19,Ajax U21,100000.0,,Bundesliga
3,Matthijs de Ligt,Bayern Munich,€70.00m ,Netherlands,"Jul 1, 2014","Jul 1, 2015",Ajax U17,Ajax U19,,,Bundesliga
3,Matthijs de Ligt,Bayern Munich,€70.00m ,Netherlands,"Jul 1, 2009","Jul 1, 2014",Ajax Youth,Ajax U17,,,Bundesliga
3,Matthijs de Ligt,Bayern Munich,€70.00m ,Netherlands,,"Jul 1, 2009",Abcoude Yth.,Ajax Youth,,0.0,Bundesliga
2,Jurrien Timber,Ajax Amsterdam,€45.00m ,Netherlands,"Sep 18, 2020",,Ajax,,,,Eredivisie
2,Jurrien Timber,Ajax Amsterdam,€45.00m ,Netherlands,"Jan 1, 2019","Sep 18, 2020",Ajax U21,Ajax,2000000.0,,Eredivisie
2,Jurrien Timber,Ajax Amsterdam,€45.00m ,Netherlands,"Jul 1, 2018","Jan 1, 2019",Ajax U19,Ajax U21,,,Eredivisie
2,Jurrien Timber,Ajax Amsterdam,€45.00m ,Netherlands,"Jul 1, 2016","Jul 1, 2018",Ajax U17,Ajax U19,,,Eredivisie
2,Jurrien Timber,Ajax Amsterdam,€45.00m ,Netherlands,"Jul 1, 2014","Jul 1, 2016",Ajax Youth,Ajax U17,,,Eredivisie
2,Jurrien Timber,Ajax Amsterdam,€45.00m ,Netherlands,,"Jul 1, 2014",Feyenoord Youth,Ajax Youth,,,Eredivisie
6,Stefan de Vrij,Inter Milan,€15.00m ,Netherlands,"Jul 1, 2018",,Inter,,,,Serie A
6,Stefan de Vrij,Inter Milan,€15.00m ,Netherlands,"Jul 30, 2014","Jul 1, 2018",Lazio,Inter,40000000.0,0.0,Serie A
6,Stefan de Vrij,Inter Milan,€15.00m ,Netherlands,"Jul 17, 2009","Jul 30, 2014",Feyenoord,Lazio,6000000.0,7000000.0,Serie A
6,Stefan de Vrij,Inter Milan,€15.00m ,Netherlands,"Jul 1, 2008","Jul 17, 2009",Feyenoord U19,Feyenoord,,,Serie A
6,Stefan de Vrij,Inter Milan,€15.00m ,Netherlands,,"Jul 1, 2008",Feyenoord Youth,Feyenoord U19,,,Serie A
17,Daley Blind,Ajax Amsterdam,€6.00m ,Netherlands,"Jul 17, 2018",,Ajax,,,,Eredivisie
17,Daley Blind,Ajax Amsterdam,€6.00m ,Netherlands,"Sep 1, 2014","Jul 17, 2018",Man Utd,Ajax,18000000.0,16000000.0,Eredivisie
17,Daley Blind,Ajax Amsterdam,€6.00m ,Netherlands,"Jun 30, 2010","Sep 1, 2014",Ajax,Man Utd,12000000.0,17500000.0,Eredivisie
17,Daley Blind,Ajax Amsterdam,€6.00m ,Netherlands,"Jan 1, 2010","Jun 30, 2010",FC Groningen,Ajax,750000.0,,Eredivisie
17,Daley Blind,Ajax Amsterdam,€6.00m ,Netherlands,"Jan 1, 2009","Jan 1, 2010",Ajax,FC Groningen,750000.0,,Eredivisie
