shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
22,Kamil Grabara,FC Copenhagen,€5.00m ,Poland,"Jul 3, 2021",,FC Copenhagen,,,,Superligaen
22,Kamil Grabara,FC Copenhagen,€5.00m ,Poland,"Jun 30, 2021","Jul 3, 2021",Liverpool U23,FC Copenhagen,2500000.0,3500000.0,Superligaen
22,Kamil Grabara,FC Copenhagen,€5.00m ,Poland,"Sep 28, 2020","Jun 30, 2021",Aarhus GF,Liverpool U23,2500000.0,,Superligaen
22,Kamil Grabara,FC Copenhagen,€5.00m ,Poland,"Jun 30, 2020","Sep 28, 2020",Liverpool U23,Aarhus GF,4500000.0,,Superligaen
22,Kamil Grabara,FC Copenhagen,€5.00m ,Poland,"Jul 15, 2019","Jun 30, 2020",Huddersfield,Liverpool U23,4500000.0,,Superligaen
22,Kamil Grabara,FC Copenhagen,€5.00m ,Poland,"Jun 30, 2019","Jul 15, 2019",Liverpool U23,Huddersfield,400000.0,,Superligaen
22,Kamil Grabara,FC Copenhagen,€5.00m ,Poland,"Jan 6, 2019","Jun 30, 2019",Aarhus GF,Liverpool U23,400000.0,,Superligaen
22,Kamil Grabara,FC Copenhagen,€5.00m ,Poland,"Jul 1, 2017","Jan 6, 2019",Liverpool U23,Aarhus GF,100000.0,,Superligaen
22,Kamil Grabara,FC Copenhagen,€5.00m ,Poland,"Jan 15, 2016","Jul 1, 2017",Liverpool U18,Liverpool U23,100000.0,,Superligaen
22,Kamil Grabara,FC Copenhagen,€5.00m ,Poland,"Jul 1, 2014","Jan 15, 2016",Ruch U19,Liverpool U18,100000.0,330000.0,Superligaen
22,Kamil Grabara,FC Copenhagen,€5.00m ,Poland,,"Jul 1, 2014",Chorzów Youth,Ruch U19,,,Superligaen
5,Jan Bednarek,Aston Villa,€18.00m ,Poland,"May 31, 2023",,Southampton,,,,Premier League
5,Jan Bednarek,Aston Villa,€18.00m ,Poland,"Sep 1, 2022","May 31, 2023",Aston Villa,Southampton,18000000.0,,Premier League
5,Jan Bednarek,Aston Villa,€18.00m ,Poland,"Jul 1, 2017","Sep 1, 2022",Southampton,Aston Villa,22000000.0,,Premier League
5,Jan Bednarek,Aston Villa,€18.00m ,Poland,"Jun 30, 2016","Jul 1, 2017",Lech Poznan,Southampton,500000.0,6000000.0,Premier League
5,Jan Bednarek,Aston Villa,€18.00m ,Poland,"Jul 13, 2015","Jun 30, 2016",Gornik Leczna,Lech Poznan,150000.0,,Premier League
5,Jan Bednarek,Aston Villa,€18.00m ,Poland,"Sep 1, 2013","Jul 13, 2015",Lech Poznan,Gornik Leczna,150000.0,,Premier League
5,Jan Bednarek,Aston Villa,€18.00m ,Poland,"Jul 1, 2012","Sep 1, 2013",Lech Poznan II,Lech Poznan,,,Premier League
5,Jan Bednarek,Aston Villa,€18.00m ,Poland,,"Jul 1, 2012",MSP Szamotuly,Lech Poznan II,,,Premier League
4,Mateusz Wieteska,Clermont Foot 63,€3.00m ,Poland,"Jul 25, 2022",,Clermont Foot,,,,Ligue 1
4,Mateusz Wieteska,Clermont Foot 63,€3.00m ,Poland,"Jul 1, 2018","Jul 25, 2022",Legia Warszawa,Clermont Foot,1300000.0,1300000.0,Ligue 1
4,Mateusz Wieteska,Clermont Foot 63,€3.00m ,Poland,"Jul 7, 2017","Jul 1, 2018",Górnik Zabrze,Legia Warszawa,500000.0,125000.0,Ligue 1
4,Mateusz Wieteska,Clermont Foot 63,€3.00m ,Poland,"Jun 30, 2017","Jul 7, 2017",Legia Warszawa,Górnik Zabrze,200000.0,0.0,Ligue 1
4,Mateusz Wieteska,Clermont Foot 63,€3.00m ,Poland,"Jan 27, 2017","Jun 30, 2017",Chrobry Glogow,Legia Warszawa,200000.0,,Ligue 1
4,Mateusz Wieteska,Clermont Foot 63,€3.00m ,Poland,"Feb 28, 2016","Jan 27, 2017",Legia Warszawa,Chrobry Glogow,200000.0,,Ligue 1
4,Mateusz Wieteska,Clermont Foot 63,€3.00m ,Poland,"Jul 18, 2015","Feb 28, 2016",Dolcan Zabki,Legia Warszawa,125000.0,,Ligue 1
4,Mateusz Wieteska,Clermont Foot 63,€3.00m ,Poland,"Jul 1, 2014","Jul 18, 2015",Legia Warszawa,Dolcan Zabki,150000.0,,Ligue 1
