shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
12,José Sá,Wolverhampton Wanderers,€18.00m ,Portugal,"Jul 15, 2021",,Wolves,,,,Premier League
12,José Sá,Wolverhampton Wanderers,€18.00m ,Portugal,"Jul 1, 2019","Jul 15, 2021",Olympiacos,Wolves,7500000.0,8000000.0,Premier League
12,José Sá,Wolverhampton Wanderers,€18.00m ,Portugal,"Jun 30, 2019","Jul 1, 2019",FC Porto,Olympiacos,2500000.0,2500000.0,Premier League
12,José Sá,Wolverhampton Wanderers,€18.00m ,Portugal,"Aug 31, 2018","Jun 30, 2019",Olympiacos,FC Porto,2500000.0,,Premier League
12,José Sá,Wolverhampton Wanderers,€18.00m ,Portugal,"Jan 25, 2016","Aug 31, 2018",FC Porto,Olympiacos,2500000.0,,Premier League
12,José Sá,Wolverhampton Wanderers,€18.00m ,Portugal,"Jul 1, 2013","Jan 25, 2016",Marítimo,FC Porto,1600000.0,1200000.0,Premier League
12,José Sá,Wolverhampton Wanderers,€18.00m ,Portugal,"Jul 1, 2012","Jul 1, 2013",Marítimo B,Marítimo,100000.0,,Premier League
12,José Sá,Wolverhampton Wanderers,€18.00m ,Portugal,"Jul 1, 2011","Jul 1, 2012",Marítimo U19,Marítimo B,,,Premier League
12,José Sá,Wolverhampton Wanderers,€18.00m ,Portugal,"Jan 1, 2011","Jul 1, 2011",Benfica U19,Marítimo U19,,0.0,Premier League
12,José Sá,Wolverhampton Wanderers,€18.00m ,Portugal,"Jul 1, 2010","Jan 1, 2011",Merelinense Y19,Benfica U19,,0.0,Premier League
12,José Sá,Wolverhampton Wanderers,€18.00m ,Portugal,"Jul 1, 2009","Jul 1, 2010",Merelinense S17,Merelinense Y19,,,Premier League
12,José Sá,Wolverhampton Wanderers,€18.00m ,Portugal,"Jul 1, 2008","Jul 1, 2009",Palmeiras U17,Merelinense S17,,0.0,Premier League
12,José Sá,Wolverhampton Wanderers,€18.00m ,Portugal,,"Jul 1, 2008",Palmeiras U15,Palmeiras U17,,,Premier League
4,Rúben Dias,Manchester City,€75.00m ,Portugal,"Sep 29, 2020",,Man City,,,,Premier League
4,Rúben Dias,Manchester City,€75.00m ,Portugal,"Jul 1, 2017","Sep 29, 2020",Benfica,Man City,35000000.0,71600000.0,Premier League
4,Rúben Dias,Manchester City,€75.00m ,Portugal,"Jul 1, 2015","Jul 1, 2017",Benfica B,Benfica,1000000.0,,Premier League
4,Rúben Dias,Manchester City,€75.00m ,Portugal,"Jul 1, 2014","Jul 1, 2015",Benfica U19,Benfica B,,,Premier League
4,Rúben Dias,Manchester City,€75.00m ,Portugal,"Jul 1, 2012","Jul 1, 2014",Benfica U17,Benfica U19,,,Premier League
4,Rúben Dias,Manchester City,€75.00m ,Portugal,"Jul 1, 2010","Jul 1, 2012",Benfica U15,Benfica U17,,,Premier League
4,Rúben Dias,Manchester City,€75.00m ,Portugal,"Jul 1, 2008","Jul 1, 2010",SL Benfica Yout,Benfica U15,,,Premier League
4,Rúben Dias,Manchester City,€75.00m ,Portugal,,"Jul 1, 2008",Estrela A. F,SL Benfica Yout,,,Premier League
3,Pepe,FC Porto,€1.00m ,Portugal,"Jan 8, 2019",,FC Porto,,,,Liga Portugal
3,Pepe,FC Porto,€1.00m ,Portugal,"Dec 17, 2018","Jan 8, 2019",Without Club,FC Porto,1500000.0,,Liga Portugal
3,Pepe,FC Porto,€1.00m ,Portugal,"Jul 4, 2017","Dec 17, 2018",Besiktas,Without Club,2000000.0,,Liga Portugal
3,Pepe,FC Porto,€1.00m ,Portugal,"Jul 10, 2007","Jul 4, 2017",Real Madrid,Besiktas,3000000.0,0.0,Liga Portugal
3,Pepe,FC Porto,€1.00m ,Portugal,"Jul 1, 2004","Jul 10, 2007",FC Porto,Real Madrid,30000000.0,30000000.0,Liga Portugal
3,Pepe,FC Porto,€1.00m ,Portugal,"Jul 1, 2002","Jul 1, 2004",Marítimo,FC Porto,,2000000.0,Liga Portugal
3,Pepe,FC Porto,€1.00m ,Portugal,"Jul 1, 2001","Jul 1, 2002",Marítimo B,Marítimo,,,Liga Portugal
3,Pepe,FC Porto,€1.00m ,Portugal,,"Jul 1, 2001",Alagoano U19,Marítimo B,,0.0,Liga Portugal
5,Raphaël Guerreiro,Borussia Dortmund,€20.00m ,Portugal,"Jul 1, 2016",,Bor. Dortmund,,,,Bundesliga
5,Raphaël Guerreiro,Borussia Dortmund,€20.00m ,Portugal,"Jul 1, 2013","Jul 1, 2016",FC Lorient,Bor. Dortmund,9000000.0,12000000.0,Bundesliga
5,Raphaël Guerreiro,Borussia Dortmund,€20.00m ,Portugal,"Jul 1, 2012","Jul 1, 2013",SM Caen,FC Lorient,1500000.0,2500000.0,Bundesliga
5,Raphaël Guerreiro,Borussia Dortmund,€20.00m ,Portugal,"Jul 1, 2010","Jul 1, 2012",SM Caen B,SM Caen,,,Bundesliga
5,Raphaël Guerreiro,Borussia Dortmund,€20.00m ,Portugal,"Jul 1, 2008","Jul 1, 2010",Caen U19,SM Caen B,,,Bundesliga
5,Raphaël Guerreiro,Borussia Dortmund,€20.00m ,Portugal,"Jul 1, 2006","Jul 1, 2008",Clairef. U17,Caen U19,,,Bundesliga
5,Raphaël Guerreiro,Borussia Dortmund,€20.00m ,Portugal,,"Jul 1, 2006",Clairef. Yth.,Clairef. U17,,,Bundesliga
2,Diogo Dalot,Manchester United,€32.00m ,Portugal,"Jun 30, 2021",,Man Utd,,,,Premier League
2,Diogo Dalot,Manchester United,€32.00m ,Portugal,"Oct 4, 2020","Jun 30, 2021",AC Milan,Man Utd,10000000.0,,Premier League
