shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
1,Mohammed Al-Rubaie,Al-Ahli Saudi FC,€600k ,Saudi Arabia,"Jul 5, 2019",,Al-Ahli SFC,,,,
1,Mohammed Al-Rubaie,Al-Ahli Saudi FC,€600k ,Saudi Arabia,"Jun 30, 2019","Jul 5, 2019",Al-Ahli U23,Al-Ahli SFC,175000.0,,
1,Mohammed Al-Rubaie,Al-Ahli Saudi FC,€600k ,Saudi Arabia,"Jul 30, 2018","Jun 30, 2019",Al-Batin FC,Al-Ahli U23,175000.0,,
1,Mohammed Al-Rubaie,Al-Ahli Saudi FC,€600k ,Saudi Arabia,,"Jul 30, 2018",Al-Ahli U23,Al-Batin FC,75000.0,,
4,Abdulelah Al-Amri,Al-Nassr FC,€1.20m ,Saudi Arabia,"Jul 1, 2019",,Al-Nassr FC,,,,Saudi Pro League
4,Abdulelah Al-Amri,Al-Nassr FC,€1.20m ,Saudi Arabia,"Jul 1, 2018","Jul 1, 2019",Al-Wehda FC,Al-Nassr FC,50000.0,,Saudi Pro League
4,Abdulelah Al-Amri,Al-Nassr FC,€1.20m ,Saudi Arabia,,"Jul 1, 2018",Al-Nasr U23,Al-Wehda FC,50000.0,,Saudi Pro League
3,Abdullah Madu,Al-Nassr FC,€900k ,Saudi Arabia,"Jan 1, 2012",,Al-Nassr FC,,,,Saudi Pro League
3,Abdullah Madu,Al-Nassr FC,€900k ,Saudi Arabia,,"Jan 1, 2012",Al-Nasr U23,Al-Nassr FC,,,Saudi Pro League
13,Yasser Al-Shahrani,Al-Hilal Saudi FC,€1.50m ,Saudi Arabia,"Jul 1, 2012",,Al-Hilal SFC,,,,Saudi Pro League
13,Yasser Al-Shahrani,Al-Hilal Saudi FC,€1.50m ,Saudi Arabia,"Jul 1, 2010","Jul 1, 2012",Al-Qadsiah FC,Al-Hilal SFC,100000.0,,Saudi Pro League
13,Yasser Al-Shahrani,Al-Hilal Saudi FC,€1.50m ,Saudi Arabia,,"Jul 1, 2010",Al-Qadsiah U23,Al-Qadsiah FC,,,Saudi Pro League
2,Sultan Al-Ghannam,Al-Nassr FC,€2.50m ,Saudi Arabia,"Jul 1, 2018",,Al-Nassr FC,,,,Saudi Pro League
2,Sultan Al-Ghannam,Al-Nassr FC,€2.50m ,Saudi Arabia,"Jul 1, 2016","Jul 1, 2018",Al-Faisaly FC,Al-Nassr FC,225000.0,,Saudi Pro League
2,Sultan Al-Ghannam,Al-Nassr FC,€2.50m ,Saudi Arabia,,"Jul 1, 2016",Al-Faisaly U23,Al-Faisaly FC,,,Saudi Pro League
6,Mohammed Al-Burayk,Al-Hilal Saudi FC,€1.20m ,Saudi Arabia,"Jul 1, 2015",,Al-Hilal SFC,,,,Saudi Pro League
6,Mohammed Al-Burayk,Al-Hilal Saudi FC,€1.20m ,Saudi Arabia,"Jul 15, 2014","Jul 1, 2015",Al-Raed,Al-Hilal SFC,,,Saudi Pro League
6,Mohammed Al-Burayk,Al-Hilal Saudi FC,€1.20m ,Saudi Arabia,"Jul 1, 2014","Jul 15, 2014",Al-Hilal SFC,Al-Raed,,,Saudi Pro League
6,Mohammed Al-Burayk,Al-Hilal Saudi FC,€1.20m ,Saudi Arabia,,"Jul 1, 2014",Al-Hilal U23,Al-Hilal SFC,,,Saudi Pro League
26,Riad Sharahili,Abha Club,€400k ,Saudi Arabia,"Sep 10, 2020",,Abha,,,,Saudi Pro League
26,Riad Sharahili,Abha Club,€400k ,Saudi Arabia,"Jul 12, 2019","Sep 10, 2020",Al-Adalah FC,Abha,150000.0,,Saudi Pro League
