shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
1,Marko Dmitrović,Sevilla FC,€5.00m ,Serbia,"Jul 4, 2021",,Sevilla FC,,,,LaLiga
1,Marko Dmitrović,Sevilla FC,€5.00m ,Serbia,"Jul 1, 2017","Jul 4, 2021",SD Eibar,Sevilla FC,8000000.0,0.0,LaLiga
1,Marko Dmitrović,Sevilla FC,€5.00m ,Serbia,"Jul 7, 2016","Jul 1, 2017",Alcorcón,SD Eibar,1000000.0,1000000.0,LaLiga
1,Marko Dmitrović,Sevilla FC,€5.00m ,Serbia,"Jun 30, 2016","Jul 7, 2016",Charlton,Alcorcón,800000.0,0.0,LaLiga
1,Marko Dmitrović,Sevilla FC,€5.00m ,Serbia,"Jul 27, 2015","Jun 30, 2016",Alcorcón,Charlton,800000.0,,LaLiga
1,Marko Dmitrović,Sevilla FC,€5.00m ,Serbia,"Jan 6, 2015","Jul 27, 2015",Charlton,Alcorcón,300000.0,,LaLiga
1,Marko Dmitrović,Sevilla FC,€5.00m ,Serbia,"Sep 2, 2013","Jan 6, 2015",Újpest FC,Charlton,300000.0,0.0,LaLiga
1,Marko Dmitrović,Sevilla FC,€5.00m ,Serbia,"Feb 1, 2013","Sep 2, 2013",Without Club,Újpest FC,300000.0,,LaLiga
1,Marko Dmitrović,Sevilla FC,€5.00m ,Serbia,"Jul 1, 2010","Feb 1, 2013",Red Star,Without Club,300000.0,,LaLiga
1,Marko Dmitrović,Sevilla FC,€5.00m ,Serbia,"Jul 1, 2009","Jul 1, 2010",Red Star U19,Red Star,,,LaLiga
1,Marko Dmitrović,Sevilla FC,€5.00m ,Serbia,"Jul 1, 2007","Jul 1, 2009",Red Star U17,Red Star U19,,,LaLiga
1,Marko Dmitrović,Sevilla FC,€5.00m ,Serbia,,"Jul 1, 2007",Red Star U15,Red Star U17,,,LaLiga
2,Strahinja Pavlovic,Red Bull Salzburg,€20.00m ,Serbia,"Jul 1, 2022",,RB Salzburg,,,,Bundesliga
2,Strahinja Pavlovic,Red Bull Salzburg,€20.00m ,Serbia,"Jun 30, 2022","Jul 1, 2022",Monaco,RB Salzburg,5000000.0,7000000.0,Bundesliga
2,Strahinja Pavlovic,Red Bull Salzburg,€20.00m ,Serbia,"Feb 15, 2022","Jun 30, 2022",FC Basel,Monaco,5000000.0,,Bundesliga
2,Strahinja Pavlovic,Red Bull Salzburg,€20.00m ,Serbia,"Jun 30, 2021","Feb 15, 2022",Monaco,FC Basel,8000000.0,,Bundesliga
2,Strahinja Pavlovic,Red Bull Salzburg,€20.00m ,Serbia,"Jan 21, 2021","Jun 30, 2021",Cercle Brugge,Monaco,8000000.0,,Bundesliga
2,Strahinja Pavlovic,Red Bull Salzburg,€20.00m ,Serbia,"Jun 30, 2020","Jan 21, 2021",Monaco,Cercle Brugge,8000000.0,,Bundesliga
2,Strahinja Pavlovic,Red Bull Salzburg,€20.00m ,Serbia,"Jan 14, 2020","Jun 30, 2020",Partizan,Monaco,10000000.0,,Bundesliga
2,Strahinja Pavlovic,Red Bull Salzburg,€20.00m ,Serbia,"Jan 1, 2020","Jan 14, 2020",Monaco,Partizan,8000000.0,,Bundesliga
2,Strahinja Pavlovic,Red Bull Salzburg,€20.00m ,Serbia,"Jan 1, 2019","Jan 1, 2020",Partizan,Monaco,8000000.0,10000000.0,Bundesliga
2,Strahinja Pavlovic,Red Bull Salzburg,€20.00m ,Serbia,"Jul 1, 2018","Jan 1, 2019",Partizan U19,Partizan,,,Bundesliga
2,Strahinja Pavlovic,Red Bull Salzburg,€20.00m ,Serbia,"Jun 30, 2017","Jul 1, 2018",Partizan U17,Partizan U19,,,Bundesliga
2,Strahinja Pavlovic,Red Bull Salzburg,€20.00m ,Serbia,"Aug 1, 2016","Jun 30, 2017",Teleoptik U17,Partizan U17,,,Bundesliga
2,Strahinja Pavlovic,Red Bull Salzburg,€20.00m ,Serbia,"Jul 1, 2016","Aug 1, 2016",Partizan U17,Teleoptik U17,,,Bundesliga
2,Strahinja Pavlovic,Red Bull Salzburg,€20.00m ,Serbia,,"Jul 1, 2016",Partizan U15,Partizan U17,,,Bundesliga
3,Strahinja Eraković,Red Star Belgrade,€7.00m ,Serbia,"Jul 1, 2020",,Red Star,,,,Super liga Srbije
3,Strahinja Eraković,Red Star Belgrade,€7.00m ,Serbia,"Jun 30, 2020","Jul 1, 2020",Red Star U19,Red Star,300000.0,,Super liga Srbije
3,Strahinja Eraković,Red Star Belgrade,€7.00m ,Serbia,"Jul 1, 2019","Jun 30, 2020",Graficar,Red Star U19,300000.0,,Super liga Srbije
3,Strahinja Eraković,Red Star Belgrade,€7.00m ,Serbia,"Jul 1, 2018","Jul 1, 2019",Red Star U19,Graficar,50000.0,,Super liga Srbije
3,Strahinja Eraković,Red Star Belgrade,€7.00m ,Serbia,"Jul 1, 2016","Jul 1, 2018",Red Star U17,Red Star U19,,,Super liga Srbije
3,Strahinja Eraković,Red Star Belgrade,€7.00m ,Serbia,,"Jul 1, 2016",Red Star U15,Red Star U17,,,Super liga Srbije
15,Srdjan Babic,UD Almería,€3.00m ,Serbia,"Jul 1, 2022",,UD Almería,,,,LaLiga
15,Srdjan Babic,UD Almería,€3.00m ,Serbia,"Jun 30, 2022","Jul 1, 2022",Red Star,UD Almería,2000000.0,1100000.0,LaLiga
15,Srdjan Babic,UD Almería,€3.00m ,Serbia,"Aug 30, 2021","Jun 30, 2022",UD Almería,Red Star,2000000.0,,LaLiga
15,Srdjan Babic,UD Almería,€3.00m ,Serbia,"Jun 30, 2021","Aug 30, 2021",Red Star,UD Almería,1500000.0,,LaLiga
15,Srdjan Babic,UD Almería,€3.00m ,Serbia,"Aug 31, 2020","Jun 30, 2021",Famalicão,Red Star,1500000.0,,LaLiga
15,Srdjan Babic,UD Almería,€3.00m ,Serbia,"Jul 1, 2018","Aug 31, 2020",Red Star,Famalicão,1400000.0,,LaLiga
15,Srdjan Babic,UD Almería,€3.00m ,Serbia,"Jun 30, 2018","Jul 1, 2018",Real Sociedad,Red Star,850000.0,800000.0,LaLiga
15,Srdjan Babic,UD Almería,€3.00m ,Serbia,"Jul 1, 2017","Jun 30, 2018",Red Star,Real Sociedad,850000.0,,LaLiga
15,Srdjan Babic,UD Almería,€3.00m ,Serbia,"Jun 30, 2017","Jul 1, 2017",Real Sociedad,Red Star,600000.0,,LaLiga
15,Srdjan Babic,UD Almería,€3.00m ,Serbia,"Aug 31, 2016","Jun 30, 2017",Reus Deportiu,Real Sociedad,600000.0,,LaLiga
15,Srdjan Babic,UD Almería,€3.00m ,Serbia,"Jul 8, 2015","Aug 31, 2016",Real Sociedad B,Reus Deportiu,1000000.0,,LaLiga
15,Srdjan Babic,UD Almería,€3.00m ,Serbia,"Feb 1, 2014","Jul 8, 2015",Vojvodina,Real Sociedad B,1250000.0,1000000.0,LaLiga
15,Srdjan Babic,UD Almería,€3.00m ,Serbia,"Jul 1, 2013","Feb 1, 2014",Vojvodina U19,Vojvodina,,,LaLiga
15,Srdjan Babic,UD Almería,€3.00m ,Serbia,"Jul 1, 2012","Jul 1, 2013",Vojvodina U17,Vojvodina U19,,,LaLiga
15,Srdjan Babic,UD Almería,€3.00m ,Serbia,"Jul 1, 2011","Jul 1, 2012",Vojvodina U15,Vojvodina U17,,,LaLiga
15,Srdjan Babic,UD Almería,€3.00m ,Serbia,,"Jul 1, 2011",Banja Luka Yth,Vojvodina U15,,0.0,LaLiga
26,Marko Grujić,FC Porto,€9.00m ,Serbia,"Jul 1, 2022",,FC Porto,,,,Liga Portugal
26,Marko Grujić,FC Porto,€9.00m ,Serbia,"Jun 30, 2022","Jul 1, 2022",Liverpool,FC Porto,12000000.0,9000000.0,Liga Portugal
26,Marko Grujić,FC Porto,€9.00m ,Serbia,"Jul 20, 2021","Jun 30, 2022",FC Porto,Liverpool,12000000.0,,Liga Portugal
26,Marko Grujić,FC Porto,€9.00m ,Serbia,"Jun 30, 2021","Jul 20, 2021",Liverpool,FC Porto,15000000.0,,Liga Portugal
26,Marko Grujić,FC Porto,€9.00m ,Serbia,"Oct 6, 2020","Jun 30, 2021",FC Porto,Liverpool,15000000.0,,Liga Portugal
26,Marko Grujić,FC Porto,€9.00m ,Serbia,"Jun 30, 2020","Oct 6, 2020",Liverpool,FC Porto,14500000.0,,Liga Portugal
26,Marko Grujić,FC Porto,€9.00m ,Serbia,"Jul 1, 2019","Jun 30, 2020",Hertha BSC,Liverpool,14500000.0,,Liga Portugal
26,Marko Grujić,FC Porto,€9.00m ,Serbia,"Jun 30, 2019","Jul 1, 2019",Liverpool,Hertha BSC,20000000.0,,Liga Portugal
26,Marko Grujić,FC Porto,€9.00m ,Serbia,"Aug 19, 2018","Jun 30, 2019",Hertha BSC,Liverpool,20000000.0,,Liga Portugal
26,Marko Grujić,FC Porto,€9.00m ,Serbia,"May 31, 2018","Aug 19, 2018",Liverpool,Hertha BSC,5000000.0,,Liga Portugal
26,Marko Grujić,FC Porto,€9.00m ,Serbia,"Jan 17, 2018","May 31, 2018",Cardiff,Liverpool,5000000.0,,Liga Portugal
26,Marko Grujić,FC Porto,€9.00m ,Serbia,"Jun 30, 2016","Jan 17, 2018",Liverpool,Cardiff,5000000.0,,Liga Portugal
26,Marko Grujić,FC Porto,€9.00m ,Serbia,"Jan 7, 2016","Jun 30, 2016",Red Star,Liverpool,5000000.0,,Liga Portugal
26,Marko Grujić,FC Porto,€9.00m ,Serbia,"Jan 6, 2016","Jan 7, 2016",Liverpool,Red Star,3000000.0,,Liga Portugal
26,Marko Grujić,FC Porto,€9.00m ,Serbia,"Dec 31, 2014","Jan 6, 2016",Red Star,Liverpool,3000000.0,7000000.0,Liga Portugal
26,Marko Grujić,FC Porto,€9.00m ,Serbia,"Sep 1, 2014","Dec 31, 2014",Kolubara,Red Star,,,Liga Portugal
26,Marko Grujić,FC Porto,€9.00m ,Serbia,"Jul 1, 2014","Sep 1, 2014",Red Star,Kolubara,,,Liga Portugal
26,Marko Grujić,FC Porto,€9.00m ,Serbia,"Jul 1, 2011","Jul 1, 2014",Red Star U19,Red Star,,,Liga Portugal
26,Marko Grujić,FC Porto,€9.00m ,Serbia,"Jul 1, 2009","Jul 1, 2011",Red Star U17,Red Star U19,,,Liga Portugal
26,Marko Grujić,FC Porto,€9.00m ,Serbia,,"Jul 1, 2009",Red Star U15,Red Star U17,,,Liga Portugal
8,Nemanja Gudelj,Sevilla FC,€4.00m ,Serbia,"Jul 23, 2019",,Sevilla FC,,,,LaLiga
8,Nemanja Gudelj,Sevilla FC,€4.00m ,Serbia,"Jun 30, 2019","Jul 23, 2019",GZ Evergrande,Sevilla FC,6500000.0,0.0,LaLiga
8,Nemanja Gudelj,Sevilla FC,€4.00m ,Serbia,"Aug 23, 2018","Jun 30, 2019",Sporting CP,GZ Evergrande,6500000.0,,LaLiga
8,Nemanja Gudelj,Sevilla FC,€4.00m ,Serbia,"Jan 28, 2018","Aug 23, 2018",GZ Evergrande,Sporting CP,5000000.0,,LaLiga
8,Nemanja Gudelj,Sevilla FC,€4.00m ,Serbia,"Jan 25, 2017","Jan 28, 2018",TJ Teda,GZ Evergrande,5000000.0,4300000.0,LaLiga
8,Nemanja Gudelj,Sevilla FC,€4.00m ,Serbia,"Jul 1, 2015","Jan 25, 2017",Ajax,TJ Teda,6500000.0,5500000.0,LaLiga
8,Nemanja Gudelj,Sevilla FC,€4.00m ,Serbia,"Jul 1, 2013","Jul 1, 2015",AZ Alkmaar,Ajax,6000000.0,6000000.0,LaLiga
8,Nemanja Gudelj,Sevilla FC,€4.00m ,Serbia,"Jul 1, 2009","Jul 1, 2013",NAC Breda,AZ Alkmaar,3000000.0,3000000.0,LaLiga
8,Nemanja Gudelj,Sevilla FC,€4.00m ,Serbia,,"Jul 1, 2009",NAC Breda U19,NAC Breda,,,LaLiga
16,Saša Lukić,Torino FC,€13.00m ,Serbia,"Jun 30, 2018",,Torino,,,,Serie A
16,Saša Lukić,Torino FC,€13.00m ,Serbia,"Aug 15, 2017","Jun 30, 2018",Levante,Torino,1500000.0,,Serie A
16,Saša Lukić,Torino FC,€13.00m ,Serbia,"Jul 29, 2016","Aug 15, 2017",Torino,Levante,2200000.0,,Serie A
16,Saša Lukić,Torino FC,€13.00m ,Serbia,"Jun 30, 2014","Jul 29, 2016",Partizan,Torino,700000.0,1700000.0,Serie A
16,Saša Lukić,Torino FC,€13.00m ,Serbia,"Aug 13, 2013","Jun 30, 2014",Teleoptik,Partizan,,,Serie A
16,Saša Lukić,Torino FC,€13.00m ,Serbia,"Aug 12, 2013","Aug 13, 2013",Partizan,Teleoptik,,,Serie A
16,Saša Lukić,Torino FC,€13.00m ,Serbia,,"Aug 12, 2013",Partizan U19,Partizan,,,Serie A
6,Nemanja Maksimović,Getafe CF,€10.00m ,Serbia,"Jul 16, 2018",,Getafe,,,,LaLiga
6,Nemanja Maksimović,Getafe CF,€10.00m ,Serbia,"Jul 1, 2017","Jul 16, 2018",Valencia,Getafe,5000000.0,10000000.0,LaLiga
6,Nemanja Maksimović,Getafe CF,€10.00m ,Serbia,"Feb 7, 2015","Jul 1, 2017",FC Astana,Valencia,3000000.0,0.0,LaLiga
6,Nemanja Maksimović,Getafe CF,€10.00m ,Serbia,"Sep 27, 2013","Feb 7, 2015",NK Domzale,FC Astana,500000.0,2000000.0,LaLiga
6,Nemanja Maksimović,Getafe CF,€10.00m ,Serbia,"Jan 16, 2013","Sep 27, 2013",Verona U19,NK Domzale,,0.0,LaLiga
6,Nemanja Maksimović,Getafe CF,€10.00m ,Serbia,"Jul 1, 2012","Jan 16, 2013",Red Star U19,Verona U19,,0.0,LaLiga
6,Nemanja Maksimović,Getafe CF,€10.00m ,Serbia,,"Jul 1, 2012",Red Star U17,Red Star U19,,,LaLiga
22,Darko Lazović,Hellas Verona,€2.50m ,Serbia,"Aug 6, 2019",,Hellas Verona,,,,Serie A
22,Darko Lazović,Hellas Verona,€2.50m ,Serbia,"Jul 1, 2015","Aug 6, 2019",Genoa,Hellas Verona,3000000.0,0.0,Serie A
22,Darko Lazović,Hellas Verona,€2.50m ,Serbia,"Jul 1, 2009","Jul 1, 2015",Red Star,Genoa,3000000.0,0.0,Serie A
22,Darko Lazović,Hellas Verona,€2.50m ,Serbia,"Jan 1, 2008","Jul 1, 2009",Borac Cacak,Red Star,800000.0,472000.0,Serie A
22,Darko Lazović,Hellas Verona,€2.50m ,Serbia,,"Jan 1, 2008",Borac Cacak U19,Borac Cacak,,,Serie A
21,Filip Djuricic,UC Sampdoria,€2.50m ,Serbia,"Aug 1, 2022",,Sampdoria,,,,Serie A
21,Filip Djuricic,UC Sampdoria,€2.50m ,Serbia,"Jul 1, 2018","Aug 1, 2022",Sassuolo,Sampdoria,4000000.0,0.0,Serie A
21,Filip Djuricic,UC Sampdoria,€2.50m ,Serbia,"Jun 30, 2018","Jul 1, 2018",Sampdoria,Sassuolo,1500000.0,0.0,Serie A
21,Filip Djuricic,UC Sampdoria,€2.50m ,Serbia,"Jan 18, 2018","Jun 30, 2018",Benevento,Sampdoria,1500000.0,,Serie A
21,Filip Djuricic,UC Sampdoria,€2.50m ,Serbia,"Jan 30, 2017","Jan 18, 2018",Sampdoria,Benevento,1500000.0,,Serie A
21,Filip Djuricic,UC Sampdoria,€2.50m ,Serbia,"Jan 29, 2017","Jan 30, 2017",Benfica,Sampdoria,3000000.0,0.0,Serie A
21,Filip Djuricic,UC Sampdoria,€2.50m ,Serbia,"Jul 22, 2016","Jan 29, 2017",Sampdoria,Benfica,3000000.0,,Serie A
21,Filip Djuricic,UC Sampdoria,€2.50m ,Serbia,"Jun 30, 2016","Jul 22, 2016",Benfica,Sampdoria,4000000.0,,Serie A
21,Filip Djuricic,UC Sampdoria,€2.50m ,Serbia,"Jan 25, 2016","Jun 30, 2016",RSC Anderlecht,Benfica,4500000.0,,Serie A
21,Filip Djuricic,UC Sampdoria,€2.50m ,Serbia,"Jun 30, 2015","Jan 25, 2016",Benfica,RSC Anderlecht,5000000.0,,Serie A
21,Filip Djuricic,UC Sampdoria,€2.50m ,Serbia,"Feb 2, 2015","Jun 30, 2015",Southampton,Benfica,5000000.0,,Serie A
21,Filip Djuricic,UC Sampdoria,€2.50m ,Serbia,"Feb 1, 2015","Feb 2, 2015",Benfica,Southampton,5000000.0,,Serie A
21,Filip Djuricic,UC Sampdoria,€2.50m ,Serbia,"Jul 23, 2014","Feb 1, 2015",1.FSV Mainz 05,Benfica,5000000.0,,Serie A
21,Filip Djuricic,UC Sampdoria,€2.50m ,Serbia,"Jul 1, 2013","Jul 23, 2014",Benfica,1.FSV Mainz 05,7000000.0,,Serie A
21,Filip Djuricic,UC Sampdoria,€2.50m ,Serbia,"Jan 1, 2010","Jul 1, 2013",Heerenveen,Benfica,7000000.0,8000000.0,Serie A
21,Filip Djuricic,UC Sampdoria,€2.50m ,Serbia,"Jul 1, 2008","Jan 1, 2010",Radnicki Obrenovac,Heerenveen,,0.0,Serie A
21,Filip Djuricic,UC Sampdoria,€2.50m ,Serbia,"Jul 1, 2007","Jul 1, 2008",Olympiacos U17,Radnicki Obrenovac,,0.0,Serie A
21,Filip Djuricic,UC Sampdoria,€2.50m ,Serbia,,"Jul 1, 2007",Red Star U17,Olympiacos U17,,0.0,Serie A
7,Nemanja Radonjić,Torino FC,€4.00m ,Serbia,"Jun 30, 2023",,Marseille,,,,Serie A
7,Nemanja Radonjić,Torino FC,€4.00m ,Serbia,"Jul 7, 2022","Jun 30, 2023",Torino,Marseille,4000000.0,,Serie A
7,Nemanja Radonjić,Torino FC,€4.00m ,Serbia,"Jun 30, 2022","Jul 7, 2022",Marseille,Torino,4000000.0,,Serie A
7,Nemanja Radonjić,Torino FC,€4.00m ,Serbia,"Aug 23, 2021","Jun 30, 2022",Benfica,Marseille,4000000.0,,Serie A
7,Nemanja Radonjić,Torino FC,€4.00m ,Serbia,"Jun 30, 2021","Aug 23, 2021",Marseille,Benfica,6000000.0,,Serie A
7,Nemanja Radonjić,Torino FC,€4.00m ,Serbia,"Feb 1, 2021","Jun 30, 2021",Hertha BSC,Marseille,6000000.0,,Serie A
7,Nemanja Radonjić,Torino FC,€4.00m ,Serbia,"Aug 30, 2018","Feb 1, 2021",Marseille,Hertha BSC,4500000.0,,Serie A
7,Nemanja Radonjić,Torino FC,€4.00m ,Serbia,"Jul 21, 2017","Aug 30, 2018",Red Star,Marseille,6000000.0,12000000.0,Serie A
7,Nemanja Radonjić,Torino FC,€4.00m ,Serbia,"Jun 30, 2017","Jul 21, 2017",AS Roma,Red Star,300000.0,3000000.0,Serie A
7,Nemanja Radonjić,Torino FC,€4.00m ,Serbia,"Jan 1, 2016","Jun 30, 2017",Čukarički,AS Roma,300000.0,,Serie A
7,Nemanja Radonjić,Torino FC,€4.00m ,Serbia,"Jul 1, 2015","Jan 1, 2016",AS Roma,Čukarički,50000.0,,Serie A
7,Nemanja Radonjić,Torino FC,€4.00m ,Serbia,"Sep 1, 2014","Jul 1, 2015",Empoli U19,AS Roma,50000.0,4000000.0,Serie A
7,Nemanja Radonjić,Torino FC,€4.00m ,Serbia,"Feb 16, 2014","Sep 1, 2014",Academia Hagi,Empoli U19,,0.0,Serie A
7,Nemanja Radonjić,Torino FC,€4.00m ,Serbia,"Feb 1, 2014","Feb 16, 2014",Roma U19,Academia Hagi,,,Serie A
7,Nemanja Radonjić,Torino FC,€4.00m ,Serbia,"Oct 1, 2013","Feb 1, 2014",Academia Hagi,Roma U19,,,Serie A
7,Nemanja Radonjić,Torino FC,€4.00m ,Serbia,"Jul 1, 2011","Oct 1, 2013",Partizan U17,Academia Hagi,,0.0,Serie A
7,Nemanja Radonjić,Torino FC,€4.00m ,Serbia,,"Jul 1, 2011",Partizan U15,Partizan U17,,,Serie A
18,Dušan Vlahović,Juventus FC,€80.00m ,Serbia,"Jan 28, 2022",,Juventus,,,,Serie A
18,Dušan Vlahović,Juventus FC,€80.00m ,Serbia,"Jul 1, 2018","Jan 28, 2022",Fiorentina,Juventus,70000000.0,81600000.0,Serie A
18,Dušan Vlahović,Juventus FC,€80.00m ,Serbia,"Jan 1, 2016","Jul 1, 2018",Partizan,Fiorentina,1000000.0,3200000.0,Serie A
18,Dušan Vlahović,Juventus FC,€80.00m ,Serbia,"Jul 1, 2015","Jan 1, 2016",Partizan U19,Partizan,50000.0,,Serie A
18,Dušan Vlahović,Juventus FC,€80.00m ,Serbia,,"Jul 1, 2015",Partizan U17,Partizan U19,50000.0,,Serie A
11,Luka Jović,ACF Fiorentina,€14.00m ,Serbia,"Jul 8, 2022",,Fiorentina,,,,Serie A
11,Luka Jović,ACF Fiorentina,€14.00m ,Serbia,"Jun 30, 2021","Jul 8, 2022",Real Madrid,Fiorentina,16000000.0,0.0,Serie A
11,Luka Jović,ACF Fiorentina,€14.00m ,Serbia,"Jan 14, 2021","Jun 30, 2021",E. Frankfurt,Real Madrid,20000000.0,,Serie A
11,Luka Jović,ACF Fiorentina,€14.00m ,Serbia,"Jul 2, 2019","Jan 14, 2021",Real Madrid,E. Frankfurt,20000000.0,,Serie A
11,Luka Jović,ACF Fiorentina,€14.00m ,Serbia,"Jul 1, 2019","Jul 2, 2019",E. Frankfurt,Real Madrid,60000000.0,63000000.0,Serie A
11,Luka Jović,ACF Fiorentina,€14.00m ,Serbia,"Jun 30, 2019","Jul 1, 2019",Benfica,E. Frankfurt,60000000.0,22340000.0,Serie A
11,Luka Jović,ACF Fiorentina,€14.00m ,Serbia,"Jul 1, 2017","Jun 30, 2019",E. Frankfurt,Benfica,60000000.0,,Serie A
11,Luka Jović,ACF Fiorentina,€14.00m ,Serbia,"Jan 31, 2016","Jul 1, 2017",Benfica,E. Frankfurt,2000000.0,,Serie A
11,Luka Jović,ACF Fiorentina,€14.00m ,Serbia,"Jan 25, 2016","Jan 31, 2016",Apol. Limassol,Benfica,1750000.0,6600000.0,Serie A
11,Luka Jović,ACF Fiorentina,€14.00m ,Serbia,"Jul 1, 2014","Jan 25, 2016",Red Star,Apol. Limassol,1750000.0,2000000.0,Serie A
