shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
23,Unai Simón,Athletic Bilbao,€25.00m ,Spain,"Jul 1, 2018",,Athletic,,,,LaLiga
23,Unai Simón,Athletic Bilbao,€25.00m ,Spain,"Jul 1, 2016","Jul 1, 2018",Bilbao Athletic,Athletic,500000.0,,LaLiga
23,Unai Simón,Athletic Bilbao,€25.00m ,Spain,"Jul 1, 2014","Jul 1, 2016",CD Basconia,Bilbao Athletic,100000.0,,LaLiga
23,Unai Simón,Athletic Bilbao,€25.00m ,Spain,,"Jul 1, 2014",Bilbao Youth,CD Basconia,,,LaLiga
4,Pau Torres,Villarreal CF,€50.00m ,Spain,"Jun 30, 2019",,Villarreal,,,,LaLiga
4,Pau Torres,Villarreal CF,€50.00m ,Spain,"Aug 6, 2018","Jun 30, 2019",Málaga CF,Villarreal,4000000.0,,LaLiga
4,Pau Torres,Villarreal CF,€50.00m ,Spain,"Jul 1, 2018","Aug 6, 2018",Villarreal,Málaga CF,500000.0,,LaLiga
4,Pau Torres,Villarreal CF,€50.00m ,Spain,"Jul 1, 2016","Jul 1, 2018",Villarreal CF B,Villarreal,500000.0,,LaLiga
4,Pau Torres,Villarreal CF,€50.00m ,Spain,"Jul 1, 2014","Jul 1, 2016",Villarreal U19,Villarreal CF B,,,LaLiga
4,Pau Torres,Villarreal CF,€50.00m ,Spain,,"Jul 1, 2014",Villarreal Yth.,Villarreal U19,,,LaLiga
3,Eric García,FC Barcelona,€18.00m ,Spain,"Jul 1, 2021",,Barcelona,,,,LaLiga
3,Eric García,FC Barcelona,€18.00m ,Spain,"Jul 1, 2019","Jul 1, 2021",Man City,Barcelona,20000000.0,0.0,LaLiga
3,Eric García,FC Barcelona,€18.00m ,Spain,"Jul 1, 2018","Jul 1, 2019",Man City U23,Man City,,,LaLiga
3,Eric García,FC Barcelona,€18.00m ,Spain,"Jul 1, 2017","Jul 1, 2018",Man City U18,Man City U23,,,LaLiga
3,Eric García,FC Barcelona,€18.00m ,Spain,"Jul 1, 2016","Jul 1, 2017",Barça U16,Man City U18,,1700000.0,LaLiga
3,Eric García,FC Barcelona,€18.00m ,Spain,,"Jul 1, 2016",Barça Youth,Barça U16,,,LaLiga
18,Jordi Alba,FC Barcelona,€5.00m ,Spain,"Jul 1, 2012",,Barcelona,,,,LaLiga
18,Jordi Alba,FC Barcelona,€5.00m ,Spain,"Jun 30, 2009","Jul 1, 2012",Valencia,Barcelona,10000000.0,14000000.0,LaLiga
18,Jordi Alba,FC Barcelona,€5.00m ,Spain,"Jul 22, 2008","Jun 30, 2009",Gimnàstic,Valencia,600000.0,,LaLiga
18,Jordi Alba,FC Barcelona,€5.00m ,Spain,"Jul 1, 2008","Jul 22, 2008",Valencia,Gimnàstic,,,LaLiga
18,Jordi Alba,FC Barcelona,€5.00m ,Spain,"Jul 1, 2007","Jul 1, 2008",Valencia B,Valencia,,,LaLiga
18,Jordi Alba,FC Barcelona,€5.00m ,Spain,"Jul 1, 2005","Jul 1, 2007",Cornellà U19,Valencia B,,6000.0,LaLiga
18,Jordi Alba,FC Barcelona,€5.00m ,Spain,"Jul 1, 2004","Jul 1, 2005",Barça U18,Cornellà U19,,0.0,LaLiga
18,Jordi Alba,FC Barcelona,€5.00m ,Spain,"Jul 1, 2003","Jul 1, 2004",Barça U16,Barça U18,,,LaLiga
18,Jordi Alba,FC Barcelona,€5.00m ,Spain,,"Jul 1, 2003",Barça Youth,Barça U16,,,LaLiga
2,César Azpilicueta,Chelsea FC,€8.00m ,Spain,"Aug 24, 2012",,Chelsea,,,,Premier League
2,César Azpilicueta,Chelsea FC,€8.00m ,Spain,"Jul 1, 2010","Aug 24, 2012",Marseille,Chelsea,7500000.0,8800000.0,Premier League
2,César Azpilicueta,Chelsea FC,€8.00m ,Spain,"Jul 1, 2007","Jul 1, 2010",CA Osasuna,Marseille,7000000.0,6000000.0,Premier League
2,César Azpilicueta,Chelsea FC,€8.00m ,Spain,"Jul 1, 2006","Jul 1, 2007",CA Osasuna Prom,CA Osasuna,,,Premier League
2,César Azpilicueta,Chelsea FC,€8.00m ,Spain,,"Jul 1, 2006",CA Osasuna Yout,CA Osasuna Prom,,,Premier League
15,Hugo Guillamón,Valencia CF,€25.00m ,Spain,"Jul 1, 2020",,Valencia,,,,LaLiga
15,Hugo Guillamón,Valencia CF,€25.00m ,Spain,"Jul 1, 2018","Jul 1, 2020",Valencia B,Valencia,200000.0,,LaLiga
15,Hugo Guillamón,Valencia CF,€25.00m ,Spain,"Jul 1, 2017","Jul 1, 2018",Valencia U19,Valencia B,50000.0,,LaLiga
15,Hugo Guillamón,Valencia CF,€25.00m ,Spain,,"Jul 1, 2017",Valencia CF You,Valencia U19,,,LaLiga
26,Pedri,FC Barcelona,€100.00m ,Spain,"Jul 31, 2020",,Barcelona,,,,LaLiga
26,Pedri,FC Barcelona,€100.00m ,Spain,"Sep 3, 2019","Jul 31, 2020",UD Las Palmas,Barcelona,7200000.0,,LaLiga
26,Pedri,FC Barcelona,€100.00m ,Spain,"Sep 2, 2019","Sep 3, 2019",Barcelona,UD Las Palmas,,,LaLiga
26,Pedri,FC Barcelona,€100.00m ,Spain,"Jul 1, 2019","Sep 2, 2019",UD Las Palmas,Barcelona,,17500000.0,LaLiga
26,Pedri,FC Barcelona,€100.00m ,Spain,"May 20, 2018","Jul 1, 2019",Las Palmas U19,UD Las Palmas,,,LaLiga
26,Pedri,FC Barcelona,€100.00m ,Spain,,"May 20, 2018",J.Laguna Yth.,Las Palmas U19,,,LaLiga
6,Marcos Llorente,Atlético de Madrid,€35.00m ,Spain,"Jul 1, 2019",,Atlético Madrid,,,,LaLiga
6,Marcos Llorente,Atlético de Madrid,€35.00m ,Spain,"Jun 30, 2017","Jul 1, 2019",Real Madrid,Atlético Madrid,20000000.0,30000000.0,LaLiga
6,Marcos Llorente,Atlético de Madrid,€35.00m ,Spain,"Aug 10, 2016","Jun 30, 2017",Alavés,Real Madrid,15000000.0,,LaLiga
6,Marcos Llorente,Atlético de Madrid,€35.00m ,Spain,"Jul 1, 2016","Aug 10, 2016",Real Madrid,Alavés,800000.0,,LaLiga
6,Marcos Llorente,Atlético de Madrid,€35.00m ,Spain,"Jul 1, 2014","Jul 1, 2016",RM Castilla,Real Madrid,,,LaLiga
6,Marcos Llorente,Atlético de Madrid,€35.00m ,Spain,"Jul 1, 2013","Jul 1, 2014",Real Madrid U19,RM Castilla,200000.0,,LaLiga
6,Marcos Llorente,Atlético de Madrid,€35.00m ,Spain,"Jul 1, 2012","Jul 1, 2013",Real Madrid U18,Real Madrid U19,,,LaLiga
6,Marcos Llorente,Atlético de Madrid,€35.00m ,Spain,"Jul 1, 2011","Jul 1, 2012",Real Madrid U17,Real Madrid U18,,,LaLiga
6,Marcos Llorente,Atlético de Madrid,€35.00m ,Spain,"Jul 1, 2008","Jul 1, 2011",R.Madrid Yth.,Real Madrid U17,,,LaLiga
6,Marcos Llorente,Atlético de Madrid,€35.00m ,Spain,,"Jul 1, 2008",CF Rayo Majadaho,R.Madrid Yth.,,0.0,LaLiga
8,Koke,Atlético de Madrid,€18.00m ,Spain,"Jan 1, 2011",,Atlético Madrid,,,,LaLiga
