shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
12,Jonas Omlin,Montpellier HSC,€7.00m ,Switzerland,"Aug 15, 2020",,Montpellier,,,,Ligue 1
12,Jonas Omlin,Montpellier HSC,€7.00m ,Switzerland,"Jul 1, 2018","Aug 15, 2020",FC Basel,Montpellier,4800000.0,6000000.0,Ligue 1
12,Jonas Omlin,Montpellier HSC,€7.00m ,Switzerland,"Jun 30, 2016","Jul 1, 2018",FC Luzern,FC Basel,1000000.0,2000000.0,Ligue 1
12,Jonas Omlin,Montpellier HSC,€7.00m ,Switzerland,"Jul 6, 2015","Jun 30, 2016",Le Mont LS,FC Luzern,100000.0,,Ligue 1
12,Jonas Omlin,Montpellier HSC,€7.00m ,Switzerland,"Jul 1, 2014","Jul 6, 2015",FC Luzern,Le Mont LS,100000.0,,Ligue 1
12,Jonas Omlin,Montpellier HSC,€7.00m ,Switzerland,"Jul 1, 2012","Jul 1, 2014",SC Kriens,FC Luzern,,0.0,Ligue 1
12,Jonas Omlin,Montpellier HSC,€7.00m ,Switzerland,,"Jul 1, 2012",Luzern U21,SC Kriens,,,Ligue 1
24,Philipp Köhn,Red Bull Salzburg,€4.00m ,Switzerland,"Jun 30, 2021",,RB Salzburg,,,,Bundesliga
24,Philipp Köhn,Red Bull Salzburg,€4.00m ,Switzerland,"Jul 29, 2020","Jun 30, 2021",FC Wil 1900,RB Salzburg,400000.0,,Bundesliga
24,Philipp Köhn,Red Bull Salzburg,€4.00m ,Switzerland,"Jul 6, 2018","Jul 29, 2020",RB Salzburg,FC Wil 1900,300000.0,,Bundesliga
24,Philipp Köhn,Red Bull Salzburg,€4.00m ,Switzerland,"Jul 1, 2017","Jul 6, 2018",RB Leipzig,RB Salzburg,100000.0,900000.0,Bundesliga
24,Philipp Köhn,Red Bull Salzburg,€4.00m ,Switzerland,"Jul 1, 2015","Jul 1, 2017",Stuttgart U19,RB Leipzig,,0.0,Bundesliga
