shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
22,Bechir Ben Said,US Monastir,€900k ,Tunisia,"Jul 1, 2018",,US Monastir,,,,Ligue I Pro
22,Bechir Ben Said,US Monastir,€900k ,Tunisia,"Jul 1, 2014","Jul 1, 2018",AS Gabès,US Monastir,75000.0,,Ligue I Pro
22,Bechir Ben Said,US Monastir,€900k ,Tunisia,,"Jul 1, 2014",AS Gabès U19,AS Gabès,,,Ligue I Pro
1,Aymen Balbouli,Etoile Sportive du Sahel,€50k ,Tunisia,"Jan 30, 2020",,ES Sahel,,,,Ligue I Pro
1,Aymen Balbouli,Etoile Sportive du Sahel,€50k ,Tunisia,"Jul 1, 2019","Jan 30, 2020",Al-Adalah FC,ES Sahel,500000.0,0.0,Ligue I Pro
1,Aymen Balbouli,Etoile Sportive du Sahel,€50k ,Tunisia,"Jul 23, 2018","Jul 1, 2019",Club Africain,Al-Adalah FC,350000.0,,Ligue I Pro
1,Aymen Balbouli,Etoile Sportive du Sahel,€50k ,Tunisia,"Jan 27, 2018","Jul 23, 2018",Al-Batin FC,Club Africain,700000.0,0.0,Ligue I Pro
1,Aymen Balbouli,Etoile Sportive du Sahel,€50k ,Tunisia,"Jul 1, 2003","Jan 27, 2018",ES Sahel,Al-Batin FC,900000.0,,Ligue I Pro
1,Aymen Balbouli,Etoile Sportive du Sahel,€50k ,Tunisia,"Jul 1, 2002","Jul 1, 2003",Club Africain,ES Sahel,,40000.0,Ligue I Pro
1,Aymen Balbouli,Etoile Sportive du Sahel,€50k ,Tunisia,,"Jul 1, 2002",C. Africain U19,Club Africain,,,Ligue I Pro
6,Dylan Bronn,US Salernitana 1919,€3.00m ,Tunisia,"Aug 12, 2022",,Salernitana,,,,Serie A
6,Dylan Bronn,US Salernitana 1919,€3.00m ,Tunisia,"Jan 3, 2020","Aug 12, 2022",FC Metz,Salernitana,4000000.0,1000000.0,Serie A
6,Dylan Bronn,US Salernitana 1919,€3.00m ,Tunisia,"Jul 31, 2017","Jan 3, 2020",KAA Gent,FC Metz,5000000.0,4000000.0,Serie A
6,Dylan Bronn,US Salernitana 1919,€3.00m ,Tunisia,"Jul 17, 2016","Jul 31, 2017",Chamois Niort,KAA Gent,800000.0,1000000.0,Serie A
6,Dylan Bronn,US Salernitana 1919,€3.00m ,Tunisia,"Jul 1, 2013","Jul 17, 2016",Cannes,Chamois Niort,,0.0,Serie A
6,Dylan Bronn,US Salernitana 1919,€3.00m ,Tunisia,,"Jul 1, 2013",AS Cannes U19,Cannes,,,Serie A
5,Nader Ghandri,Club Africain Tunis,€650k ,Tunisia,"Aug 30, 2021",,Club Africain,,,,Ligue I Pro
5,Nader Ghandri,Club Africain Tunis,€650k ,Tunisia,"Jun 30, 2021","Aug 30, 2021",KVC Westerlo,Club Africain,300000.0,,Ligue I Pro
5,Nader Ghandri,Club Africain Tunis,€650k ,Tunisia,"Feb 10, 2021","Jun 30, 2021",Slavia Sofia,KVC Westerlo,300000.0,,Ligue I Pro
5,Nader Ghandri,Club Africain Tunis,€650k ,Tunisia,"Jan 1, 2020","Feb 10, 2021",KVC Westerlo,Slavia Sofia,250000.0,,Ligue I Pro
5,Nader Ghandri,Club Africain Tunis,€650k ,Tunisia,"Jun 30, 2019","Jan 1, 2020",Royal Antwerp,KVC Westerlo,350000.0,0.0,Ligue I Pro
5,Nader Ghandri,Club Africain Tunis,€650k ,Tunisia,"Aug 31, 2018","Jun 30, 2019",KVC Westerlo,Royal Antwerp,400000.0,,Ligue I Pro
5,Nader Ghandri,Club Africain Tunis,€650k ,Tunisia,"Aug 11, 2017","Aug 31, 2018",Royal Antwerp,KVC Westerlo,300000.0,,Ligue I Pro
5,Nader Ghandri,Club Africain Tunis,€650k ,Tunisia,"Jul 7, 2014","Aug 11, 2017",Club Africain,Royal Antwerp,300000.0,317000.0,Ligue I Pro
5,Nader Ghandri,Club Africain Tunis,€650k ,Tunisia,"Jul 1, 2013","Jul 7, 2014",AC Arles,Club Africain,100000.0,0.0,Ligue I Pro
5,Nader Ghandri,Club Africain Tunis,€650k ,Tunisia,"Jul 1, 2012","Jul 1, 2013",JA Drancy,AC Arles,,0.0,Ligue I Pro
5,Nader Ghandri,Club Africain Tunis,€650k ,Tunisia,,"Jul 1, 2012",JA Drancy U19,JA Drancy,,,Ligue I Pro
12,Ali Maâloul,El Ahly Cairo,€1.50m ,Tunisia,"Jul 25, 2016",,El Ahly,,,,Premier League
12,Ali Maâloul,El Ahly Cairo,€1.50m ,Tunisia,"Jul 1, 2008","Jul 25, 2016",CS Sfaxien,El Ahly,1000000.0,730000.0,Premier League
12,Ali Maâloul,El Ahly Cairo,€1.50m ,Tunisia,,"Jul 1, 2008",CS Sfaxien U21,CS Sfaxien,,,Premier League
20,Mohamed Dräger,FC Luzern,€1.30m ,Tunisia,"Jun 30, 2023",,Nottm Forest,,,,Super League
20,Mohamed Dräger,FC Luzern,€1.30m ,Tunisia,"Feb 2, 2022","Jun 30, 2023",FC Luzern,Nottm Forest,1300000.0,,Super League
20,Mohamed Dräger,FC Luzern,€1.30m ,Tunisia,"Aug 31, 2021","Feb 2, 2022",Nottm Forest,FC Luzern,800000.0,,Super League
20,Mohamed Dräger,FC Luzern,€1.30m ,Tunisia,"Sep 27, 2020","Aug 31, 2021",Olympiacos,Nottm Forest,1000000.0,,Super League
20,Mohamed Dräger,FC Luzern,€1.30m ,Tunisia,"Jun 30, 2020","Sep 27, 2020",SC Freiburg,Olympiacos,1600000.0,1000000.0,Super League
20,Mohamed Dräger,FC Luzern,€1.30m ,Tunisia,"Jul 2, 2018","Jun 30, 2020",SC Paderborn,SC Freiburg,1600000.0,,Super League
20,Mohamed Dräger,FC Luzern,€1.30m ,Tunisia,"Jul 1, 2018","Jul 2, 2018",SC Freiburg,SC Paderborn,200000.0,,Super League
20,Mohamed Dräger,FC Luzern,€1.30m ,Tunisia,"Jul 1, 2015","Jul 1, 2018",SC Freiburg II,SC Freiburg,200000.0,,Super League
20,Mohamed Dräger,FC Luzern,€1.30m ,Tunisia,"Jul 1, 2013","Jul 1, 2015",SC Freiburg U19,SC Freiburg II,75000.0,,Super League
20,Mohamed Dräger,FC Luzern,€1.30m ,Tunisia,"Jul 1, 2011","Jul 1, 2013",SC Freiburg U17,SC Freiburg U19,,,Super League
20,Mohamed Dräger,FC Luzern,€1.30m ,Tunisia,"Jul 1, 2009","Jul 1, 2011",Freiburg Yth.,SC Freiburg U17,,,Super League
20,Mohamed Dräger,FC Luzern,€1.30m ,Tunisia,,"Jul 1, 2009",PSV Freib. Yth.,Freiburg Yth.,,0.0,Super League
17,Ellyes Skhiri,1. FC Köln,€13.00m ,Tunisia,"Jul 29, 2019",,1. FC Köln,,,,Bundesliga
17,Ellyes Skhiri,1. FC Köln,€13.00m ,Tunisia,"Jul 1, 2015","Jul 29, 2019",Montpellier,1. FC Köln,12000000.0,6000000.0,Bundesliga
17,Ellyes Skhiri,1. FC Köln,€13.00m ,Tunisia,"Jul 1, 2014","Jul 1, 2015",Montpellier B,Montpellier,,,Bundesliga
17,Ellyes Skhiri,1. FC Köln,€13.00m ,Tunisia,,"Jul 1, 2014",Montpellier U19,Montpellier B,,,Bundesliga
25,Anis Slimane,Bröndby IF,€3.50m ,Tunisia,"Aug 1, 2020",,Bröndby IF,,,,Superligaen
25,Anis Slimane,Bröndby IF,€3.50m ,Tunisia,"Jul 1, 2019","Aug 1, 2020",Bröndby IF U19,Bröndby IF,1500000.0,,Superligaen
25,Anis Slimane,Bröndby IF,€3.50m ,Tunisia,"Jan 1, 2019","Jul 1, 2019",Akademisk BK,Bröndby IF U19,25000.0,0.0,Superligaen
25,Anis Slimane,Bröndby IF,€3.50m ,Tunisia,"Jan 1, 2018","Jan 1, 2019",Akademisk U19,Akademisk BK,25000.0,,Superligaen
25,Anis Slimane,Bröndby IF,€3.50m ,Tunisia,,"Jan 1, 2018",AB Youth,Akademisk U19,,,Superligaen
13,Ferjani Sassi,Al-Duhail SC,€1.75m ,Tunisia,"Jul 29, 2021",,Al-Duhail SC,,,,Stars League
13,Ferjani Sassi,Al-Duhail SC,€1.75m ,Tunisia,"Jul 26, 2018","Jul 29, 2021",Zamalek,Al-Duhail SC,2200000.0,0.0,Stars League
13,Ferjani Sassi,Al-Duhail SC,€1.75m ,Tunisia,"Jan 28, 2018","Jul 26, 2018",Al-Nassr FC,Zamalek,1600000.0,,Stars League
13,Ferjani Sassi,Al-Duhail SC,€1.75m ,Tunisia,"Jul 9, 2016","Jan 28, 2018",Esperance,Al-Nassr FC,1500000.0,2000000.0,Stars League
13,Ferjani Sassi,Al-Duhail SC,€1.75m ,Tunisia,"Jan 6, 2015","Jul 9, 2016",FC Metz,Esperance,1250000.0,775000.0,Stars League
13,Ferjani Sassi,Al-Duhail SC,€1.75m ,Tunisia,"Jan 3, 2011","Jan 6, 2015",CS Sfaxien,FC Metz,800000.0,500000.0,Stars League
13,Ferjani Sassi,Al-Duhail SC,€1.75m ,Tunisia,,"Jan 3, 2011",ESS U19,CS Sfaxien,,13000.0,Stars League
8,Hannibal Mejbri,Birmingham City,€6.00m ,Tunisia,"May 31, 2023",,Man Utd U21,,,,Championship
8,Hannibal Mejbri,Birmingham City,€6.00m ,Tunisia,"Aug 29, 2022","May 31, 2023",Birmingham,Man Utd U21,6000000.0,,Championship
8,Hannibal Mejbri,Birmingham City,€6.00m ,Tunisia,"Jul 1, 2020","Aug 29, 2022",Man Utd U21,Birmingham,6000000.0,,Championship
8,Hannibal Mejbri,Birmingham City,€6.00m ,Tunisia,"Aug 11, 2019","Jul 1, 2020",Man Utd U18,Man Utd U23,,,Championship
8,Hannibal Mejbri,Birmingham City,€6.00m ,Tunisia,"Jul 2, 2018","Aug 11, 2019",Monaco Youth,Man Utd U18,,10000000.0,Championship
8,Hannibal Mejbri,Birmingham City,€6.00m ,Tunisia,"Jul 1, 2017","Jul 2, 2018",ACBB Youth,Monaco Youth,,1100000.0,Championship
8,Hannibal Mejbri,Birmingham City,€6.00m ,Tunisia,,"Jul 1, 2017",Paris FC Youth,ACBB Youth,,0.0,Championship
7,Youssef Msakni,Al-Arabi SC,€1.20m ,Tunisia,"Jun 30, 2023",,Al-Duhail SC,,,,Stars League
7,Youssef Msakni,Al-Arabi SC,€1.20m ,Tunisia,"Jul 14, 2022","Jun 30, 2023",Al-Arabi SC,Al-Duhail SC,1200000.0,,Stars League
7,Youssef Msakni,Al-Arabi SC,€1.20m ,Tunisia,"Jun 30, 2022","Jul 14, 2022",Al-Duhail SC,Al-Arabi SC,1200000.0,,Stars League
7,Youssef Msakni,Al-Arabi SC,€1.20m ,Tunisia,"Jan 23, 2021","Jun 30, 2022",Al-Arabi SC,Al-Duhail SC,1200000.0,,Stars League
7,Youssef Msakni,Al-Arabi SC,€1.20m ,Tunisia,"Jun 30, 2019","Jan 23, 2021",Al-Duhail SC,Al-Arabi SC,2000000.0,,Stars League
7,Youssef Msakni,Al-Arabi SC,€1.20m ,Tunisia,"Jan 9, 2019","Jun 30, 2019",KAS Eupen,Al-Duhail SC,3500000.0,,Stars League
7,Youssef Msakni,Al-Arabi SC,€1.20m ,Tunisia,"Jan 1, 2013","Jan 9, 2019",Al-Duhail SC,KAS Eupen,4500000.0,,Stars League
7,Youssef Msakni,Al-Arabi SC,€1.20m ,Tunisia,"Aug 26, 2008","Jan 1, 2013",Esperance,Lekhwiya,2750000.0,4250000.0,Stars League
