shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
25,Sean Johnson,New York City FC,€1.50m ,United States,"Jan 1, 2023",,Without Club,,,,MLS
25,Sean Johnson,New York City FC,€1.50m ,United States,"Dec 12, 2016","Jan 1, 2023",New York City,Without Club,1500000.0,,MLS
25,Sean Johnson,New York City FC,€1.50m ,United States,"Dec 11, 2016","Dec 12, 2016",Atlanta,New York City,600000.0,,MLS
25,Sean Johnson,New York City FC,€1.50m ,United States,"Jan 14, 2010","Dec 11, 2016",Chicago,Atlanta,600000.0,,MLS
25,Sean Johnson,New York City FC,€1.50m ,United States,"Aug 1, 2009","Jan 14, 2010",Atlanta,Chicago,,,MLS
25,Sean Johnson,New York City FC,€1.50m ,United States,,"Aug 1, 2009",UCF Knights,Atlanta,,0.0,MLS
20,Cameron Carter-Vickers,Celtic FC,€9.50m ,United States,"Jul 1, 2022",,Celtic,,,,Premiership
20,Cameron Carter-Vickers,Celtic FC,€9.50m ,United States,"May 31, 2022","Jul 1, 2022",Spurs,Celtic,7000000.0,7000000.0,Premiership
20,Cameron Carter-Vickers,Celtic FC,€9.50m ,United States,"Aug 31, 2021","May 31, 2022",Celtic,Spurs,3000000.0,,Premiership
20,Cameron Carter-Vickers,Celtic FC,€9.50m ,United States,"May 31, 2021","Aug 31, 2021",Spurs,Celtic,2000000.0,,Premiership
20,Cameron Carter-Vickers,Celtic FC,€9.50m ,United States,"Oct 16, 2020","May 31, 2021",Bournemouth,Spurs,2000000.0,,Premiership
20,Cameron Carter-Vickers,Celtic FC,€9.50m ,United States,"Jul 31, 2020","Oct 16, 2020",Spurs,Bournemouth,2000000.0,,Premiership
20,Cameron Carter-Vickers,Celtic FC,€9.50m ,United States,"Jan 30, 2020","Jul 31, 2020",Luton,Spurs,2000000.0,,Premiership
20,Cameron Carter-Vickers,Celtic FC,€9.50m ,United States,"Jan 2, 2020","Jan 30, 2020",Spurs,Luton,2500000.0,,Premiership
20,Cameron Carter-Vickers,Celtic FC,€9.50m ,United States,"Aug 8, 2019","Jan 2, 2020",Stoke City,Spurs,2500000.0,,Premiership
20,Cameron Carter-Vickers,Celtic FC,€9.50m ,United States,"May 31, 2019","Aug 8, 2019",Spurs,Stoke City,1500000.0,,Premiership
20,Cameron Carter-Vickers,Celtic FC,€9.50m ,United States,"Aug 25, 2018","May 31, 2019",Swansea,Spurs,1500000.0,,Premiership
20,Cameron Carter-Vickers,Celtic FC,€9.50m ,United States,"May 31, 2018","Aug 25, 2018",Spurs,Swansea,1000000.0,,Premiership
20,Cameron Carter-Vickers,Celtic FC,€9.50m ,United States,"Jan 19, 2018","May 31, 2018",Ipswich,Spurs,1000000.0,,Premiership
20,Cameron Carter-Vickers,Celtic FC,€9.50m ,United States,"Jan 15, 2018","Jan 19, 2018",Spurs,Ipswich,500000.0,,Premiership
20,Cameron Carter-Vickers,Celtic FC,€9.50m ,United States,"Aug 25, 2017","Jan 15, 2018",Sheff Utd,Spurs,500000.0,,Premiership
