shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
1,Fernando Muslera,Galatasaray,€1.70m ,Uruguay,"Aug 11, 2011",,Galatasaray,,,,Süper Lig
1,Fernando Muslera,Galatasaray,€1.70m ,Uruguay,"Aug 1, 2007","Aug 11, 2011",Lazio,Galatasaray,12000000.0,6750000.0,Süper Lig
1,Fernando Muslera,Galatasaray,€1.70m ,Uruguay,"Jun 30, 2007","Aug 1, 2007",Wanderers,Lazio,,3000000.0,Süper Lig
1,Fernando Muslera,Galatasaray,€1.70m ,Uruguay,"Apr 1, 2007","Jun 30, 2007",Nacional,Wanderers,,,Süper Lig
1,Fernando Muslera,Galatasaray,€1.70m ,Uruguay,"Jan 1, 2004","Apr 1, 2007",Wanderers,Nacional,,,Süper Lig
1,Fernando Muslera,Galatasaray,€1.70m ,Uruguay,,"Jan 1, 2004",Wanderers U19,Wanderers,,,Süper Lig
4,Ronald Araújo,FC Barcelona,€60.00m ,Uruguay,"Oct 5, 2020",,Barcelona,,,,LaLiga
4,Ronald Araújo,FC Barcelona,€60.00m ,Uruguay,"Aug 29, 2018","Oct 5, 2020",Barcelona B,Barcelona,10000000.0,,LaLiga
4,Ronald Araújo,FC Barcelona,€60.00m ,Uruguay,"Jul 28, 2017","Aug 29, 2018",Boston River,Barcelona B,175000.0,4700000.0,LaLiga
4,Ronald Araújo,FC Barcelona,€60.00m ,Uruguay,"Jul 1, 2016","Jul 28, 2017",Rentistas,Boston River,100000.0,395000.0,LaLiga
4,Ronald Araújo,FC Barcelona,€60.00m ,Uruguay,,"Jul 1, 2016",Rentistas U19,Rentistas,,,LaLiga
19,Sebastián Coates,Sporting CP,€6.00m ,Uruguay,"Feb 2, 2017",,Sporting CP,,,,Liga Portugal
19,Sebastián Coates,Sporting CP,€6.00m ,Uruguay,"Feb 1, 2017","Feb 2, 2017",Sunderland,Sporting CP,6000000.0,4720000.0,Liga Portugal
19,Sebastián Coates,Sporting CP,€6.00m ,Uruguay,"Jan 31, 2016","Feb 1, 2017",Sporting CP,Sunderland,6000000.0,,Liga Portugal
19,Sebastián Coates,Sporting CP,€6.00m ,Uruguay,"Jul 1, 2015","Jan 31, 2016",Sunderland,Sporting CP,2500000.0,,Liga Portugal
19,Sebastián Coates,Sporting CP,€6.00m ,Uruguay,"May 31, 2015","Jul 1, 2015",Liverpool,Sunderland,2500000.0,2800000.0,Liga Portugal
19,Sebastián Coates,Sporting CP,€6.00m ,Uruguay,"Sep 1, 2014","May 31, 2015",Sunderland,Liverpool,1500000.0,,Liga Portugal
