shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
1,Wayne Hennessey,Nottingham Forest,€500k ,Wales,"Jul 15, 2022",,Nottm Forest,,,,Premier League
1,Wayne Hennessey,Nottingham Forest,€500k ,Wales,"Jul 20, 2021","Jul 15, 2022",Burnley,Nottm Forest,500000.0,0.0,Premier League
1,Wayne Hennessey,Nottingham Forest,€500k ,Wales,"Jan 31, 2014","Jul 20, 2021",Crystal Palace,Burnley,1000000.0,0.0,Premier League
1,Wayne Hennessey,Nottingham Forest,€500k ,Wales,"Nov 17, 2013","Jan 31, 2014",Wolves,Crystal Palace,2500000.0,3650000.0,Premier League
1,Wayne Hennessey,Nottingham Forest,€500k ,Wales,"Aug 21, 2013","Nov 17, 2013",Yeovil Town,Wolves,2500000.0,,Premier League
1,Wayne Hennessey,Nottingham Forest,€500k ,Wales,"Apr 1, 2007","Aug 21, 2013",Wolves,Yeovil Town,2500000.0,,Premier League
1,Wayne Hennessey,Nottingham Forest,€500k ,Wales,"Jan 1, 2007","Apr 1, 2007",Stockport,Wolves,,,Premier League
1,Wayne Hennessey,Nottingham Forest,€500k ,Wales,"Sep 1, 2006","Jan 1, 2007",Wolves,Stockport,,,Premier League
1,Wayne Hennessey,Nottingham Forest,€500k ,Wales,"Aug 1, 2006","Sep 1, 2006",Bristol City,Wolves,,,Premier League
1,Wayne Hennessey,Nottingham Forest,€500k ,Wales,"Jul 1, 2006","Aug 1, 2006",Wolves,Bristol City,,,Premier League
1,Wayne Hennessey,Nottingham Forest,€500k ,Wales,"Jul 1, 2003","Jul 1, 2006",Wolves U18,Wolves,,,Premier League
1,Wayne Hennessey,Nottingham Forest,€500k ,Wales,,"Jul 1, 2003",Man City Youth,Wolves U18,,,Premier League
6,Joe Rodon,Stade Rennais FC,€9.00m ,Wales,"Jun 30, 2023",,Spurs,,,,Ligue 1
6,Joe Rodon,Stade Rennais FC,€9.00m ,Wales,"Aug 1, 2022","Jun 30, 2023",Rennes,Spurs,9000000.0,,Ligue 1
6,Joe Rodon,Stade Rennais FC,€9.00m ,Wales,"Oct 16, 2020","Aug 1, 2022",Spurs,Rennes,8000000.0,,Ligue 1
6,Joe Rodon,Stade Rennais FC,€9.00m ,Wales,"Jul 1, 2018","Oct 16, 2020",Swansea,Spurs,7000000.0,12100000.0,Ligue 1
6,Joe Rodon,Stade Rennais FC,€9.00m ,Wales,"May 31, 2018","Jul 1, 2018",Swansea U21,Swansea,,,Ligue 1
6,Joe Rodon,Stade Rennais FC,€9.00m ,Wales,"Jan 30, 2018","May 31, 2018",Cheltenham,Swansea U21,,,Ligue 1
6,Joe Rodon,Stade Rennais FC,€9.00m ,Wales,"Jul 1, 2015","Jan 30, 2018",Swansea U21,Cheltenham,,,Ligue 1
6,Joe Rodon,Stade Rennais FC,€9.00m ,Wales,,"Jul 1, 2015",Swansea U18,Swansea U21,,,Ligue 1
24,Ben Cabango,Swansea City,€8.00m ,Wales,"Jul 1, 2019",,Swansea,,,,Championship
24,Ben Cabango,Swansea City,€8.00m ,Wales,"Jan 1, 2019","Jul 1, 2019",Swansea U21,Swansea,,,Championship
24,Ben Cabango,Swansea City,€8.00m ,Wales,"Jul 2, 2018","Jan 1, 2019",The New Saints,Swansea U21,,,Championship
24,Ben Cabango,Swansea City,€8.00m ,Wales,"Jul 1, 2018","Jul 2, 2018",Swansea U21,The New Saints,,,Championship
24,Ben Cabango,Swansea City,€8.00m ,Wales,"Jul 1, 2016","Jul 1, 2018",Swansea U18,Swansea U21,,,Championship
24,Ben Cabango,Swansea City,€8.00m ,Wales,,"Jul 1, 2016",Swansea Yth.,Swansea U18,,,Championship
17,Tom Lockyer,Luton Town,€2.00m ,Wales,"Sep 1, 2020",,Luton,,,,Championship
17,Tom Lockyer,Luton Town,€2.00m ,Wales,"Jul 1, 2019","Sep 1, 2020",Charlton,Luton,800000.0,,Championship
17,Tom Lockyer,Luton Town,€2.00m ,Wales,"Jul 1, 2012","Jul 1, 2019",Bristol Rovers,Charlton,250000.0,0.0,Championship
17,Tom Lockyer,Luton Town,€2.00m ,Wales,"Jul 1, 2011","Jul 1, 2012",Brist. Rov. U18,Bristol Rovers,,,Championship
17,Tom Lockyer,Luton Town,€2.00m ,Wales,,"Jul 1, 2011",Cardiff City Yo,Brist. Rov. U18,,0.0,Championship
3,Neco Williams,Nottingham Forest,€18.00m ,Wales,"Jul 10, 2022",,Nottm Forest,,,,Premier League
3,Neco Williams,Nottingham Forest,€18.00m ,Wales,"May 31, 2022","Jul 10, 2022",Liverpool,Nottm Forest,8000000.0,20000000.0,Premier League
3,Neco Williams,Nottingham Forest,€18.00m ,Wales,"Jan 31, 2022","May 31, 2022",Fulham,Liverpool,8000000.0,,Premier League
3,Neco Williams,Nottingham Forest,€18.00m ,Wales,"Jan 1, 2020","Jan 31, 2022",Liverpool,Fulham,8000000.0,,Premier League
3,Neco Williams,Nottingham Forest,€18.00m ,Wales,"Jul 1, 2019","Jan 1, 2020",Liverpool U23,Liverpool,,,Premier League
3,Neco Williams,Nottingham Forest,€18.00m ,Wales,"Jul 1, 2017","Jul 1, 2019",Liverpool U18,Liverpool U23,,,Premier League
3,Neco Williams,Nottingham Forest,€18.00m ,Wales,,"Jul 1, 2017",Liverpool Youth,Liverpool U18,,,Premier League
2,Chris Gunter,AFC Wimbledon,€300k ,Wales,"Jul 4, 2022",,AFC Wimbledon,,,,League Two
