id,current_league_country
Gerónimo Rulli,Spain
Cristian Romero,England
Germán Pezzella,Spain
Marcos Acuña,Spain
Juan Foyth,Spain
Gonzalo Montiel,Spain
Leandro Paredes,Italy
Enzo Fernández,Portugal
Exequiel Palacios,Germany
Papu Gómez,Spain
Ángel Correa,Spain
Paulo Dybala,Italy
Julián Álvarez,England
Emiliano Martínez,England
Franco Armani,Argentina
Lisandro Martínez,England
Nicolás Otamendi,Portugal
Nicolás Tagliafico,France
Nahuel Molina,Spain
Guido Rodríguez,Spain
Rodrigo de Paul,Spain
Alexis Mac Allister,England
Thiago Almada,United States
Lionel Messi,France
Ángel Di María,Italy
Lautaro Martínez,Italy
Andrew Redmayne,Australia
Harry Souttar,England
Bailey Wright,England
Thomas Deng,Japan
Joel King,Denmark
Nathaniel Atkinson,Scotland
Keanu Baccus,Scotland
Riley McGree,England
Ajdin Hrustic,Italy
Craig Goodwin,Australia
Marco Tilio,Australia
Jason Cummings,Australia
Garang Kuol,Australia
Mathew Ryan,Denmark
Danny Vukovic,Australia
Milos Degenek,United States
Kye Rowles,Scotland
Aziz Behich,Scotland
Fran Karacic,Italy
Cammy Devlin,Scotland
Aaron Mooy,Scotland
Jackson Irvine,Germany
Awer Mabil,Spain
Mathew Leckie,Australia
Jamie Maclaren,Australia
Mitchell Duke,Japan
Koen Casteels,Germany
Arthur Theate,France
Zeno Debast,Belgium
Jan Vertonghen,Belgium
Thomas Meunier,Germany
Leander Dendoncker,England
Youri Tielemans,England
Charles De Ketelaere,Italy
Yannick Carrasco,Spain
Thorgan Hazard,Germany
Romelu Lukaku,Italy
Michy Batshuayi,Turkey
Thibaut Courtois,Spain
Simon Mignolet,Belgium
Wout Faes,England
Toby Alderweireld,Belgium
Timothy Castagne,England
Amadou Onana,England
Axel Witsel,Spain
Kevin De Bruyne,England
Hans Vanaken,Belgium
Leandro Trossard,England
Jérémy Doku,France
Loïs Openda,France
Dries Mertens,Turkey
Ederson,England
Marquinhos,France
Bremer,Italy
Alex Telles,Spain
Danilo,Italy
Bruno Guimarães,England
Casemiro,England
Éverton Ribeiro,Brazil
Vinicius Junior,Spain
Gabriel Martinelli,England
Antony,England
Gabriel Jesus,England
Pedro,Brazil
Alisson,England
Weverton,Brazil
Éder Militão,Spain
Thiago Silva,England
Alex Sandro,Italy
Dani Alves,Mexico
Fabinho,England
Fred,England
Lucas Paquetá,England
Neymar,France
Rodrygo,Spain
Raphinha,Spain
Richarlison,England
Devis Epassy,Saudi Arabia
Christopher Wooh,France
Nicolas N'Koulou,Greece
Nouhou,United States
Collins Fai,Saudi Arabia
Martin Hongla,Italy
Gaël Ondoua,Germany
Pierre Kunde,Greece
Georges-Kevin N'Koudou,Turkey
Jerome Ngom Mbekeli,
Christian Bassogog,China
Vincent Aboubakar,Saudi Arabia
Souaibou Marou,
André Onana,Italy
Simon Ngapandouetnbu,France
Jean-Charles Castelletto,France
Enzo Ebosse,Italy
Olivier Mbaizo,United States
Frank Anguissa,Italy
Samuel Oum Gouet,Belgium
Olivier Ntcham,England
Karl Toko Ekambi,France
Nicolas Moumi Ngamaleu,Russia
Bryan Mbeumo,England
Eric Maxim Choupo-Moting,Germany
Jean-Pierre Nsame,Switzerland
Milan Borjan,Serbia
Kamal Miller,United States
Derek Cornelius,Greece
Alphonso Davies,Germany
Alistair Johnston,United States
Samuel Piette,United States
Atiba Hutchinson,Turkey
Ismaël Koné,United States
Mark-Anthony Kaye,United States
Liam Millar,Switzerland
Tajon Buchanan,Belgium
Cyle Larin,Belgium
Lucas Cavallini,United States
Dayne St. Clair,United States
James Pantemis,United States
Joel Waterman,United States
Steven Vitória,Portugal
Sam Adekugbe,Turkey
Richie Laryea,United States
Liam Fraser,Belgium
Stephen Eustaquio,Portugal
Jonathan Osorio,United States
David Wotherspoon,Scotland
Junior Hoilett,England
Jonathan David,France
Iké Ugbo,France
