current_team,current_league_country
Villarreal CF,Spain
Tottenham Hotspur,England
Real Betis Balompié,Spain
Sevilla FC,Spain
Juventus FC,Italy
SL Benfica,Portugal
Bayer 04 Leverkusen,Germany
Atlético de Madrid,Spain
AS Roma,Italy
Manchester City,England
Aston Villa,England
CA River Plate,Argentina
Manchester United,England
Olympique Lyon,France
Brighton &amp; Hove Albion,England
Atlanta United FC,United States
Paris Saint-Germain,France
Inter Milan,Italy
Sydney FC,Australia
Stoke City,England
Sunderland AFC,England
Albirex Niigata,Japan
Odense Boldklub,Denmark
Heart of Midlothian FC,Scotland
St. Mirren FC,Scotland
Middlesbrough FC,England
Hellas Verona,Italy
Adelaide United,Australia
Melbourne City FC,Australia
Central Coast Mariners,Australia
FC Copenhagen,Denmark
Columbus Crew,United States
Dundee United FC,Scotland
Brescia Calcio,Italy
Celtic FC,Scotland
FC St. Pauli,Germany
Cádiz CF,Spain
Fagiano Okayama,Japan
VfL Wolfsburg,Germany
Stade Rennais FC,France
RSC Anderlecht,Belgium
Borussia Dortmund,Germany
Leicester City,England
AC Milan,Italy
Fenerbahce,Turkey
Real Madrid,Spain
Club Brugge KV,Belgium
Royal Antwerp FC,Belgium
Everton FC,England
RC Lens,France
Galatasaray,Turkey
Newcastle United,England
Clube de Regatas do Flamengo,Brazil
Arsenal FC,England
Liverpool FC,England
Sociedade Esportiva Palmeiras,Brazil
Chelsea FC,England
UNAM Pumas,Mexico
West Ham United,England
FC Barcelona,Spain
Abha Club,Saudi Arabia
Aris Thessaloniki,Greece
Seattle Sounders FC,United States
Al-Tai,Saudi Arabia
Hannover 96,Germany
Olympiacos Piraeus,Greece
Besiktas JK,Turkey
Colombe Sportive du Dja et Lobo,
Shanghai Shenhua,China
Al-Nassr FC,Saudi Arabia
Coton Sport FC de Garoua,
Olympique Marseille,France
FC Nantes,France
Udinese Calcio,Italy
Philadelphia Union,United States
SSC Napoli,Italy
KV Mechelen,Belgium
Swansea City,England
Dynamo Moscow,Russia
Brentford FC,England
Bayern Munich,Germany
BSC Young Boys,Switzerland
Red Star Belgrade,Serbia
CF Montréal,United States
Panetolikos GFS,Greece
Toronto FC,United States
FC Basel 1893,Switzerland
Vancouver Whitecaps FC,United States
Minnesota United FC,United States
GD Chaves,Portugal
Hatayspor,Turkey
KMSK Deinze,Belgium
FC Porto,Portugal
St. Johnstone FC,Scotland
Reading FC,England
LOSC Lille,France
ESTAC Troyes,France
CS Herediano,Costa Rica
Millonarios FC,Colombia
Al-Wehda FC,Saudi Arabia
Deportivo Saprissa,Costa Rica
Real Salt Lake City,United States
Municipal Grecia,Costa Rica
AD Guanacasteca,Costa Rica
Puntarenas FC,Costa Rica
LD Alajuelense,Costa Rica
CD Lugo,Spain
Konyaspor,Turkey
Colorado Rapids 2,United States
FC Cincinnati,United States
AD San Carlos,Costa Rica
Club León FC,Mexico
NK Osijek,Croatia
RB Leipzig,Germany
US Sassuolo,Italy
AEK Athens,Greece
Rangers FC,Scotland
Eintracht Frankfurt,Germany
Atalanta BC,Italy
Torino FC,Italy
GNK Dinamo Zagreb,Croatia
HNK Hajduk Split,Croatia
CA Osasuna,Spain
Zenit St. Petersburg,Russia
VfB Stuttgart,Germany
Red Bull Salzburg,Austria
TSG 1899 Hoffenheim,Germany
1.FC Union Berlin,Germany
Crystal Palace,England
Bröndby IF,Denmark
RCD Espanyol Barcelona,Spain
Hertha BSC,Germany
OGC Nice,France
Leeds United,England
Trabzonspor,Turkey
SD Aucas,Ecuador
São Paulo Futebol Clube,Brazil
KRC Genk,Belgium
Los Angeles FC,United States
CF Pachuca,Mexico
Imbabura SC,
Independiente del Valle,Ecuador
LDU Quito,Ecuador
Santos Laguna,Mexico
FC Augsburg,Germany
Club Atlético Talleres,Argentina
Real Valladolid CF,Spain
CD Cruz Azul,Mexico
CA Newell's Old Boys,Argentina
AS Monaco,France
Borussia Mönchengladbach,Germany
SC Freiburg,Germany
SV Werder Bremen,Germany
Southampton FC,England
KAS Eupen,Belgium
RC Strasbourg Alsace,France
Clermont Foot 63,France
Ajax Amsterdam,Netherlands
Hearts of Oak,Ghana
Athletic Bilbao,Spain
Bristol City,England
FC St. Gallen 1879,Switzerland
Asante Kotoko SC,Ghana
Celta de Vigo,Spain
AJ Auxerre,France
KAA Gent,Belgium
Al-Sadd SC,Qatar
Sporting CP,Portugal
Persepolis FC,Iran
Sepahan FC,Iran
Al-Ahli SC,Qatar
Esteghlal FC,Iran
FC Shabab Al-Ahli Dubai,United Arab Emirates
RSC Charleroi,Belgium
SD Ponferradina,Spain
Kayserispor,Turkey
Vejle Boldklub,Denmark
Feyenoord Rotterdam,Netherlands
Omonia Nicosia,Cyprus
Shimizu S-Pulse,Japan
Kawasaki Frontale,Japan
FC Tokyo,Japan
Fortuna Düsseldorf,Germany
Nagoya Grampus,Japan
Real Sociedad,Spain
VfL Bochum,Germany
Shonan Bellmare,Japan
Sint-Truidense VV,Belgium
FC Schalke 04,Germany
Urawa Red Diamonds,Japan
CD Leganés,Spain
Stade Reims,France
Cercle Brugge ,Belgium
CF América,Mexico
CF Monterrey,Mexico
PSV Eindhoven,Netherlands
Houston Dynamo FC,United States
Deportivo Guadalajara,Mexico
Wolverhampton Wanderers,England
FC Juárez,Mexico
US Cremonese,Italy
Wydad Casablanca,Morocco
Stade Brestois 29,France
Qatar SC,Qatar
ACF Fiorentina,Italy
Angers SCO,France
Queens Park Rangers,England
Burnley FC,England
SSC Bari,Italy
Standard Liège,Belgium
UC Sampdoria,Italy
FC Toulouse,France
Al-Ittihad Club (Jeddah),Saudi Arabia
SC Heerenveen,Netherlands
Legia Warszawa,Poland
Al-Shabab Club (Riyadh),Saudi Arabia
Lech Poznan,Poland
US Salernitana 1919,Italy
Charlotte FC,United States
Bologna FC 1909,Italy
Spezia Calcio,Italy
Benevento Calcio,Italy
Birmingham City,England
Pogon Szczecin,Poland
Fulham FC,England
SC Braga,Portugal
Without ClubWithout Club,
Al-Duhail SC,Qatar
Al-Arabi SC,Qatar
Al-Gharafa SC,Qatar
Al-Rayyan SC,Qatar
Al-Wakrah SC,Qatar
Al-Ahli Saudi FC,
Al-Hilal Saudi FC,Saudi Arabia
Al-Fateh,Saudi Arabia
Rayo Vallecano,Spain
Sheffield United,England
Alanyaspor,Turkey
Amiens SC,France
Nottingham Forest,England
Pafos FC,Cyprus
Watford FC,England
UD Almería,Spain
Getafe CF,Spain
RCD Mallorca,Spain
SS Lazio,Italy
PAOK Thessaloniki,Greece
Jeonbuk Hyundai Motors,South Korea
Daejeon Hana Citizen,South Korea
FC Seoul,South Korea
1.FSV Mainz 05,Germany
Gimcheon Sangmu,South Korea
Ulsan Hyundai,South Korea
Gamba Osaka,Japan
Daegu FC,South Korea
Shandong Taishan,China
Valencia CF,Spain
Montpellier HSC,France
FC Luzern,Switzerland
Chicago Fire FC,United States
FC Lugano,Switzerland
US Monastir,Tunisia
Etoile Sportive du Sahel,Tunisia
Club Africain Tunis,Tunisia
El Ahly Cairo,Egypt
1. FC Köln,Germany
Kuwait SC,
Club Sportif Sfaxien,Tunisia
FC Lorient,France
Esperance Tunis,Tunisia
SM Caen,France
Atromitos Athen,Greece
Ferencvárosi TC,Hungary
Ettifaq FC,Saudi Arabia
Zamalek SC,Egypt
New York City FC,United States
New York Red Bulls,United States
Nashville SC,United States
Norwich City,England
Antalyaspor,Turkey
Luton Town,England
Inter Miami CF,United States
FC Dallas,United States
Los Angeles Galaxy,United States
Club Nacional,Uruguay
Orlando City SC,United States
CA Independiente,Argentina
CA Vélez Sarsfield,Argentina
Club Athletico Paranaense,Brazil
AFC Wimbledon,England
Cardiff City,England
Huddersfield Town,England
AFC Bournemouth,England
Milton Keynes Dons,England
Portsmouth FC,England
Swindon Town,England
